I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14
21.000000,0.000000,0.000000,11.000000,-0.010314,-0.002692,0.000000,0.000000,-21.205051,16.774128,-0.328773,-0.415619,-0.865381,-1.784216,0.085000
41.000000,0.000000,0.000000,7.000000,-0.009655,-0.001162,0.000000,0.000000,-29.713993,22.464491,-0.670801,-0.873778,-0.884175,-1.810321,0.087000
61.000000,0.000000,0.000000,10.000000,-0.001448,-0.005547,0.000000,0.000000,-33.930061,23.284332,-0.992262,-1.360550,-0.902047,-1.836009,0.089000
81.000000,0.000000,0.000000,10.000000,-0.001043,-0.003080,0.000000,0.000000,-34.946060,24.073380,-1.320015,-1.836752,-0.919149,-1.862056,0.090000
101.000000,0.000000,0.000000,12.000000,-0.001785,-0.003809,0.000000,0.000000,-35.617146,23.446489,-1.626390,-2.313627,-0.935413,-1.885892,0.090000
121.000000,0.000000,0.000000,10.000000,0.002719,-0.005201,0.000000,0.000000,-35.554695,23.567541,-1.934251,-2.778712,-0.952575,-1.911119,0.089000
141.000000,0.000000,0.000000,8.000000,0.000582,-0.001767,0.000000,0.000000,-35.556103,23.482265,-2.235360,-3.237517,-0.970659,-1.937923,0.089000
161.000000,0.000000,0.000000,9.000000,0.005534,-0.004351,0.000000,0.000000,-35.508049,22.915760,-2.521534,-3.688809,-0.987741,-1.962738,0.088000
181.000000,0.000000,0.000000,7.000000,0.001578,-0.005012,0.000000,0.000000,-34.842251,23.180468,-2.811962,-4.120862,-1.004128,-1.987222,0.088000
201.000000,0.000000,0.000000,10.000000,0.000484,-0.002681,0.000000,0.000000,-34.452026,22.400797,-3.081475,-4.542799,-1.019564,-2.010369,0.088000
221.000000,0.000000,0.000000,9.000000,-0.000367,-0.003227,0.000000,0.000000,-33.796448,22.483971,-3.353113,-4.948027,-1.035755,-2.035493,0.088000
241.000000,0.000000,0.000000,10.000000,-0.004945,0.000675,0.000000,0.000000,-33.198044,22.006536,-3.611042,-5.339385,-1.051450,-2.059427,0.087000
261.000000,0.000000,0.000000,11.000000,-0.000245,-0.001622,0.000000,0.000000,-32.678772,21.690876,-3.861757,-5.718304,-1.066769,-2.082357,0.089000
281.000000,0.000000,0.000000,7.000000,-0.002688,-0.001483,0.000000,0.000000,-32.240326,21.557119,-4.108024,-6.086104,-1.082174,-2.105155,0.089000
301.000000,0.000000,0.000000,9.000000,0.000566,-0.003777,0.000000,0.000000,-32.086395,21.158720,-4.343705,-6.448071,-1.097631,-2.128051,0.089000
321.000000,0.000000,0.000000,12.000000,-0.001102,-0.001032,0.000000,0.000000,-31.666557,21.254353,-4.580111,-6.797489,-1.111680,-2.149699,0.089000
341.000000,0.000000,0.000000,8.000000,0.000201,0.000174,0.000000,0.000000,-31.450169,20.706722,-4.801867,-7.140008,-1.128263,-2.173476,0.088000
361.000000,0.000000,0.000000,9.000000,0.007620,-0.003133,0.000000,0.000000,-31.014387,20.630795,-5.022017,-7.470293,-1.143111,-2.194000,0.087000
381.000000,0.000000,0.000000,8.000000,0.001437,-0.002747,0.000000,0.000000,-30.488977,20.463232,-5.236157,-7.787984,-1.158342,-2.216983,0.088000
401.000000,0.000000,0.000000,10.000000,0.002983,-0.002422,0.000000,0.000000,-30.178102,20.117943,-5.441400,-8.097968,-1.173263,-2.238547,0.089000
421.000000,0.000000,0.000000,11.000000,-0.001506,0.000186,0.000000,0.000000,-29.748405,20.018845,-5.643690,-8.396829,-1.186432,-2.258995,0.088000
441.000000,0.000000,0.000000,8.000000,0.000216,-0.003164,0.000000,0.000000,-29.578770,19.475964,-5.832998,-8.690486,-1.200874,-2.279777,0.089000
461.000000,0.000000,0.000000,11.000000,-0.000199,-0.004814,0.000000,0.000000,-29.183453,19.536676,-6.023817,-8.973139,-1.215419,-2.301370,0.089000
481.000000,0.000000,0.000000,11.000000,-0.001839,-0.002822,0.000000,0.000000,-28.833727,19.284393,-6.206621,-9.247099,-1.229514,-2.321978,0.090000
501.000000,0.000000,0.000000,9.000000,-0.000769,-0.003190,0.000000,0.000000,-28.517540,18.946302,-6.381590,-9.512893,-1.242060,-2.341398,0.090000
521.000000,0.000000,0.000000,8.000000,-0.004088,-0.003461,0.000000,0.000000,-28.256975,18.731100,-6.551724,-9.771541,-1.255172,-2.361405,0.089000
541.000000,0.000000,0.000000,7.000000,-0.001474,-0.004274,0.000000,0.000000,-27.986179,18.210003,-6.710411,-10.022634,-1.269272,-2.382227,0.089000
561.000000,0.000000,0.000000,11.000000,-0.000448,-0.003631,0.000000,0.000000,-27.574997,18.242756,-6.870376,-10.263586,-1.282451,-2.401894,0.089000
581.000000,0.000000,0.000000,8.000000,0.001867,-0.002167,0.000000,0.000000,-27.247286,17.934750,-7.021833,-10.496960,-1.296066,-2.421602,0.090000
601.000000,0.000000,0.000000,13.000000,0.002097,-0.001560,0.000000,0.000000,-26.827703,17.894543,-7.172053,-10.720600,-1.308338,-2.439815,0.089000
621.000000,0.000000,0.000000,10.000000,-0.000055,-0.002314,0.000000,0.000000,-26.406303,17.654188,-7.315637,-10.935121,-1.321172,-2.458647,0.089000
641.000000,0.000000,0.000000,13.000000,-0.000476,-0.003512,0.000000,0.000000,-26.050396,17.354155,-7.452626,-11.141947,-1.333716,-2.477130,0.089000
661.000000,0.000000,0.000000,10.000000,0.000309,-0.003173,0.000000,0.000000,-25.666273,17.321659,-7.588693,-11.340271,-1.346418,-2.495667,0.089000
681.000000,0.000000,0.000000,11.000000,0.000841,-0.001212,0.000000,0.000000,-25.508104,16.904446,-7.714816,-11.534801,-1.359013,-2.514319,0.089000
701.000000,0.000000,0.000000,8.000000,-0.002473,-0.002863,0.000000,0.000000,-25.232676,16.657990,-7.836632,-11.722032,-1.370407,-2.532255,0.089000
721.000000,0.000000,0.000000,9.000000,-0.004731,-0.001562,0.000000,0.000000,-25.007090,16.337570,-7.951799,-11.903698,-1.381818,-2.550615,0.089000
741.000000,0.000000,0.000000,11.000000,-0.002091,-0.001150,0.000000,0.000000,-24.746735,16.086395,-8.062182,-12.078920,-1.393574,-2.568576,0.089000
761.000000,0.000000,0.000000,8.000000,-0.002993,-0.001718,0.000000,0.000000,-24.432001,15.839400,-8.167547,-12.246919,-1.404941,-2.586183,0.089000
781.000000,0.000000,0.000000,11.000000,0.000613,-0.003717,0.000000,0.000000,-24.209209,15.418376,-8.264530,-12.409903,-1.416479,-2.603323,0.088000
801.000000,0.000000,0.000000,9.000000,0.000213,-0.005127,0.000000,0.000000,-23.715399,15.270066,-8.359568,-12.562119,-1.427510,-2.620127,0.088000
821.000000,0.000000,0.000000,8.000000,0.000750,-0.005501,0.000000,0.000000,-23.387798,15.053601,-8.449830,-12.708491,-1.438980,-2.636420,0.088000
841.000000,0.000000,0.000000,11.000000,0.001906,-0.004786,0.000000,0.000000,-23.178474,15.112060,-8.541154,-12.850493,-1.450237,-2.653433,0.088000
861.000000,0.000000,0.000000,9.000000,-0.001027,-0.003378,0.000000,0.000000,-22.890402,15.231187,-8.633179,-12.985986,-1.461558,-2.669739,0.088000
881.000000,0.000000,0.000000,13.000000,0.000311,-0.004534,0.000000,0.000000,-22.658276,15.081802,-8.720295,-13.116596,-1.472892,-2.686144,0.090000
901.000000,0.000000,0.000000,11.000000,0.002810,-0.001525,0.000000,0.000000,-22.275749,14.793661,-8.801352,-13.239135,-1.483963,-2.702588,0.088000
921.000000,0.000000,0.000000,7.000000,-0.003396,-0.001045,0.000000,0.000000,-21.830750,14.390150,-8.874947,-13.353333,-1.493601,-2.718391,0.089000
941.000000,0.000000,0.000000,7.000000,-0.005252,0.001431,0.000000,0.000000,-21.491003,14.319531,-8.948355,-13.461720,-1.503693,-2.734781,0.088000
961.000000,0.000000,0.000000,8.000000,-0.004443,0.001581,0.000000,0.000000,-21.276430,14.090233,-9.016613,-13.566246,-1.514055,-2.750550,0.089000
981.000000,0.000000,0.000000,9.000000,-0.000363,-0.001641,0.000000,0.000000,-21.126978,13.845100,-9.080369,-13.667545,-1.524335,-2.765691,0.088000
1001.000000,0.000000,0.000000,9.000000,0.000696,-0.002889,0.000000,0.000000,-20.767830,13.536330,-9.138528,-13.761189,-1.534485,-2.780827,0.089000
1021.000000,0.000000,0.000000,10.000000,-0.000861,-0.003109,0.000000,0.000000,-20.490953,13.266554,-9.192290,-13.850070,-1.544126,-2.795330,0.088000
1041.000000,0.000000,0.000000,7.000000,-0.000383,-0.006389,0.000000,0.000000,-20.386902,13.298661,-9.247416,-13.937183,-1.554207,-2.810050,0.089000
1061.000000,0.000000,0.000000,12.000000,0.000159,-0.003550,0.000000,0.000000,-20.332603,13.344884,-9.302483,-14.022567,-1.564270,-2.824933,0.089000
1081.000000,0.000000,0.000000,6.000000,-0.000045,-0.005077,0.000000,0.000000,-19.913975,13.240888,-9.354464,-14.098825,-1.574095,-2.839121,0.089000
1101.000000,0.000000,0.000000,9.000000,-0.002364,-0.003331,0.000000,0.000000,-19.466278,12.831017,-9.398247,-14.167555,-1.583274,-2.853365,0.089000
1121.000000,0.000000,0.000000,11.000000,-0.000316,-0.002650,0.000000,0.000000,-19.249752,12.575063,-9.438674,-14.233554,-1.592727,-2.867500,0.089000
1141.000000,0.000000,0.000000,10.000000,-0.002614,-0.003408,0.000000,0.000000,-19.197672,12.576269,-9.479974,-14.298795,-1.601643,-2.881277,0.089000
1161.000000,0.000000,0.000000,11.000000,-0.003390,-0.004461,0.000000,0.000000,-19.221388,12.491885,-9.519023,-14.363859,-1.610753,-2.895527,0.089000
1181.000000,0.000000,0.000000,10.000000,-0.002647,-0.003279,0.000000,0.000000,-19.192194,12.267674,-9.553589,-14.427286,-1.619780,-2.909486,0.089000
1201.000000,0.000000,0.000000,11.000000,-0.002437,-0.003777,0.000000,0.000000,-18.911222,11.991342,-9.583495,-14.484463,-1.628526,-2.923368,0.089000
1221.000000,0.000000,0.000000,12.000000,0.000591,-0.003071,0.000000,0.000000,-18.457512,11.929857,-9.613310,-14.533496,-1.637951,-2.936880,0.088000
1241.000000,0.000000,0.000000,7.000000,0.000223,-0.003042,0.000000,0.000000,-18.098701,11.807914,-9.640651,-14.577326,-1.646844,-2.949897,0.089000
1261.000000,0.000000,0.000000,10.000000,-0.000024,-0.002541,0.000000,0.000000,-17.936983,11.727753,-9.666710,-14.619361,-1.655473,-2.963445,0.089000
1281.000000,0.000000,0.000000,12.000000,-0.004195,-0.003573,0.000000,0.000000,-17.672894,11.668497,-9.691682,-14.656520,-1.663682,-2.976224,0.089000
1301.000000,0.000000,0.000000,11.000000,-0.001363,-0.005012,0.000000,0.000000,-17.247786,11.391312,-9.711194,-14.686289,-1.672530,-2.988601,0.090000
1321.000000,0.000000,0.000000,9.000000,-0.000394,-0.003566,0.000000,0.000000,-16.974588,11.364894,-9.731456,-14.712648,-1.681090,-3.000928,0.089000
1341.000000,0.000000,0.000000,10.000000,-0.003707,-0.002806,0.000000,0.000000,-16.742702,11.156315,-9.747487,-14.735609,-1.689046,-3.013592,0.090000
1361.000000,0.000000,0.000000,11.000000,-0.002770,-0.002002,0.000000,0.000000,-16.721680,10.858641,-9.758617,-14.759123,-1.696868,-3.025989,0.090000
1381.000000,0.000000,0.000000,9.000000,-0.002481,-0.003911,0.000000,0.000000,-16.567421,10.835676,-9.770800,-14.779395,-1.705000,-3.037997,0.090000
1401.000000,0.000000,0.000000,9.000000,-0.001752,-0.003672,0.000000,0.000000,-16.307262,10.851304,-9.783241,-14.795138,-1.713540,-3.050293,0.089000
1421.000000,0.000000,0.000000,11.000000,0.001550,-0.001251,0.000000,0.000000,-16.121756,10.755977,-9.793550,-14.808472,-1.721921,-3.062554,0.088000
1441.000000,0.000000,0.000000,8.000000,0.002062,-0.002071,0.000000,0.000000,-15.841071,10.562605,-9.800452,-14.817147,-1.730378,-3.074255,0.089000
1461.000000,0.000000,0.000000,8.000000,0.004132,-0.003118,0.000000,0.000000,-15.601964,10.363949,-9.804441,-14.822577,-1.738709,-3.085746,0.089000
1481.000000,0.000000,0.000000,10.000000,0.002109,-0.003415,0.000000,0.000000,-15.411220,10.189661,-9.806066,-14.825526,-1.746559,-3.097155,0.090000
1501.000000,0.000000,0.000000,11.000000,0.000997,-0.003373,0.000000,0.000000,-15.240911,9.945062,-9.803844,-14.826159,-1.754212,-3.108443,0.088000
1521.000000,0.000000,0.000000,8.000000,0.000336,-0.002385,0.000000,0.000000,-15.021169,9.813088,-9.800432,-14.823424,-1.761596,-3.119736,0.088000
1541.000000,0.000000,0.000000,8.000000,-0.001842,-0.001684,0.000000,0.000000,-14.751429,9.861772,-9.798759,-14.816669,-1.769140,-3.131132,0.087000
1561.000000,0.000000,0.000000,6.000000,0.001193,0.000677,0.000000,0.000000,-14.579502,9.895751,-9.797504,-14.808144,-1.777251,-3.142465,0.088000
1581.000000,0.000000,0.000000,9.000000,0.002051,-0.001802,0.000000,0.000000,-14.543380,9.605093,-9.790381,-14.799994,-1.784613,-3.153201,0.088000
1601.000000,0.000000,0.000000,10.000000,0.001859,-0.001375,0.000000,0.000000,-14.495167,9.360406,-9.780187,-14.791216,-1.792037,-3.164577,0.088000
1621.000000,0.000000,0.000000,9.000000,-0.000795,0.001478,0.000000,0.000000,-14.347075,9.381622,-9.771918,-14.779929,-1.799248,-3.176015,0.088000
1641.000000,0.000000,0.000000,9.000000,0.000200,-0.000380,0.000000,0.000000,-14.025375,9.210732,-9.760301,-14.763325,-1.806346,-3.186481,0.089000
1661.000000,0.000000,0.000000,8.000000,0.001226,-0.002367,0.000000,0.000000,-13.821343,9.030557,-9.746270,-14.744755,-1.813506,-3.196745,0.090000
1681.000000,0.000000,0.000000,8.000000,0.000674,-0.003601,0.000000,0.000000,-13.567191,8.879524,-9.730486,-14.722607,-1.820479,-3.206847,0.089000
1701.000000,0.000000,0.000000,10.000000,-0.001680,-0.001357,0.000000,0.000000,-13.394598,8.760107,-9.713429,-14.698810,-1.827014,-3.217474,0.088000
1721.000000,0.000000,0.000000,10.000000,-0.000483,-0.001780,0.000000,0.000000,-13.509176,8.606520,-9.694273,-14.678562,-1.833758,-3.227631,0.088000
1741.000000,0.000000,0.000000,10.000000,-0.002491,0.000154,0.000000,0.000000,-13.444609,8.543134,-9.675005,-14.656700,-1.840094,-3.238597,0.089000
1761.000000,0.000000,0.000000,11.000000,-0.003314,0.001615,0.000000,0.000000,-13.214818,8.589366,-9.657271,-14.631007,-1.846221,-3.248857,0.089000
1781.000000,0.000000,0.000000,10.000000,-0.001620,0.001033,0.000000,0.000000,-12.790847,8.260461,-9.633087,-14.598654,-1.853076,-3.258846,0.088000
1801.000000,0.000000,0.000000,9.000000,-0.000636,-0.002511,0.000000,0.000000,-12.423193,7.792191,-9.601906,-14.561921,-1.858780,-3.267918,0.088000
1821.000000,0.000000,0.000000,10.000000,-0.000605,-0.002750,0.000000,0.000000,-12.169930,7.691463,-9.571809,-14.522801,-1.865007,-3.277267,0.088000
1841.000000,0.000000,0.000000,9.000000,0.001694,-0.003413,0.000000,0.000000,-12.086357,7.724537,-9.543352,-14.484016,-1.871631,-3.286326,0.089000
1861.000000,0.000000,0.000000,9.000000,0.001859,-0.003558,0.000000,0.000000,-12.026045,7.636856,-9.513399,-14.445070,-1.877898,-3.295492,0.088000
1881.000000,0.000000,0.000000,10.000000,0.003357,-0.003428,0.000000,0.000000,-11.939545,7.659735,-9.484813,-14.405322,-1.884620,-3.304646,0.088000
1901.000000,0.000000,0.000000,7.000000,0.003509,-0.003653,0.000000,0.000000,-11.703473,7.732749,-9.457940,-14.362000,-1.891003,-3.313530,0.088000
1921.000000,0.000000,0.000000,10.000000,0.002204,-0.002892,0.000000,0.000000,-11.472804,7.542882,-9.427322,-14.316092,-1.897235,-3.322528,0.090000
1941.000000,0.000000,0.000000,11.000000,0.000209,-0.002508,0.000000,0.000000,-11.293005,7.291526,-9.393275,-14.268602,-1.902631,-3.331008,0.089000
1961.000000,0.000000,0.000000,11.000000,-0.001384,-0.004400,0.000000,0.000000,-11.121665,7.193451,-9.359196,-14.219439,-1.908277,-3.339400,0.088000
1981.000000,0.000000,0.000000,12.000000,-0.000582,-0.002383,0.000000,0.000000,-11.065850,7.259509,-9.327445,-14.170840,-1.914106,-3.348295,0.089000
2001.000000,0.000000,0.000000,10.000000,-0.000735,-0.001834,0.000000,0.000000,-10.983938,7.130494,-9.293251,-14.121643,-1.919880,-3.356804,0.089000
2021.000000,0.000000,0.000000,8.000000,-0.002570,-0.003750,0.000000,0.000000,-10.788953,6.806357,-9.253914,-14.069785,-1.924750,-3.364872,0.089000
2041.000000,0.000000,0.000000,8.000000,-0.000177,-0.003817,0.000000,0.000000,-10.783031,6.631139,-9.213513,-14.019641,-1.930492,-3.373535,0.090000
2061.000000,0.000000,0.000000,10.000000,0.001712,-0.002613,0.000000,0.000000,-10.798644,6.677003,-9.175568,-13.970552,-1.936548,-3.381764,0.089000
2081.000000,0.000000,0.000000,8.000000,0.003769,-0.004146,0.000000,0.000000,-10.714625,6.847620,-9.141253,-13.920433,-1.942223,-3.389849,0.089000
2101.000000,0.000000,0.000000,14.000000,0.000482,-0.003469,0.000000,0.000000,-10.537724,6.852765,-9.106577,-13.868032,-1.947974,-3.398247,0.088000
2121.000000,0.000000,0.000000,8.000000,0.000296,-0.003470,0.000000,0.000000,-10.472917,6.718579,-9.069738,-13.816097,-1.953200,-3.406226,0.089000
2141.000000,0.000000,0.000000,10.000000,-0.002569,-0.003423,0.000000,0.000000,-10.387028,6.528937,-9.030459,-13.763583,-1.958202,-3.414431,0.088000
2161.000000,0.000000,0.000000,6.000000,0.000176,-0.003310,0.000000,0.000000,-10.072695,6.409958,-8.990469,-13.706140,-1.963562,-3.422136,0.088000
2181.000000,0.000000,0.000000,10.000000,0.000120,-0.002043,0.000000,0.000000,-9.776464,6.093184,-8.945504,-13.645464,-1.968446,-3.429709,0.089000
2201.000000,0.000000,0.000000,12.000000,-0.001616,-0.002370,0.000000,0.000000,-9.489532,5.833869,-8.897867,-13.581686,-1.972897,-3.437449,0.088000
2221.000000,0.000000,0.000000,11.000000,-0.001855,-0.004678,0.000000,0.000000,-9.269978,5.725314,-8.850232,-13.516118,-1.977697,-3.444065,0.089000
2241.000000,0.000000,0.000000,5.000000,-0.000960,-0.004627,0.000000,0.000000,-9.248322,5.686152,-8.803115,-13.452288,-1.982262,-3.451609,0.087000
2261.000000,0.000000,0.000000,6.000000,-0.001612,-0.002056,0.000000,0.000000,-9.318916,5.616711,-8.755529,-13.390876,-1.986816,-3.459172,0.088000
2281.000000,0.000000,0.000000,9.000000,-0.002130,-0.001261,0.000000,0.000000,-9.230438,5.575339,-8.708201,-13.328214,-1.991271,-3.466750,0.088000
2301.000000,0.000000,0.000000,9.000000,-0.000246,-0.002988,0.000000,0.000000,-8.915342,5.534355,-8.660978,-13.260766,-1.996253,-3.473567,0.088000
2321.000000,0.000000,0.000000,10.000000,0.000721,-0.003479,0.000000,0.000000,-8.630989,5.698376,-8.617875,-13.190469,-2.001406,-3.480430,0.089000
2341.000000,0.000000,0.000000,9.000000,0.003758,-0.003007,0.000000,0.000000,-8.593163,5.788968,-8.576248,-13.122022,-2.006620,-3.487093,0.089000
2361.000000,0.000000,0.000000,8.000000,0.000679,-0.005165,0.000000,0.000000,-8.634126,5.961627,-8.538095,-13.055569,-2.011483,-3.493760,0.089000
2381.000000,0.000000,0.000000,7.000000,-0.002127,-0.005302,0.000000,0.000000,-8.445496,5.992781,-8.500136,-12.986139,-2.016031,-3.500401,0.090000
2401.000000,0.000000,0.000000,13.000000,-0.003491,-0.003275,0.000000,0.000000,-8.253058,5.991964,-8.462531,-12.914985,-2.020911,-3.507196,0.089000
2421.000000,0.000000,0.000000,10.000000,-0.001556,-0.000149,0.000000,0.000000,-8.279516,5.783615,-8.421385,-12.846440,-2.025496,-3.514394,0.089000
2441.000000,0.000000,0.000000,11.000000,-0.001552,-0.001595,0.000000,0.000000,-8.359102,5.500894,-8.376448,-12.780288,-2.029875,-3.521054,0.088000
2461.000000,0.000000,0.000000,9.000000,-0.001625,-0.004882,0.000000,0.000000,-8.270404,5.290854,-8.329615,-12.712900,-2.034187,-3.527390,0.088000
2481.000000,0.000000,0.000000,8.000000,-0.002617,-0.003329,0.000000,0.000000,-8.077684,5.044867,-8.279801,-12.643193,-2.038034,-3.533827,0.087000
2501.000000,0.000000,0.000000,12.000000,-0.002707,-0.002873,0.000000,0.000000,-7.938898,4.882705,-8.228895,-12.572840,-2.041974,-3.540591,0.087000
2521.000000,0.000000,0.000000,9.000000,-0.001997,-0.001637,0.000000,0.000000,-7.750291,4.913736,-8.180230,-12.500569,-2.046102,-3.546705,0.088000
2541.000000,0.000000,0.000000,10.000000,-0.001309,-0.003580,0.000000,0.000000,-7.621125,4.862607,-8.131085,-12.427855,-2.050288,-3.552881,0.087000
2561.000000,0.000000,0.000000,7.000000,-0.001692,-0.001816,0.000000,0.000000,-7.531506,4.677546,-8.079302,-12.355144,-2.054087,-3.559379,0.089000
