I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
5.000000,45.000000,48.423988,-110.273857,-37.763584,-35.833702,5.375055,0.008600,0.000000,6.033656,0.634249,0.956000
4.000000,48.000000,35.648682,5.722476,-35.683968,-35.706429,5.355965,0.017170,0.000000,6.023134,0.709769,0.954000
4.000000,48.000000,34.939705,-22.834866,-35.551414,-35.574665,5.336200,0.025708,0.000000,6.011908,0.776369,0.957000
9.000000,50.000000,75.092926,34.401016,-54.989784,-52.077515,7.811627,0.038206,0.000000,8.499833,1.014321,0.957000
5.000000,48.000000,24.955917,296.975800,-35.546959,-38.026543,5.703981,0.047333,0.000000,6.401314,1.185110,0.955000
4.000000,46.000000,-4.906579,301.491638,-13.545065,-17.217285,2.582593,0.051465,0.000000,3.284058,1.639834,0.956000
11.000000,38.000000,48.562710,4.528736,-32.844711,-30.500599,4.575090,0.058785,0.000000,5.283875,2.289952,0.957000
4.000000,32.000000,-17.501583,-7.989161,-6.579399,-10.167578,1.525137,0.061225,0.000000,2.236362,2.797542,0.957000
3.000000,34.000000,-12.192549,-14.643122,0.866055,-0.788990,0.118349,0.061414,0.000000,0.829763,3.069284,0.958000
-2.000000,33.000000,-46.744564,-295.499298,20.022793,16.901026,-2.535154,0.057358,0.000000,-1.827796,3.466109,0.955000
-4.000000,33.000000,-49.045242,-105.940720,31.913727,29.661823,-4.449274,0.050595,0.000000,-3.748678,3.569060,0.956000
2.000000,31.000000,31.384569,-66.567505,-1.527048,3.151281,-0.472692,0.049801,0.000000,0.227109,3.281576,0.959000
10.000000,34.000000,136.095795,-19.999603,-66.672249,-56.198723,8.429809,0.063289,0.000000,9.143097,2.557114,0.955000
-4.000000,35.000000,24.077143,-185.534439,-41.993279,-44.124096,6.618615,0.073879,0.000000,7.342494,1.902013,0.955000
-10.000000,34.000000,-31.739637,116.839790,-5.023830,-10.888870,1.633331,0.076492,0.000000,2.359823,1.325454,0.957000
-4.000000,33.000000,2.688261,186.066483,-4.927900,-5.822046,0.873307,0.077889,0.000000,1.601196,1.013591,0.956000
3.000000,32.000000,36.539768,49.819260,-20.682714,-18.453613,2.768042,0.082097,0.000000,3.500139,1.142630,0.958000
5.000000,35.000000,35.891857,201.391769,-25.158817,-24.153038,3.622956,0.088183,0.000000,4.361139,1.316837,0.961000
4.000000,38.000000,16.565855,177.334778,-18.586098,-19.421139,2.913171,0.092844,0.000000,3.656015,1.406500,0.956000
0.000000,47.000000,-24.444550,-143.334091,1.078363,-1.996561,0.299484,0.093323,0.000000,1.042808,1.694958,0.958000
4.000000,39.000000,16.912441,51.018711,-8.944314,-7.902151,1.185323,0.095125,0.000000,1.930448,1.887733,0.957000
7.000000,39.000000,52.342426,199.598770,-28.126301,-25.092678,3.763902,0.101147,0.000000,4.515049,1.862062,0.957000
1.000000,41.000000,-2.420859,-10.882723,-11.444737,-13.491928,2.023789,0.104385,0.000000,2.778175,1.922907,0.956000
4.000000,38.000000,28.842091,-290.050262,-24.067513,-22.481174,3.372176,0.110051,0.000000,4.132227,2.211249,0.954000
0.000000,38.000000,-2.096230,-238.940109,-12.581873,-14.066768,2.110015,0.113258,0.000000,2.873273,2.452667,0.953000
