I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
0.000000,38.000000,2.958960,111.026855,-11.995829,-13.018278,1.301828,0.005207,0.000000,0.067035,-1.210214,1.042000
-1.000000,38.000000,-9.391858,-9.552214,-1.717688,-3.412776,0.341278,0.006572,0.000000,-0.892150,-1.178733,1.046000
0.000000,41.000000,-1.677551,-57.887840,-0.288734,-0.757340,0.075734,0.006875,0.000000,-1.157391,-1.189535,1.041000
0.000000,29.000000,5.080749,-193.978195,7.576010,8.892589,-0.889259,-0.005331,0.000000,-2.134590,-1.481282,1.039000
0.000000,28.000000,9.170939,-119.673401,1.057558,2.232812,-0.223281,-0.006224,0.000000,-1.469506,-1.660642,1.046000
-1.000000,32.000000,-1.014935,-12.499677,1.748871,1.821462,-0.182146,-0.006953,0.000000,-1.429099,-1.765743,1.044000
-5.000000,35.000000,-43.234367,115.191605,21.375998,18.442818,-1.844282,-0.014330,0.000000,-3.098612,-1.767992,1.037000
-1.000000,31.000000,1.099854,97.404701,7.697435,9.309242,-0.930924,-0.018054,0.000000,-2.188978,-1.819707,1.036000
-1.000000,28.000000,3.742792,135.419830,1.429027,2.611059,-0.261106,-0.019098,0.000000,-1.520204,-1.888430,1.038000
-1.000000,25.000000,8.263529,133.247955,-4.158715,-3.143249,0.314325,-0.017841,0.000000,-0.943516,-1.937891,1.041000
-1.000000,28.000000,5.256269,13.732992,-4.337089,-4.158012,0.415801,-0.016178,0.000000,-0.840377,-1.968665,1.047000
-3.000000,29.000000,-24.786066,97.965508,9.334372,7.310514,-0.731051,-0.019102,0.000000,-1.990154,-1.860440,1.049000
-2.000000,33.000000,-23.376261,41.556477,14.927822,13.785227,-1.378523,-0.024616,0.000000,-2.643139,-1.710852,1.041000
1.000000,25.000000,5.468778,-22.750278,4.385727,5.795652,-0.579565,-0.026934,0.000000,-1.846500,-1.674657,1.045000
0.000000,32.000000,-1.847586,-39.174557,4.213365,4.450707,-0.445071,-0.028715,0.000000,-1.713785,-1.732584,1.050000
-1.000000,35.000000,-6.558920,-3.841738,5.543231,5.379353,-0.537935,-0.030866,0.000000,-1.808802,-1.817426,1.046000
-1.000000,32.000000,-5.115088,56.788326,4.679337,4.784339,-0.478434,-0.032780,0.000000,-1.751214,-1.799266,1.045000
0.000000,31.000000,4.741105,15.155877,-0.129942,0.607200,-0.060720,-0.033023,0.000000,-1.333743,-1.779162,1.041000
0.000000,31.000000,4.820458,-6.606071,-2.040568,-1.643403,0.164340,-0.032366,0.000000,-1.108025,-1.843988,1.044000
0.000000,28.000000,8.283252,24.077724,-5.204104,-4.669999,0.467000,-0.030498,0.000000,-0.803498,-1.947646,1.044000
0.000000,24.000000,5.148343,-41.682491,-3.759622,-3.896179,0.389618,-0.028939,0.000000,-0.879321,-1.941066,1.049000
-7.000000,29.000000,-70.418793,-6.048960,33.321796,27.739101,-2.773910,-0.040035,0.000000,-4.053945,-1.988813,1.047000
-3.000000,31.000000,-31.319332,-131.031677,30.839535,30.374470,-3.037447,-0.052185,0.000000,-4.329632,-2.007735,1.038000
0.000000,31.000000,-0.144491,-116.789261,16.427372,18.519436,-1.851944,-0.059592,0.000000,-3.151536,-2.200807,1.041000
-3.000000,27.000000,-20.530554,-36.598671,19.890982,19.685249,-1.968525,-0.067466,0.000000,-3.275991,-2.469926,1.048000
-1.000000,39.000000,11.794196,12.360530,3.821920,6.201420,-0.620142,-0.069947,0.000000,-1.930089,-2.745898,1.050000
-1.000000,32.000000,14.211245,-18.642113,-3.818491,-2.315505,0.231550,-0.069021,0.000000,-1.077470,-2.945779,1.047000
0.000000,40.000000,21.908270,-46.037487,-11.651513,-10.251112,1.025111,-0.064920,0.000000,-0.279809,-3.119134,1.046000
-6.000000,33.000000,-47.388107,-0.727286,18.575769,14.251738,-1.425174,-0.070621,0.000000,-2.735795,-3.200361,1.036000
-6.000000,37.000000,-53.511055,-60.886044,34.490257,31.454479,-3.145448,-0.083203,0.000000,-4.468651,-3.230925,1.041000
0.000000,32.000000,-1.001710,-165.851456,17.886608,19.921787,-1.992179,-0.091172,0.000000,-3.323350,-3.300571,1.045000
1.000000,32.000000,4.429329,-123.412193,8.980351,10.621567,-1.062157,-0.095420,0.000000,-2.397577,-3.301600,1.048000
-1.000000,30.000000,-15.227699,-97.298622,13.897619,13.406212,-1.340621,-0.100783,0.000000,-2.681404,-3.423452,1.047000
-2.000000,34.000000,-16.474018,-91.070351,15.850819,15.484128,-1.548413,-0.106976,0.000000,-2.895389,-3.640661,1.046000
0.000000,34.000000,7.654684,-90.196037,4.816682,6.416799,-0.641680,-0.109543,0.000000,-1.991223,-3.812649,1.045000
0.000000,31.000000,8.304101,41.742580,-1.361077,-0.194396,0.019440,-0.109465,0.000000,-1.330026,-3.886677,1.046000
-2.000000,37.000000,-17.769520,44.850849,8.339053,7.059036,-0.705904,-0.112289,0.000000,-2.058193,-3.805915,1.048000
-2.000000,41.000000,-21.167187,38.843521,13.724676,12.724831,-1.272483,-0.117379,0.000000,-2.629862,-3.728200,1.047000
