I0,I1,I2,I3
-1.000000,-7.000000,0.247429,-1.950910
-1.000000,-7.000000,0.251586,-1.978008
-2.000000,-5.000000,-0.839837,-1.849348
-2.000000,-5.000000,0.227203,-2.026447
-2.000000,-5.000000,0.158691,-2.053687
-2.000000,0.000000,-1.039589,-0.878537
-2.000000,0.000000,0.138050,-1.963653
-2.000000,0.000000,0.141378,-1.969424
-1.000000,-1.000000,-1.041384,-0.744748
-1.000000,-1.000000,0.144489,-1.953370
-1.000000,-1.000000,-0.263332,-1.953370
-2.000000,-1.000000,-1.207487,-0.309798
-2.000000,-1.000000,-0.282790,-1.901176
-2.000000,-1.000000,-0.282316,-1.901176
-3.000000,-4.000000,-1.479054,-0.920972
-3.000000,-4.000000,-0.314648,-1.974517
-3.000000,-4.000000,-0.314391,-1.974517
-4.000000,-4.000000,-1.846278,-1.223825
-4.000000,-4.000000,-0.358495,-2.010859
-4.000000,-4.000000,-0.358532,-2.010859
-3.000000,1.000000,-1.838966,-1.158400
-3.000000,1.000000,-0.357686,-2.003008
-3.000000,1.000000,-0.406037,-1.643008
0.000000,1.000000,-1.344794,-0.565217
0.000000,1.000000,-0.346692,-1.571826
0.000000,1.000000,-0.346648,-1.571826
-2.000000,1.000000,-1.339176,-0.318416
-2.000000,1.000000,-0.345925,-1.542210
-2.000000,1.000000,-0.345876,-1.542210
-4.000000,0.000000,-1.785683,-0.108284
-4.000000,0.000000,-0.399766,-1.516994
-4.000000,0.000000,-0.472554,-1.180994
-6.000000,0.000000,-2.337386,-0.134416
-6.000000,0.000000,-0.539989,-1.184130
-6.000000,0.000000,-0.541218,-1.184130
-2.000000,0.000000,-2.198532,-0.132839
-2.000000,0.000000,-0.525675,-1.183941
-2.000000,0.000000,-0.526794,-1.111941
-2.000000,1.000000,-2.039733,-0.013723
-2.000000,1.000000,-0.508729,-1.097647
-2.000000,1.000000,-0.509721,-0.281647
-2.000000,2.000000,-2.039951,0.290878
-2.000000,2.000000,-0.510739,0.162905
-2.000000,2.000000,-0.511731,0.762905
