I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
0.000000,63.000000,6.963026,-70.978188,-6.390631,-5.916792,0.591679,0.004257,0.000000,0.095936,0.034449,0.757000
0.000000,68.000000,5.917378,63.738449,-5.024630,-5.278547,0.527855,0.006368,0.000000,0.034223,-0.035442,0.757000
-1.000000,69.000000,-6.371172,161.885742,0.482769,-1.156957,0.115696,0.006831,0.000000,-0.377473,-0.102204,0.758000
1.000000,70.000000,2.038228,-38.102234,-1.954769,-1.727704,0.172770,0.007522,0.000000,-0.319707,0.048199,0.759000
1.000000,71.000000,1.932182,-71.948814,-2.796331,-2.492190,0.249219,0.008519,0.000000,-0.242262,0.084853,0.761000
0.000000,68.000000,0.151567,3.714288,-1.738003,-1.952652,0.195265,0.009300,0.000000,-0.295435,0.014289,0.760000
2.000000,70.000000,20.575085,101.691757,-6.115697,-4.930855,0.493085,0.011273,0.000000,0.004358,-0.176881,0.762000
-2.000000,69.000000,-8.180659,1.148402,-0.981323,-2.105397,0.210540,0.012115,0.000000,-0.277346,-0.286412,0.764000
-2.000000,69.000000,-7.197046,-41.995525,0.097399,-0.529538,0.052954,0.012327,0.000000,-0.434720,-0.374003,0.765000
-2.000000,66.000000,-4.816940,-4.351532,1.013484,0.574325,-0.057433,0.012097,0.000000,-0.545336,-0.538122,0.767000
-1.000000,68.000000,2.719064,-89.799744,-1.670888,-1.031879,0.103188,0.012510,0.000000,-0.384303,-0.596794,0.768000
-3.000000,68.000000,-15.649393,-108.105766,2.459023,1.465479,-0.146548,0.011923,0.000000,-0.634624,-0.522428,0.770000
0.000000,75.000000,1.099242,-54.484859,-0.066725,0.369355,-0.036935,0.011776,0.000000,-0.525160,-0.411161,0.771000
0.000000,73.000000,-0.702888,92.099854,1.758812,1.363359,-0.136336,0.011230,0.000000,-0.625106,-0.442770,0.769000
1.000000,68.000000,8.505084,48.097816,-0.923804,-0.272856,0.027286,0.011339,0.000000,-0.461375,-0.527857,0.769000
0.000000,73.000000,3.049505,90.130394,0.155975,0.033926,-0.003393,0.011326,0.000000,-0.492067,-0.661160,0.774000
-1.000000,66.000000,-4.003493,-4.111076,1.167241,0.844689,-0.084469,0.010988,0.000000,-0.573481,-0.717593,0.776000
1.000000,64.000000,8.163161,27.502972,-1.472625,-0.813095,0.081310,0.011313,0.000000,-0.407377,-0.675573,0.777000
0.000000,67.000000,-4.610413,-59.440140,-0.018204,-0.244438,0.024444,0.011411,0.000000,-0.464145,-0.553892,0.778000
0.000000,61.000000,-2.929205,-20.199184,0.424867,0.234376,-0.023438,0.011317,0.000000,-0.512120,-0.515562,0.777000
2.000000,76.000000,16.281639,32.011013,-4.272274,-2.989638,0.298964,0.012513,0.000000,-0.188523,-0.582057,0.778000
0.000000,74.000000,1.231362,20.928865,-2.169151,-2.402669,0.240267,0.013474,0.000000,-0.246259,-0.606451,0.780000
0.000000,78.000000,-3.528759,6.114583,-0.537637,-1.068443,0.106844,0.013902,0.000000,-0.379254,-0.511462,0.780000
1.000000,72.000000,2.403686,-74.671249,-2.514413,-2.102876,0.210288,0.014743,0.000000,-0.274970,-0.392039,0.781000
2.000000,74.000000,10.801991,-25.007849,-5.062721,-4.220321,0.422032,0.016431,0.000000,-0.061537,-0.296984,0.783000
0.000000,70.000000,-1.948842,38.769852,-1.826794,-2.508014,0.250801,0.017434,0.000000,-0.231765,-0.356925,0.783000
2.000000,66.000000,13.465897,33.803471,-5.322131,-4.521206,0.452121,0.019243,0.000000,-0.028637,-0.345940,0.780000
2.000000,63.000000,11.304697,58.545795,-5.736612,-5.390696,0.539070,0.021399,0.000000,0.060468,-0.330079,0.782000
0.000000,67.000000,-1.978352,-68.065483,-4.132898,-4.490880,0.449088,0.023195,0.000000,-0.027717,-0.333163,0.783000
0.000000,76.000000,2.916365,-157.460999,-6.222979,-5.730007,0.573001,0.025487,0.000000,0.098488,-0.282749,0.785000
0.000000,73.000000,5.254098,-22.276367,-5.899104,-5.850977,0.585098,0.027828,0.000000,0.112925,-0.295965,0.783000
1.000000,71.000000,11.819232,-12.618152,-7.818108,-7.258244,0.725824,0.030731,0.000000,0.256555,-0.298614,0.783000
0.000000,74.000000,-1.202839,-90.125160,-5.981671,-6.344996,0.634500,0.033269,0.000000,0.167768,-0.111376,0.786000
2.000000,71.000000,10.317350,-57.900986,-8.347316,-7.777436,0.777744,0.036380,0.000000,0.314123,0.060276,0.786000
2.000000,62.000000,8.572527,14.994640,-7.806038,-7.797898,0.779790,0.039499,0.000000,0.319289,0.161769,0.784000
2.000000,67.000000,10.167131,112.733116,-6.930405,-7.177301,0.717730,0.042370,0.000000,0.260100,0.132530,0.784000
2.000000,61.000000,10.658263,154.480911,-6.058857,-6.377177,0.637718,0.044921,0.000000,0.182639,0.116575,0.785000
4.000000,72.000000,24.709030,27.806709,-11.487439,-10.033010,1.003301,0.048934,0.000000,0.552235,0.140422,0.787000
2.000000,68.000000,12.682094,-59.423763,-11.659668,-11.196706,1.119671,0.053413,0.000000,0.673083,0.152593,0.785000
1.000000,72.000000,13.688975,-78.884071,-13.048763,-12.521650,1.252165,0.058421,0.000000,0.810586,0.030927,0.785000
-1.000000,74.000000,7.101496,-2.383450,-10.928972,-11.382263,1.138226,0.062974,0.000000,0.701201,-0.219989,0.786000
-6.000000,67.000000,-28.824881,17.122269,0.919593,-2.581633,0.258163,0.064007,0.000000,-0.177830,-0.481758,0.786000
-1.000000,66.000000,10.833905,-23.211027,-5.382269,-4.585181,0.458518,0.065841,0.000000,0.024359,-0.695882,0.787000
0.000000,64.000000,16.099415,-81.031212,-9.173888,-7.867898,0.786790,0.068988,0.000000,0.355778,-0.780702,0.788000
-1.000000,67.000000,3.002680,-23.158890,-6.732557,-7.055686,0.705569,0.071810,0.000000,0.277379,-0.818354,0.788000
1.000000,66.000000,14.904011,-22.538492,-9.725722,-8.965804,0.896580,0.075397,0.000000,0.471977,-0.845722,0.789000
4.000000,68.000000,33.686241,-60.279839,-17.225853,-14.874964,1.487496,0.081347,0.000000,1.068843,-0.752075,0.787000
1.000000,68.000000,8.685663,53.875839,-12.263912,-13.007042,1.300704,0.086550,0.000000,0.887254,-0.824128,0.788000
0.000000,67.000000,3.525786,43.410690,-9.554915,-10.537424,1.053742,0.090764,0.000000,0.644507,-0.953749,0.789000
2.000000,70.000000,25.206175,-78.784920,-16.041039,-14.474657,1.447466,0.096554,0.000000,1.044020,-1.086902,0.790000
0.000000,65.000000,15.656313,86.163635,-13.622863,-13.865292,1.386529,0.102100,0.000000,0.988630,-1.383286,0.791000
0.000000,61.000000,16.570482,-34.824497,-15.164392,-14.794656,1.479466,0.108018,0.000000,1.087484,-1.575587,0.792000
0.000000,66.000000,15.289050,26.887569,-14.566548,-14.631470,1.463147,0.113871,0.000000,1.077018,-1.733292,0.791000
0.000000,64.000000,9.879854,13.789702,-13.012929,-13.473581,1.347358,0.119260,0.000000,0.966618,-1.783556,0.793000
4.000000,66.000000,33.869915,-45.990372,-20.236347,-18.311600,1.831160,0.126585,0.000000,1.457745,-1.688465,0.793000
2.000000,69.000000,10.366681,37.578491,-15.402025,-16.230118,1.623012,0.133077,0.000000,1.256089,-1.525436,0.793000
2.000000,64.000000,2.427012,-52.471241,-12.823784,-13.793259,1.379326,0.138594,0.000000,1.017920,-1.245097,0.794000
4.000000,63.000000,12.850367,-207.583817,-16.416565,-15.669947,1.566995,0.144862,0.000000,1.211857,-0.810749,0.793000
7.000000,54.000000,41.160389,-193.716064,-26.029104,-23.080790,2.308079,0.154095,0.000000,1.962174,-0.510703,0.795000
3.000000,52.000000,17.974535,-122.524399,-23.264254,-23.212038,2.321204,0.163379,0.000000,1.984583,-0.368071,0.797000
0.000000,53.000000,0.470928,32.982857,-15.927945,-18.001068,1.800107,0.170580,0.000000,1.470687,-0.473019,0.796000
0.000000,49.000000,7.892146,-110.182648,-16.510948,-16.935051,1.693505,0.177354,0.000000,1.370859,-0.565591,0.798000
0.000000,48.000000,11.906410,-54.125969,-16.184223,-16.397917,1.639792,0.183913,0.000000,1.323705,-0.609706,0.799000
1.000000,57.000000,15.630979,-69.067665,-17.134783,-16.925064,1.692506,0.190683,0.000000,1.383189,-0.618646,0.800000
5.000000,54.000000,44.511326,1.103091,-25.185499,-22.834499,2.283450,0.199817,0.000000,1.983267,-0.603934,0.800000
6.000000,52.000000,46.966496,35.312286,-29.579727,-27.659971,2.765997,0.210881,0.000000,2.476878,-0.546643,0.799000
1.000000,43.000000,-0.649257,72.832253,-18.147552,-20.854877,2.085488,0.219223,0.000000,1.804711,-0.398140,0.800000
1.000000,46.000000,-7.775342,86.340286,-11.057046,-13.845602,1.384560,0.224761,0.000000,1.109321,-0.233846,0.801000
6.000000,38.000000,29.233736,31.019745,-18.027767,-16.837482,1.683748,0.231496,0.000000,1.415244,-0.054225,0.800000
7.000000,37.000000,39.635006,7.549679,-23.571045,-21.654610,2.165461,0.240158,0.000000,1.905619,0.083698,0.802000
3.000000,38.000000,15.208457,-39.046535,-20.267416,-20.662224,2.066222,0.248423,0.000000,1.814645,0.132810,0.803000
3.000000,36.000000,23.491224,-22.551817,-21.826649,-21.495243,2.149524,0.257021,0.000000,1.906545,0.084510,0.804000
2.000000,41.000000,19.975233,-147.795334,-23.108374,-22.649261,2.264926,0.266081,0.000000,2.031007,0.086634,0.801000
7.000000,35.000000,58.958149,-71.392258,-34.541420,-31.156799,3.115680,0.278543,0.000000,2.894223,0.185109,0.802000
4.000000,37.000000,31.436657,85.049957,-30.050058,-30.365047,3.036505,0.290689,0.000000,2.827194,0.191123,0.803000
0.000000,38.000000,-6.736397,103.127419,-17.790831,-21.369572,2.136957,0.299237,0.000000,1.936194,0.258337,0.803000
7.000000,34.000000,40.232082,-6.995134,-27.126257,-25.487850,2.548785,0.309432,0.000000,2.358217,0.547000,0.804000
6.000000,33.000000,26.603859,-6.366996,-25.911791,-25.791134,2.579113,0.319749,0.000000,2.398862,0.855557,0.803000
5.000000,29.000000,17.316128,40.045288,-22.687998,-23.571180,2.357118,0.329177,0.000000,2.186295,1.103800,0.804000
9.000000,26.000000,51.929386,83.405510,-30.910965,-28.821991,2.882199,0.340706,0.000000,2.722905,1.265386,0.803000
3.000000,31.000000,5.788650,77.626320,-20.825220,-23.101177,2.310118,0.349946,0.000000,2.160064,1.392822,0.802000
5.000000,34.000000,21.473068,47.893223,-21.942240,-22.272085,2.227209,0.358855,0.000000,2.086064,1.571422,0.803000
7.000000,27.000000,39.141701,113.007034,-25.750872,-24.760777,2.476078,0.368760,0.000000,2.344837,1.657902,0.803000
3.000000,28.000000,8.381910,136.499023,-17.936131,-19.878490,1.987849,0.376711,0.000000,1.864560,1.661571,0.801000
1.000000,33.000000,-4.943715,72.467911,-11.417278,-13.825420,1.382542,0.382241,0.000000,1.264783,1.688199,0.801000
0.000000,40.000000,-10.747632,25.432461,-6.097450,-8.296905,0.829690,0.385560,0.000000,0.715250,1.784148,0.801000
6.000000,40.000000,37.359089,-3.828034,-17.069153,-14.572487,1.457249,0.391389,0.000000,1.348638,1.906901,0.803000
