I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
1.000000,75.000000,9.736915,-0.192076,-6.861594,-6.430872,0.643087,-1.793114,0.000000,-1.150027,-1.622217,0.935000
1.000000,74.000000,11.143746,-99.485992,-7.792449,-7.588213,0.758821,-1.790079,0.000000,-1.031258,-1.713674,0.931000
0.000000,69.000000,2.017521,-126.643776,-3.536429,-4.144197,0.414420,-1.788421,0.000000,-1.374002,-1.829495,0.932000
1.000000,75.000000,7.468715,-68.024658,-5.126209,-4.978908,0.497891,-1.786430,0.000000,-1.288539,-1.811659,0.929000
2.000000,80.000000,12.271240,37.637337,-9.001448,-8.398067,0.839807,-1.783070,0.000000,-0.943264,-1.679418,0.928000
4.000000,79.000000,26.846331,-22.532326,-17.396875,-16.047054,1.604705,-1.776652,0.000000,-0.171946,-1.533801,0.928000
2.000000,78.000000,9.051659,-33.815407,-12.211203,-12.786580,1.278658,-1.771537,0.000000,-0.492879,-1.423452,0.928000
3.000000,76.000000,13.498031,-42.926472,-12.713041,-12.724072,1.272407,-1.766447,0.000000,-0.494040,-1.232140,0.928000
1.000000,78.000000,-9.573724,-26.882053,-1.306355,-3.019011,0.301901,-1.765240,0.000000,-1.463339,-1.031163,0.925000
1.000000,83.000000,-11.746291,-50.453857,4.868178,3.685100,-0.368510,-1.766714,0.000000,-2.135224,-0.862349,0.926000
4.000000,78.000000,20.627445,15.779989,-8.628973,-6.781863,0.678186,-1.764001,0.000000,-1.085815,-0.783925,0.925000
5.000000,76.000000,36.604961,-21.972347,-21.473690,-19.269917,1.926992,-1.756293,0.000000,0.170699,-0.713564,0.923000
1.000000,83.000000,7.100670,-16.862217,-13.016671,-13.954659,1.395466,-1.750711,0.000000,-0.355245,-0.770964,0.923000
1.000000,84.000000,6.873598,-99.964760,-9.414480,-10.095507,1.009551,-1.746673,0.000000,-0.737122,-0.757462,0.925000
2.000000,83.000000,13.443550,-160.228241,-10.167246,-10.156485,1.015648,-1.742610,0.000000,-0.726962,-0.794582,0.927000
1.000000,87.000000,-0.262710,-32.351589,-4.623371,-5.453338,0.545334,-1.740429,0.000000,-1.195095,-0.701193,0.931000
0.000000,87.000000,-7.437284,-31.069239,1.302665,0.289265,-0.028926,-1.740545,0.000000,-1.769471,-0.683162,0.928000
2.000000,79.000000,15.005100,-62.961651,-6.728302,-5.675667,0.567567,-1.738275,0.000000,-1.170708,-0.699428,0.927000
0.000000,77.000000,1.358844,4.546638,-3.562722,-3.879663,0.387966,-1.736723,0.000000,-1.348756,-0.793965,0.927000
0.000000,77.000000,5.244386,-8.023893,-4.481786,-4.391468,0.439147,-1.734966,0.000000,-1.295819,-0.889113,0.930000
-1.000000,81.000000,-0.909626,-5.103378,-1.689887,-2.095124,0.209512,-1.734128,0.000000,-1.524616,-0.976522,0.930000
0.000000,79.000000,5.243092,-68.727386,-2.981834,-2.848828,0.284883,-1.732989,0.000000,-1.448106,-1.008261,0.936000
0.000000,80.000000,-0.047527,-71.932983,-0.681320,-1.006446,0.100645,-1.732586,0.000000,-1.631941,-1.029475,0.933000
4.000000,81.000000,34.328594,7.690132,-17.744423,-15.233727,1.523373,-1.726493,0.000000,-0.203120,-0.997008,0.933000
-1.000000,78.000000,-11.414092,23.747368,-2.147291,-4.110256,0.411026,-1.724848,0.000000,-1.313823,-0.992286,0.933000
0.000000,82.000000,-4.318093,85.474792,-0.750829,-1.254743,0.125474,-1.724347,0.000000,-1.598872,-0.830803,0.934000
5.000000,83.000000,40.871464,39.689793,-21.460001,-18.429213,1.842921,-1.716975,0.000000,0.125946,-0.738170,0.935000
0.000000,83.000000,-3.710661,85.387329,-8.213149,-9.745559,0.974556,-1.713077,0.000000,-0.738521,-0.711642,0.936000
1.000000,81.000000,10.319753,-53.531441,-9.497341,-9.534574,0.953457,-1.709263,0.000000,-0.755805,-0.747528,0.936000
0.000000,83.000000,-0.370414,49.512150,-5.077201,-5.745807,0.574581,-1.706964,0.000000,-1.132384,-0.693858,0.942000
0.000000,82.000000,-2.983756,20.451742,-1.585543,-2.209583,0.220958,-1.706081,0.000000,-1.485122,-0.634845,0.939000
0.000000,80.000000,-2.137663,142.770676,-1.463666,-1.575554,0.157555,-1.705450,0.000000,-1.547895,-0.526802,0.937000
0.000000,88.000000,1.909819,-14.920218,-1.593484,-1.590795,0.159079,-1.704814,0.000000,-1.545735,-0.559491,0.938000
0.000000,83.000000,8.170060,-98.626999,-3.894157,-3.548653,0.354865,-1.703395,0.000000,-1.348529,-0.802752,0.939000
-1.000000,80.000000,2.657915,-70.073441,-2.402550,-2.574465,0.257447,-1.702365,0.000000,-1.444918,-1.030356,0.938000
-1.000000,82.000000,7.679213,-147.451981,-3.652319,-3.490641,0.349064,-1.700969,0.000000,-1.351904,-1.274888,0.941000
-2.000000,72.000000,-4.323884,21.541687,0.201205,-0.352572,0.035257,-1.700827,0.000000,-1.665570,-1.363509,0.945000
-1.000000,87.000000,0.584465,9.852085,-0.567040,-0.534869,0.053487,-1.700613,0.000000,-1.647127,-1.426239,0.945000
0.000000,77.000000,6.690909,-28.345032,-3.329439,-2.910254,0.291025,-1.699449,0.000000,-1.408424,-1.477036,0.944000
-1.000000,80.000000,-5.409688,-88.070152,2.130419,1.374318,-0.137432,-1.699999,0.000000,-1.837431,-1.600999,0.942000
0.000000,76.000000,1.198409,-56.968987,0.657644,0.765145,-0.076515,-1.700305,0.000000,-1.776820,-1.654458,0.943000
0.000000,79.000000,-2.060023,-37.812458,1.790709,1.636874,-0.163687,-1.700960,0.000000,-1.864647,-1.641231,0.948000
0.000000,75.000000,-6.604873,-58.256237,4.703436,4.243452,-0.424345,-1.702657,0.000000,-2.127002,-1.580566,0.949000
1.000000,80.000000,0.868679,103.595688,0.651430,1.190233,-0.119023,-1.703133,0.000000,-1.822157,-1.437729,0.944000
1.000000,80.000000,-1.012200,189.894073,-0.797724,-0.499531,0.049953,-1.702934,0.000000,-1.652980,-1.113869,0.942000
0.000000,74.000000,-6.871929,296.324646,0.222953,0.114580,-0.011458,-1.702979,0.000000,-1.714437,-0.995345,0.944000
0.000000,77.000000,-3.820211,78.447899,1.182917,1.022666,-0.102267,-1.703388,0.000000,-1.805655,-0.926743,0.943000
-1.000000,79.000000,-8.426566,-100.746056,5.732077,5.025665,-0.502567,-1.705399,0.000000,-2.207965,-1.059709,0.943000
0.000000,78.000000,3.598222,-22.633469,0.940056,1.552897,-0.155290,-1.706020,0.000000,-1.861310,-1.154533,0.944000
-1.000000,80.000000,-4.534397,-1.193666,3.055584,2.830181,-0.283018,-1.707152,0.000000,-1.990170,-1.241354,0.944000
0.000000,81.000000,8.113883,15.547830,-2.797329,-1.953203,0.195320,-1.706371,0.000000,-1.511050,-1.330807,0.947000
0.000000,85.000000,5.316506,-17.623856,-3.458616,-3.232804,0.323280,-1.705078,0.000000,-1.381797,-1.361076,0.944000
0.000000,82.000000,3.621517,7.181533,-3.498976,-3.459050,0.345905,-1.703694,0.000000,-1.357789,-1.414480,0.943000
-2.000000,84.000000,-17.054096,115.521736,5.642306,4.277103,-0.427710,-1.705405,0.000000,-2.133115,-1.371803,0.943000
-1.000000,80.000000,-8.102880,-0.074083,6.190732,5.903687,-0.590369,-1.707766,0.000000,-2.298135,-1.335775,0.948000
0.000000,84.000000,-4.586741,-77.784897,6.023063,6.005157,-0.600516,-1.710168,0.000000,-2.310684,-1.271046,0.946000
0.000000,86.000000,-5.717282,-50.495277,6.366172,6.312020,-0.631202,-1.712693,0.000000,-2.343895,-1.255387,0.947000
0.000000,79.000000,-4.266041,-86.363319,6.152663,6.176567,-0.617657,-1.715164,0.000000,-2.332820,-1.283783,0.947000
0.000000,79.000000,-3.154056,-197.060165,6.635913,6.567011,-0.656701,-1.717790,0.000000,-2.374492,-1.326581,0.947000
0.000000,78.000000,-3.848202,-116.532623,6.372933,6.402045,-0.640204,-1.720351,0.000000,-2.360556,-1.368028,0.946000
-2.000000,80.000000,-20.430119,-137.882095,14.794903,13.535975,-1.353598,-1.725766,0.000000,-3.079363,-1.535519,0.947000
0.000000,81.000000,0.844149,-63.345608,6.979369,7.962860,-0.796286,-1.728951,0.000000,-2.525237,-1.600824,0.949000
-1.000000,84.000000,-7.891410,-119.441757,9.121552,8.947748,-0.894775,-1.732530,0.000000,-2.627305,-1.752890,0.948000
0.000000,79.000000,2.121946,-83.855202,4.251453,4.955897,-0.495590,-1.734512,0.000000,-2.230102,-1.857953,0.947000
0.000000,82.000000,4.579189,-31.445225,0.502807,1.170770,-0.117077,-1.734981,0.000000,-1.852058,-1.974885,0.950000
-3.000000,78.000000,-24.371893,-45.195808,13.223289,11.415411,-1.141541,-1.739547,0.000000,-2.881088,-2.007422,0.948000
-1.000000,73.000000,-5.547720,-46.142757,8.942993,9.313856,-0.931386,-1.743272,0.000000,-2.674658,-2.105578,0.949000
-2.000000,75.000000,-15.351002,33.610222,11.996326,11.593956,-1.159396,-1.747910,0.000000,-2.907305,-2.134248,0.952000
0.000000,75.000000,5.680537,21.129234,2.745418,4.072698,-0.407270,-1.749539,0.000000,-2.156809,-2.182860,0.953000
-2.000000,76.000000,-9.134667,89.232391,5.711359,5.465560,-0.546556,-1.751725,0.000000,-2.298281,-2.262524,0.953000
0.000000,77.000000,7.960220,27.756630,-1.524896,-0.476328,0.047633,-1.751535,0.000000,-1.703902,-2.253293,0.955000
0.000000,73.000000,7.346082,-45.837044,-3.452834,-3.006358,0.300636,-1.750332,0.000000,-1.449696,-2.363961,0.956000
-1.000000,75.000000,-5.023482,-3.068001,1.039242,0.432402,-0.043240,-1.750505,0.000000,-1.793745,-2.374303,0.956000
0.000000,72.000000,0.012443,89.133179,-0.681353,-0.514289,0.051429,-1.750299,0.000000,-1.698870,-2.278131,0.962000
0.000000,74.000000,-3.408802,113.854996,0.308706,0.185257,-0.018526,-1.750373,0.000000,-1.768899,-2.127136,0.962000
0.000000,76.000000,-10.188689,51.820511,4.668768,3.996241,-0.399624,-1.751972,0.000000,-2.151596,-1.868985,0.957000
1.000000,72.000000,-4.970504,64.546326,3.837909,3.861659,-0.386166,-1.753517,0.000000,-2.139683,-1.653325,0.962000
0.000000,76.000000,-14.423532,-82.005424,9.962650,9.047502,-0.904750,-1.757136,0.000000,-2.661886,-1.529059,0.961000
1.000000,83.000000,-3.276436,-7.305776,6.235026,6.656898,-0.665690,-1.759798,0.000000,-2.425488,-1.471278,0.960000
1.000000,78.000000,1.245799,14.943376,2.556116,3.171233,-0.317123,-1.761067,0.000000,-2.078190,-1.398127,0.963000
0.000000,77.000000,-5.168386,-15.909928,4.328909,4.155258,-0.415526,-1.762729,0.000000,-2.178255,-1.402508,0.959000
-2.000000,72.000000,-20.085695,-54.230034,12.662777,11.386648,-1.138665,-1.767284,0.000000,-2.905949,-1.458932,0.960000
0.000000,73.000000,2.007033,-49.712563,5.186933,6.116890,-0.611689,-1.769730,0.000000,-2.381419,-1.564940,0.959000
0.000000,82.000000,4.113403,58.693924,0.414804,1.270117,-0.127012,-1.770239,0.000000,-1.897250,-1.611361,0.961000
-1.000000,71.000000,-4.095484,22.969296,2.453107,2.275659,-0.227566,-1.771149,0.000000,-1.998715,-1.638537,0.966000
-1.000000,80.000000,-2.437129,42.617767,1.930216,1.982033,-0.198203,-1.771942,0.000000,-1.970145,-1.712456,0.963000
-1.000000,73.000000,-3.583060,4.980144,2.732745,2.620138,-0.262014,-1.772990,0.000000,-2.035004,-1.737598,0.965000
0.000000,74.000000,5.611513,-64.513283,-0.850555,-0.329951,0.032995,-1.772858,0.000000,-1.739863,-1.835768,0.962000
1.000000,75.000000,13.559404,88.307625,-7.827754,-6.703084,0.670308,-1.770177,0.000000,-1.099868,-1.840336,0.962000
-4.000000,73.000000,-35.225765,91.584000,13.345500,10.338212,-1.033821,-1.774312,0.000000,-2.808133,-1.858671,0.962000
-6.000000,75.000000,-54.512703,70.710236,31.718355,28.511333,-2.851133,-1.785716,0.000000,-4.636849,-1.882594,0.965000
-1.000000,75.000000,-4.672695,-35.833508,16.950350,18.684498,-1.868450,-1.793190,0.000000,-3.661640,-1.950745,0.965000
-1.000000,67.000000,-2.284911,-0.140372,10.486109,11.715867,-1.171587,-1.797876,0.000000,-2.969463,-2.116430,0.965000
-2.000000,70.000000,-2.241824,-40.138000,7.380226,8.030572,-0.803057,-1.801089,0.000000,-2.604146,-2.400474,0.966000
-1.000000,67.000000,12.335725,-71.382088,-1.438755,-0.018356,0.001836,-1.801081,0.000000,-1.799246,-2.684691,0.972000
-4.000000,69.000000,-16.943220,-68.255249,9.144984,7.770483,-0.777048,-1.804189,0.000000,-2.581238,-2.935533,0.968000
-5.000000,69.000000,-32.788887,-1.391333,20.293598,18.415133,-1.841513,-1.811556,0.000000,-3.653069,-3.064694,0.966000
0.000000,69.000000,6.832830,161.679779,4.174354,6.310470,-0.631047,-1.814080,0.000000,-2.445127,-2.983267,0.967000
0.000000,69.000000,1.079164,148.729279,1.128360,1.905676,-0.190568,-1.814842,0.000000,-2.005409,-2.839473,0.968000
