I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
1000.000000,13.516289,-64.365997,-184.593628,12.608630,-7.119026,36.364975,-15.679781,-24.201939,8.708920,77.000000,0.508000,3.000000,0.000000,1.000000,2.000000
927.742310,1000.000000,-23.034834,-223.714203,12.608630,-7.119026,35.834827,-16.412329,-23.663525,9.453606,77.000000,0.508000,3.000000,0.000000,1.000000,2.000000
-1000.000000,-919.309753,57.742481,-179.466537,16.270506,-8.065604,35.653278,-17.111448,-19.852186,9.241551,77.000000,0.508000,4.000000,-3.000000,1.000000,2.000000
1000.000000,-1000.000000,118.864548,-170.524033,16.270506,-8.065604,35.728973,-17.500196,-19.738859,9.555913,77.000000,0.508000,4.000000,-3.000000,1.000000,2.000000
296.495972,-1000.000000,157.013367,-260.453735,16.270506,-8.065604,35.976543,-18.363291,-20.085848,10.474404,77.000000,0.508000,4.000000,-3.000000,1.000000,2.000000
181.763977,-1000.000000,207.661560,-394.227173,16.270506,-8.065604,36.419159,-19.738836,-20.536013,11.872592,77.000000,0.508000,4.000000,-3.000000,1.000000,2.000000
-48.763454,-1000.000000,252.613205,-537.548096,16.270506,-8.065604,37.031261,-21.656191,-21.158434,13.821424,77.000000,0.508000,4.000000,-3.000000,1.000000,2.000000
-325.331696,-1000.000000,233.789978,-676.809204,17.262409,-9.789920,37.707790,-24.721107,-20.936966,15.247817,82.000000,0.509000,2.000000,-1.000000,1.000000,2.000000
1000.000000,1000.000000,199.770187,-744.358826,17.262409,-9.789920,38.010239,-26.739531,-21.044189,17.162766,82.000000,0.509000,2.000000,-1.000000,1.000000,2.000000
837.824463,1000.000000,230.834793,-658.054016,17.262409,-9.789920,38.527302,-29.046450,-21.670502,19.579830,82.000000,0.509000,2.000000,-1.000000,1.000000,2.000000
-376.835205,1000.000000,281.410126,-427.143341,17.262409,-9.789920,39.234768,-30.407158,-22.389870,20.963108,82.000000,0.509000,2.000000,-1.000000,1.000000,2.000000
358.307159,259.216248,302.307465,-143.720642,17.262409,-9.789920,40.012768,-30.630095,-23.180927,21.190125,82.000000,0.509000,2.000000,-1.000000,1.000000,2.000000
491.991089,596.695618,303.974762,98.527580,17.309374,-9.928256,40.973789,-29.717484,-24.222441,20.206711,73.000000,0.509000,2.000000,0.000000,1.000000,2.000000
-1000.000000,-668.104126,273.317139,252.035828,17.309374,-9.928256,41.455139,-28.723270,-24.483873,19.031628,73.000000,0.509000,2.000000,0.000000,1.000000,2.000000
-396.684204,1000.000000,188.123215,326.530640,17.309374,-9.928256,41.749054,-27.123974,-24.897600,17.486900,73.000000,0.509000,2.000000,0.000000,1.000000,2.000000
664.240845,1000.000000,80.919983,388.261597,17.309374,-9.928256,41.615887,-25.306919,-24.762705,15.640683,73.000000,0.509000,2.000000,0.000000,1.000000,2.000000
-910.689392,1000.000000,-4.852645,485.803864,17.309374,-9.928256,41.146820,-23.134670,-24.286448,13.433461,73.000000,0.509000,2.000000,0.000000,1.000000,2.000000
722.944153,-733.605652,-51.987839,566.688721,15.791384,-7.222316,40.309509,-20.022316,-25.094683,13.076428,84.000000,0.510000,1.000000,0.000000,1.000000,2.000000
