I0,I1,I2,I3,I4,I5,I6,I7,I8
0.000000,0.000000,107.000000,-0.124254,-0.040141,-0.000925,0.166709,-0.010409,0.002943
0.000000,0.000000,113.000000,0.000710,0.174054,-0.009962,0.173676,0.000059,-0.012759
0.000000,0.000000,125.000000,0.082771,0.175588,-0.038094,0.041371,0.006934,-0.012871
0.000000,0.000000,123.000000,-0.082805,-0.051820,-0.018761,0.084207,-0.006937,0.003799
0.000000,0.000000,127.000000,-0.012387,0.108671,0.022325,0.125080,-0.001038,-0.007966
0.000000,0.000000,111.000000,0.024249,0.225427,-0.039774,0.082452,0.002031,-0.016525
0.000000,0.000000,116.000000,-0.026996,-0.011298,-0.016309,0.074163,-0.002262,0.000828
0.000000,0.000000,122.000000,-0.047346,0.066859,0.000061,0.110015,-0.003966,-0.004901
0.000000,0.000000,126.000000,0.043738,0.183839,-0.033569,0.086715,0.003664,-0.013476
0.000000,0.000000,116.000000,0.003460,0.062142,-0.009768,0.092461,0.000290,-0.004555
0.000000,0.000000,112.000000,-0.020065,0.077564,0.009719,0.087032,-0.001681,-0.005686
0.000000,0.000000,118.000000,0.031854,0.169273,-0.011282,0.102984,0.002669,-0.012408
0.000000,0.000000,127.000000,0.009037,0.078250,0.018343,0.110922,0.000757,-0.005736
0.000000,0.000000,123.000000,0.015038,0.042965,0.021491,0.115194,0.001260,-0.003149
0.000000,0.000000,119.000000,0.000891,0.128411,-0.015816,0.095124,0.000075,-0.009413
0.000000,0.000000,115.000000,-0.020263,0.125899,-0.018599,0.104708,-0.001698,-0.009229
0.000000,0.000000,122.000000,0.000968,0.058937,-0.009022,0.111991,0.000081,-0.004320
0.000000,0.000000,127.000000,0.055920,0.100137,-0.007741,0.085089,0.004685,-0.007340
0.000000,0.000000,124.000000,-0.022325,0.131781,0.009624,0.089918,-0.001870,-0.009660
0.000000,0.000000,117.000000,-0.042498,0.051586,0.013834,0.115548,-0.003560,-0.003781
0.000000,0.000000,118.000000,-0.036369,0.112796,-0.018992,0.096333,-0.003047,-0.008268
0.000000,0.000000,123.000000,-0.020309,0.119568,-0.002850,0.072225,-0.001701,-0.008765
0.000000,0.000000,124.000000,0.022993,0.045568,-0.022587,0.079489,0.001926,-0.003340
0.000000,0.000000,124.000000,-0.025745,0.070925,-0.008396,0.074043,-0.002157,-0.005199
0.000000,0.000000,106.000000,-0.021136,0.074285,-0.024306,0.051379,-0.001771,-0.005445
0.000000,0.000000,120.000000,-0.056361,0.141442,-0.023028,0.102475,-0.004722,-0.010368
0.000000,0.000000,124.000000,-0.052292,0.111135,-0.033818,0.095220,-0.004381,-0.008147
0.000000,0.000000,123.000000,0.001269,0.085544,-0.002927,0.090865,0.000106,-0.006271
0.000000,0.000000,120.000000,-0.067194,0.063112,-0.031444,0.088642,-0.005629,-0.004626
0.000000,0.000000,116.000000,-0.030704,0.092701,-0.010979,0.089233,-0.002572,-0.006795
0.000000,0.000000,118.000000,0.007366,0.082707,-0.030241,0.084933,0.000617,-0.006063
