I0,I1,I2,I3,I4,I5,I6,I7,I8
0.000000,0.000000,88.000000,1.518834,-0.649929,1.339017,-0.547802,0.127242,0.047642
0.000000,0.000000,83.000000,1.902683,-0.988239,1.711744,-0.783871,0.159399,0.072442
0.000000,-1.000000,87.000000,2.191280,-1.094556,2.057253,-1.120830,0.183576,0.080235
0.000000,0.000000,92.000000,1.983416,-0.513100,2.179552,-0.780626,0.166162,0.037612
0.000000,0.000000,87.000000,0.978120,-0.224262,1.415717,-0.403990,0.081943,0.016439
-1.000000,0.000000,85.000000,0.657872,0.785815,0.808840,0.331263,0.055114,-0.057603
-3.000000,0.000000,84.000000,1.070442,1.828300,0.795253,1.350306,0.089677,-0.134021
2.000000,0.000000,86.000000,1.744723,2.015128,1.482259,2.047129,0.146166,-0.147717
-1.000000,1.000000,87.000000,2.068030,1.045030,1.971179,1.609513,0.173251,-0.076605
0.000000,0.000000,87.000000,2.092078,-0.461171,2.041722,0.227838,0.175266,0.033806
-1.000000,0.000000,90.000000,3.045332,-0.578769,2.529441,-0.643654,0.255125,0.042426
0.000000,-1.000000,88.000000,3.541021,-0.074331,3.376616,-0.313762,0.296652,0.005449
1.000000,0.000000,83.000000,2.574703,-0.165786,3.179706,-0.018748,0.215698,0.012153
2.000000,0.000000,83.000000,0.498307,-1.199115,1.491707,-0.759278,0.041746,0.087900
-1.000000,0.000000,84.000000,-0.936311,-1.207536,-0.387372,-1.368668,-0.078440,0.088517
-1.000000,0.000000,87.000000,-0.703865,0.213781,-0.886611,-0.517045,-0.058967,-0.015671
0.000000,0.000000,85.000000,-0.614144,1.506078,-0.669708,0.897391,-0.051450,-0.110401
1.000000,0.000000,92.000000,-1.579317,1.643039,-0.995923,1.750983,-0.132309,-0.120441
-1.000000,0.000000,84.000000,-2.855883,0.715190,-2.354844,1.163331,-0.239254,-0.052426
-1.000000,0.000000,86.000000,-2.532018,0.267126,-2.830221,0.407457,-0.212122,-0.019581
0.000000,2.000000,87.000000,-0.822796,0.390869,-1.701707,0.324604,-0.068930,-0.028652
1.000000,0.000000,90.000000,0.747047,0.089034,0.114170,0.306055,0.062584,-0.006526
2.000000,-1.000000,85.000000,1.088971,-0.648785,1.034540,-0.292353,0.091229,0.047558
-2.000000,0.000000,87.000000,0.778716,-0.787594,0.915720,-0.817667,0.065238,0.057734
-1.000000,0.000000,92.000000,0.395236,-0.275840,0.603865,-0.533933,0.033111,0.020220
1.000000,-1.000000,91.000000,-0.559489,-0.262080,-0.084886,-0.227762,-0.046872,0.019211
0.000000,0.000000,88.000000,-0.701167,0.111476,-0.802863,-0.179390,-0.058741,-0.008172
1.000000,0.000000,84.000000,0.570904,1.099426,-0.107293,0.622169,0.047828,-0.080592
0.000000,1.000000,89.000000,1.707922,1.250656,1.282596,1.326996,0.143082,-0.091678
-2.000000,0.000000,89.000000,1.431535,0.095568,1.600541,0.642198,0.119928,-0.007005
0.000000,0.000000,89.000000,1.111267,-0.603446,1.278808,-0.289668,0.093097,0.044235
1.000000,0.000000,90.000000,0.704876,-1.270879,0.867288,-1.027400,0.059052,0.093160
1.000000,0.000000,91.000000,0.463475,-1.314123,0.550160,-1.364715,0.038828,0.096330
0.000000,0.000000,84.000000,0.830474,-0.719027,0.564344,-1.013416,0.069574,0.052707
0.000000,0.000000,83.000000,1.620144,-0.064314,1.237364,-0.333117,0.135729,0.004714
-2.000000,0.000000,90.000000,1.530533,-0.373767,1.653797,-0.164253,0.128222,0.027399
-3.000000,0.000000,92.000000,1.885784,0.342331,1.648717,-0.131272,0.157983,-0.025094
2.000000,0.000000,84.000000,1.609425,0.638795,1.780270,0.552879,0.134831,-0.046826
0.000000,0.000000,88.000000,0.912635,0.229193,1.289185,0.487601,0.076457,-0.016801
0.000000,1.000000,93.000000,0.531880,0.139721,0.609230,0.045862,0.044559,-0.010242
-1.000000,0.000000,84.000000,1.203836,1.219953,0.937037,0.758231,0.100852,-0.089427
-1.000000,0.000000,90.000000,0.864389,1.165729,1.079358,1.291565,0.072415,-0.085452
1.000000,0.000000,87.000000,0.291900,-0.045689,0.501026,0.558417,0.024454,0.003349
0.000000,0.000000,90.000000,0.755934,-0.988448,0.466548,-0.571657,0.063329,0.072457
-1.000000,0.000000,91.000000,1.481833,-1.338419,1.212927,-1.190290,0.124142,0.098111
0.000000,0.000000,87.000000,1.636919,-1.240436,1.554712,-1.367806,0.137134,0.090929
-1.000000,-2.000000,87.000000,1.331255,-0.666099,1.549195,-0.960961,0.111527,0.048828
1.000000,1.000000,84.000000,0.307226,-0.584988,0.855839,-0.567495,0.025738,0.042882
0.000000,0.000000,87.000000,-0.812666,-0.533591,-0.309483,-0.559671,-0.068082,0.039114
-1.000000,0.000000,86.000000,-1.245948,-0.126469,-1.147970,-0.428766,-0.104380,0.009271
-1.000000,0.000000,88.000000,-1.417139,0.398118,-1.285954,0.226381,-0.118722,-0.029184
1.000000,0.000000,90.000000,-1.808774,0.506009,-1.582343,0.471315,-0.151531,-0.037092
1.000000,0.000000,86.000000,-2.055198,0.899642,-2.052890,0.672207,-0.172176,-0.065947
2.000000,-1.000000,87.000000,-1.289418,1.065171,-1.704212,1.051175,-0.108022,-0.078081
0.000000,1.000000,89.000000,-0.468910,0.224195,-0.791076,0.738374,-0.039283,-0.016434
-2.000000,0.000000,89.000000,0.073258,-0.907755,-0.236927,-0.485519,0.006137,0.066542
0.000000,0.000000,85.000000,1.047068,-0.888947,0.564838,-0.965189,0.087719,0.065163
1.000000,0.000000,86.000000,1.947997,0.033655,1.538433,-0.433676,0.163195,-0.002467
0.000000,0.000000,87.000000,1.544418,-0.200678,1.853441,0.024228,0.129385,0.014710
0.000000,0.000000,88.000000,0.449211,-0.483909,1.026980,-0.357605,0.037633,0.035472
-1.000000,0.000000,89.000000,-0.723307,-0.133162,-0.269699,-0.411799,-0.060596,0.009761
-1.000000,0.000000,88.000000,-0.859442,0.980380,-0.824763,0.470996,-0.072000,-0.071866
0.000000,0.000000,88.000000,-1.023993,1.324801,-0.918460,1.269354,-0.085786,-0.097113
2.000000,1.000000,84.000000,-1.294489,1.031961,-1.093552,1.259191,-0.108447,-0.075647
-1.000000,0.000000,86.000000,-1.770948,0.303411,-1.581549,0.552385,-0.148363,-0.022241
0.000000,0.000000,87.000000,-0.821385,1.045244,-1.374650,0.608361,-0.068812,-0.076620
0.000000,0.000000,82.000000,0.483493,1.761323,-0.094885,1.442371,0.040505,-0.129112
0.000000,0.000000,88.000000,0.641884,1.182643,0.695780,1.556776,0.053774,-0.086692
2.000000,1.000000,86.000000,-0.312586,-0.137811,0.197269,0.539988,-0.026187,0.010102
1.000000,0.000000,90.000000,-1.103693,-1.000920,-0.842625,-0.704028,-0.092463,0.073371
0.000000,0.000000,88.000000,-0.475617,-0.391198,-0.870725,-0.764772,-0.039845,0.028676
0.000000,0.000000,85.000000,0.753198,0.587703,0.220555,0.161928,0.063100,-0.043081
0.000000,0.000000,86.000000,1.468484,1.033650,1.180722,0.876495,0.123023,-0.075771
-1.000000,0.000000,83.000000,1.309157,1.009094,1.420826,1.002465,0.109676,-0.073970
0.000000,0.000000,87.000000,0.995502,1.290571,1.105793,1.105393,0.083399,-0.094604
0.000000,0.000000,88.000000,0.765700,1.249950,0.875003,1.317044,0.064147,-0.091626
0.000000,0.000000,91.000000,1.256169,1.052517,0.891534,1.117060,0.105237,-0.077153
0.000000,0.000000,87.000000,1.965363,0.249028,1.643607,0.681377,0.164650,-0.018255
0.000000,0.000000,86.000000,1.477345,-1.219868,1.796014,-0.574719,0.123766,0.089421
0.000000,0.000000,84.000000,0.683873,-1.471159,1.086744,-1.445351,0.057292,0.107842
-1.000000,0.000000,83.000000,0.072128,-0.799203,0.274160,-1.164971,0.006043,0.058585
0.000000,0.000000,94.000000,0.390610,0.029951,0.193699,-0.339915,0.032724,-0.002196
0.000000,0.000000,90.000000,0.659425,0.546476,0.590260,0.325312,0.055244,-0.040059
0.000000,0.000000,89.000000,0.217160,0.902923,0.527468,0.761422,0.018193,-0.066188
0.000000,0.000000,84.000000,-0.424711,1.103801,-0.142169,1.008604,-0.035581,-0.080913
0.000000,-1.000000,88.000000,-1.173378,0.684158,-0.841224,0.943770,-0.098301,-0.050151
0.000000,1.000000,85.000000,-0.932881,0.125981,-1.161936,0.347581,-0.078153,-0.009235
0.000000,0.000000,86.000000,-0.191884,0.206280,-0.485874,0.130753,-0.016075,-0.015121
0.000000,0.000000,86.000000,-0.581199,0.500185,-0.246587,0.359243,-0.048690,-0.036665
0.000000,0.000000,90.000000,-1.890052,0.240806,-1.231149,0.373158,-0.158341,-0.017652
1.000000,0.000000,87.000000,-2.670704,0.109146,-2.467898,0.102992,-0.223740,-0.008001
0.000000,0.000000,86.000000,-1.488089,1.158390,-2.165414,0.582355,-0.124666,-0.084914
0.000000,0.000000,85.000000,0.091125,1.890965,-0.534276,1.724441,0.007634,-0.138615
1.000000,0.000000,85.000000,0.244683,0.965713,0.306478,1.531430,0.020499,-0.070790
0.000000,0.000000,87.000000,-0.356093,-0.700913,-0.068179,0.012045,-0.029832,0.051380
0.000000,0.000000,87.000000,0.057103,-0.797355,-0.244101,-0.887525,0.004784,0.058449
0.000000,0.000000,89.000000,1.308187,-0.024867,0.658156,-0.423639,0.109594,0.001823
0.000000,0.000000,91.000000,1.725251,0.093948,1.659780,0.145640,0.144534,-0.006887
0.000000,0.000000,86.000000,0.832213,-0.555156,1.380508,-0.189950,0.069719,0.040695
-1.000000,0.000000,89.000000,-1.023627,-1.465672,-0.120164,-1.101820,-0.085755,0.107439
0.000000,0.000000,93.000000,-1.254483,-0.086580,-1.299552,-0.896249,-0.105095,0.006347
0.000000,0.000000,92.000000,-0.362581,1.954292,-0.845944,1.010462,-0.030375,-0.143257
0.000000,0.000000,91.000000,0.285691,2.788473,0.056998,2.571060,0.023934,-0.204406
1.000000,0.000000,91.000000,-0.415786,1.145115,0.044934,2.052995,-0.034833,-0.083941
0.000000,0.000000,89.000000,-1.339925,-0.374846,-1.050061,0.147910,-0.112253,0.027478
-1.000000,0.000000,84.000000,-0.726433,-0.046336,-1.129226,-0.247992,-0.060857,0.003397
0.000000,0.000000,89.000000,0.920777,0.977265,0.129595,0.565276,0.077139,-0.071637
1.000000,0.000000,86.000000,2.189457,1.321994,1.664012,1.220489,0.183423,-0.096907
0.000000,0.000000,84.000000,1.947204,0.664210,2.222415,1.065099,0.163129,-0.048689
0.000000,0.000000,81.000000,0.763330,0.336561,1.304383,0.406424,0.063949,-0.024671
0.000000,0.000000,86.000000,0.265396,1.282776,0.410648,0.776792,0.022234,-0.094032
0.000000,0.000000,91.000000,0.645880,1.949893,0.454060,1.746874,0.054109,-0.142935
0.000000,0.000000,89.000000,0.866105,1.510219,0.783920,1.749729,0.072559,-0.110705
0.000000,0.000000,87.000000,0.626610,0.793036,0.781801,1.141131,0.052495,-0.058133
0.000000,0.000000,87.000000,-0.178879,-0.140440,0.185351,0.252629,-0.014986,0.010295
0.000000,0.000000,86.000000,-0.374798,-0.777262,-0.383893,-0.508510,-0.031399,0.056976
0.000000,0.000000,89.000000,-0.051518,-1.146490,-0.163255,-0.938019,-0.004316,0.084042
0.000000,0.000000,88.000000,0.016225,-1.354691,0.054521,-1.244375,0.001359,0.099304
0.000000,0.000000,88.000000,-0.418050,-1.282466,-0.245333,-1.400534,-0.035022,0.094010
-1.000000,0.000000,86.000000,-0.580587,-0.268772,-0.527341,-0.800607,-0.048639,0.019702
0.000000,0.000000,84.000000,-0.396187,0.992933,-0.453579,0.441568,-0.033191,-0.072786
0.000000,0.000000,83.000000,-1.170536,1.028105,-0.712950,1.103762,-0.098063,-0.075364
