I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14
0.000000,0.000000,88.000000,1.518834,-0.649929,1.339017,-0.547802,0.127242,0.047642,0.2165439479,0.0811295910,0.2685763506,0.1025777688,0.2302124416,0.0911635012
0.000000,0.000000,83.000000,1.902683,-0.988239,1.711744,-0.783871,0.159399,0.072442,0.2466823913,0.0986105251,0.3057549419,0.1246323965,0.2622532569,0.1108064348
0.000000,-1.000000,87.000000,2.191280,-1.094556,2.057253,-1.120830,0.183576,0.080235,0.2753536158,-0.2789279306,0.3410778394,-0.2470540855,0.2927342408,-0.2639540319
0.000000,0.000000,92.000000,1.983416,-0.513100,2.179552,-0.780626,0.166162,0.037612,0.2946337336,-0.1202932294,0.3648058301,-0.0887742922,0.3132313410,-0.1054881875
0.000000,0.000000,87.000000,0.978120,-0.224262,1.415717,-0.403990,0.081943,0.016439,0.2814965397,-0.0362683828,0.3486401092,-0.0078667967,0.2992649129,-0.0229443987
-1.000000,0.000000,85.000000,0.657872,0.785815,0.808840,0.331263,0.055114,-0.057603,-0.1356513562,-0.0047063250,-0.0724749923,0.0168897035,-0.1189653772,0.0053973499
-3.000000,0.000000,84.000000,1.070442,1.828300,0.795253,1.350306,0.089677,-0.134021,-1.2052940835,-0.0333607371,-1.1490132602,-0.0284433302,-1.1904791863,-0.0310752669
2.000000,0.000000,86.000000,1.744723,2.015128,1.482259,2.047129,0.146166,-0.147717,0.1521084721,-0.1064598154,0.2040387892,-0.1263936309,0.1657494780,-0.1157796392
-1.000000,1.000000,87.000000,2.068030,1.045030,1.971179,1.609513,0.173251,-0.076605,-0.2290310857,0.2351857672,-0.1786819879,0.1968108296,-0.2158154881,0.2171100644
0.000000,0.000000,87.000000,2.092078,-0.461171,2.041722,0.227838,0.175266,0.033806,-0.0334237559,0.0639359554,0.0216683039,0.0207325309,-0.0189301244,0.0435456552
-1.000000,0.000000,90.000000,3.045332,-0.578769,2.529441,-0.643654,0.255125,0.042426,-0.2725571206,0.0012920138,-0.2045434139,-0.0344528811,-0.2545507595,-0.0155268392
0.000000,-1.000000,88.000000,3.541021,-0.074331,3.376616,-0.313762,0.296652,0.005449,0.0340633589,-0.4043308367,0.1211478532,-0.4272382244,0.0573397568,-0.4150536517
1.000000,0.000000,83.000000,2.574703,-0.165786,3.179706,-0.018748,0.215698,0.012153,0.6228428677,-0.2160870421,0.7222617691,-0.2228699649,0.6495847247,-0.2192418582
2.000000,0.000000,83.000000,0.498307,-1.199115,1.491707,-0.759278,0.041746,0.087900,1.3276616161,-0.0696918946,1.4236130331,-0.0578413048,1.3534245968,-0.0641690366
-1.000000,0.000000,84.000000,-0.936311,-1.207536,-0.387372,-1.368668,-0.078440,0.088517,0.4812916759,0.0233355553,0.5594756703,0.0476151657,0.5020954879,0.0347069491
-1.000000,0.000000,87.000000,-0.703865,0.213781,-0.886611,-0.517045,-0.058967,-0.015671,-0.0898785539,0.0470287166,-0.0372476672,0.0703271793,-0.0760488558,0.0579362992
0.000000,0.000000,85.000000,-0.614144,1.506078,-0.669708,0.897391,-0.051450,-0.110401,-0.0971611627,0.0276203091,-0.0756549243,0.0414936654,-0.0915923236,0.0340910330
1.000000,0.000000,92.000000,-1.579317,1.643039,-0.995923,1.750983,-0.132309,-0.120441,0.2419378009,-0.0149196002,0.2304694479,-0.0149463160,0.2389817955,-0.0149319933
-1.000000,0.000000,84.000000,-2.855883,0.715190,-2.354844,1.163331,-0.239254,-0.052426,-0.3979813630,-0.0659396011,-0.4393389162,-0.0810593735,-0.4087903767,-0.0729951543
-1.000000,0.000000,86.000000,-2.532018,0.267126,-2.830221,0.407457,-0.212122,-0.019581,-0.7862966241,-0.1149918431,-0.8462000469,-0.1438951410,-0.8020928883,-0.1285539366
0.000000,2.000000,87.000000,-0.822796,0.390869,-1.701707,0.324604,-0.068930,-0.028652,-0.5982425238,0.6622124712,-0.6642587133,0.6268311227,-0.6157028647,0.6455671358
1.000000,0.000000,90.000000,0.747047,0.089034,0.114170,0.306055,0.062584,-0.006526,-0.0442385923,0.3610082641,-0.1043768272,0.3301747475,-0.0600985903,0.3465291903
2.000000,-1.000000,85.000000,1.088971,-0.648785,1.034540,-0.292353,0.091229,0.047558,0.7386243735,-0.1696998005,0.6938738536,-0.1846877008,0.7269097106,-0.1766934507
-2.000000,0.000000,87.000000,0.778716,-0.787594,0.915720,-0.817667,0.065238,0.057734,-0.3252792789,-0.0657616142,-0.3447520498,-0.0651939018,-0.3303168521,-0.0654982058
-1.000000,0.000000,92.000000,0.395236,-0.275840,0.603865,-0.533933,0.033111,0.020220,-0.5160196795,-0.0107210375,-0.5083504789,-0.0027438263,-0.5140463212,-0.0070090025
1.000000,-1.000000,91.000000,-0.559489,-0.262080,-0.084886,-0.227762,-0.046872,0.019211,0.1551874167,-0.3780659941,0.1755664252,-0.3657612607,0.1604616304,-0.3723304576
0.000000,0.000000,88.000000,-0.701167,0.111476,-0.802863,-0.179390,-0.058741,-0.008172,0.0968750142,-0.1939107293,0.1100634505,-0.1778150061,0.1002770397,-0.1863968453
1.000000,0.000000,84.000000,0.570904,1.099426,-0.107293,0.622169,0.047828,-0.080592,0.4427526017,-0.1191330911,0.4469210643,-0.1101886847,0.4438234936,-0.1149694072
0.000000,1.000000,89.000000,1.707922,1.250656,1.282596,1.326996,0.143082,-0.091678,0.2843039638,0.2784613918,0.2913786525,0.2705251004,0.2861238593,0.2747684574
-2.000000,0.000000,89.000000,1.431535,0.095568,1.600541,0.642198,0.119928,-0.007005,-0.5856486910,0.1202960369,-0.5707173528,0.1031628479,-0.5817940103,0.1122945410
0.000000,0.000000,89.000000,1.111267,-0.603446,1.278808,-0.289668,0.093097,0.044235,-0.2828550734,0.0481327119,-0.2572652846,0.0314819287,-0.2762163142,0.0403579984
1.000000,0.000000,90.000000,0.704876,-1.270879,0.867288,-1.027400,0.059052,0.093160,0.3263758305,0.0288526137,0.3648755003,0.0188287376,0.3364243221,0.0241844446
1.000000,0.000000,91.000000,0.463475,-1.314123,0.550160,-1.364715,0.038828,0.096330,0.6807675111,0.0610652870,0.7243057122,0.0666803874,0.6921582399,0.0636757390
0.000000,0.000000,84.000000,0.830474,-0.719027,0.564344,-1.013416,0.069574,0.052707,0.4574128935,0.1144050401,0.4954453780,0.1382886786,0.4673372597,0.1255892045
0.000000,0.000000,83.000000,1.620144,-0.064314,1.237364,-0.333117,0.135729,0.004714,0.3255921927,0.1337039023,0.3608296202,0.1651219912,0.3347751071,0.1484609719
-2.000000,0.000000,90.000000,1.530533,-0.373767,1.653797,-0.164253,0.128222,0.027399,-0.5343237921,0.1242350993,-0.4962005267,0.1546869284,-0.5243753109,0.1385327318
-3.000000,0.000000,92.000000,1.885784,0.342331,1.648717,-0.131272,0.157983,-0.025094,-1.4322761862,0.0942393471,-1.3881648496,0.1177647203,-1.4207323620,0.1052541629
2.000000,0.000000,84.000000,1.609425,0.638795,1.780270,0.552879,0.134831,-0.046826,0.0535741175,0.0353686905,0.1070415348,0.0439413026,0.0676292990,0.0393587177
0.000000,0.000000,88.000000,0.912635,0.229193,1.289185,0.487601,0.076457,-0.016801,0.1446565540,-0.0103343611,0.2035968179,-0.0135825951,0.1601915501,-0.0118430615
0.000000,1.000000,93.000000,0.531880,0.139721,0.609230,0.045862,0.044559,-0.010242,0.1649233941,0.3776945460,0.2191227129,0.3714645229,0.1791760099,0.3747975187
-1.000000,0.000000,84.000000,1.203836,1.219953,0.937037,0.758231,0.100852,-0.089427,-0.2339094721,0.1899230998,-0.1851473744,0.1764641806,-0.2211201729,0.1836467048
-1.000000,0.000000,90.000000,0.864389,1.165729,1.079358,1.291565,0.072415,-0.085452,-0.4777147689,0.0515101494,-0.4332925140,0.0269824636,-0.4660878568,0.0400214263
1.000000,0.000000,87.000000,0.291900,-0.045689,0.501026,0.558417,0.024454,0.003349,0.1456756571,-0.0064149618,0.1802799790,-0.0309855375,0.1546909013,-0.0179239723
0.000000,0.000000,90.000000,0.755934,-0.988448,0.466548,-0.571657,0.063329,0.072457,0.1179280778,-0.0096963406,0.1461697610,-0.0260362037,0.1252638499,-0.0173249347
-1.000000,0.000000,91.000000,1.481833,-1.338419,1.212927,-1.190290,0.124142,0.098111,-0.2632303797,0.0061245463,-0.2303156857,-0.0005411618,-0.2546621171,0.0030243907
0.000000,0.000000,87.000000,1.636919,-1.240436,1.554712,-1.367806,0.137134,0.090929,-0.0836630312,0.0566214590,-0.0459885371,0.0666882402,-0.0738337411,0.0613096885
-1.000000,-2.000000,87.000000,1.331255,-0.666099,1.549195,-0.960961,0.111527,0.048828,-0.3727130902,-0.6841444618,-0.3314325352,-0.6565524166,-0.3619245943,-0.6712044758
1.000000,1.000000,84.000000,0.307226,-0.584988,0.855839,-0.567495,0.025738,0.042882,0.2562150808,0.0647135976,0.3002105687,0.1009731394,0.2677279528,0.0817781761
0.000000,0.000000,87.000000,-0.812666,-0.533591,-0.309483,-0.559671,-0.068082,0.039114,0.2015866716,0.0936636710,0.2396349042,0.1298312665,0.2115152210,0.1106843408
-1.000000,0.000000,86.000000,-1.245948,-0.126469,-1.147970,-0.428766,-0.104380,0.009271,-0.2924907258,0.0886903578,-0.2727458339,0.1190018862,-0.2873821162,0.1029213103
-1.000000,0.000000,88.000000,-1.417139,0.398118,-1.285954,0.226381,-0.118722,-0.029184,-0.6349987537,0.0520203078,-0.6376895397,0.0699814186,-0.6356895663,0.0604112198
1.000000,0.000000,90.000000,-1.808774,0.506009,-1.582343,0.471315,-0.151531,-0.037092,-0.0866625338,0.0159261341,-0.1139473435,0.0226858757,-0.0937466047,0.0190701398
1.000000,0.000000,86.000000,-2.055198,0.899642,-2.052890,0.672207,-0.172176,-0.065947,0.2090314357,-0.0169959502,0.1594010756,-0.0200049167,0.1960089871,-0.0183933878
2.000000,-1.000000,87.000000,-1.289418,1.065171,-1.704212,1.051175,-0.108022,-0.078081,0.7977845627,-0.4624305117,0.7376098977,-0.4780677116,0.7819146753,-0.4697290173
0.000000,1.000000,89.000000,-0.468910,0.224195,-0.791076,0.738374,-0.039283,-0.016434,0.3896461518,0.0643660113,0.3321591332,0.0396577765,0.3745048890,0.0527918813
-2.000000,0.000000,89.000000,0.073258,-0.907755,-0.236927,-0.485519,0.006137,0.066542,-0.6282334278,0.0222728744,-0.6777787286,0.0030896674,-0.6412330271,0.0133066723
0.000000,0.000000,85.000000,1.047068,-0.888947,0.564838,-0.965189,0.087719,0.065163,-0.3898710173,0.0269143962,-0.4229662023,0.0189548116,-0.3984869934,0.0232105890
1.000000,0.000000,86.000000,1.947997,0.033655,1.538433,-0.433676,0.163195,-0.002467,0.2276344796,0.0369260249,0.2226382217,0.0376747344,0.2263504456,0.0372734372
0.000000,0.000000,87.000000,1.544418,-0.200678,1.853441,0.024228,0.129385,0.014710,0.2435114615,0.0536974347,0.2665856412,0.0625257671,0.2494906298,0.0578068976
0.000000,0.000000,88.000000,0.449211,-0.483909,1.026980,-0.357605,0.037633,0.035472,0.2427997057,0.0779722967,0.2799527452,0.0953668480,0.2524905650,0.0860966974
-1.000000,0.000000,89.000000,-0.723307,-0.133162,-0.269699,-0.411799,-0.060596,0.009761,-0.1939689316,0.0708758580,-0.1570680150,0.0876960414,-0.1843449786,0.0787301977
-1.000000,0.000000,88.000000,-0.859442,0.980380,-0.824763,0.470996,-0.072000,-0.071866,-0.5003389973,0.0253882886,-0.4741847125,0.0309661751,-0.4935520138,0.0279814021
0.000000,0.000000,88.000000,-1.023993,1.324801,-0.918460,1.269354,-0.085786,-0.097113,-0.3366591749,-0.0268241570,-0.3297737368,-0.0346591556,-0.3348881138,-0.0304698124
2.000000,1.000000,84.000000,-1.294489,1.031961,-1.093552,1.259191,-0.108447,-0.075647,0.5139110391,0.3355350118,0.4974773843,0.3180440623,0.5096656038,0.3273652736
-1.000000,0.000000,86.000000,-1.770948,0.303411,-1.581549,0.552385,-0.148363,-0.022241,-0.2029263333,0.1479443646,-0.2396274131,0.1233857852,-0.2124972667,0.1364410285
0.000000,0.000000,87.000000,-0.821385,1.045244,-1.374650,0.608361,-0.068812,-0.076620,-0.2181452641,0.0213451595,-0.2633150092,-0.0110888748,-0.2299720338,0.0061046359
0.000000,0.000000,82.000000,0.483493,1.761323,-0.094885,1.442371,0.040505,-0.129112,-0.1822267188,-0.0652562226,-0.2218102360,-0.1051421057,-0.1925633905,-0.0840552179
0.000000,0.000000,88.000000,0.641884,1.182643,0.695780,1.556776,0.053774,-0.086692,-0.1226292480,-0.1084672026,-0.1497505576,-0.1505492383,-0.1296703336,-0.1283191209
2.000000,1.000000,86.000000,-0.312586,-0.137811,0.197269,0.539988,-0.026187,0.010102,0.7235528711,0.2920171034,0.7065033390,0.2554379441,0.7191470887,0.2747998664
