I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
0.099242,0.006553,-0.994104,3.516908,0.998069,2.403865,-0.922741,7.144283,-0.161020,0.000000,0.000000
0.092119,0.004076,-1.004047,-0.933144,-2.243693,4.097374,-0.921414,7.139355,-0.162637,0.000000,0.000000
0.086034,0.004035,-1.014296,-6.604508,-0.349966,0.326671,-0.920514,7.149849,-0.163910,0.000000,0.000000
0.083046,0.003889,-1.019518,-5.643632,-0.490694,-5.866001,-0.926448,7.154809,-0.160237,0.000000,0.000000
0.082694,0.006209,-1.018525,0.598240,-2.385493,1.191799,-0.897325,7.153422,-0.165787,0.000000,0.000000
0.084040,0.008814,-1.013923,6.386094,11.936224,11.142315,-0.901174,7.151318,-0.163666,0.000000,0.000000
0.086136,0.010508,-1.005804,-1.895958,-10.277480,2.554682,-0.898928,7.156114,-0.163361,0.000000,0.000000
0.088370,0.013839,-0.998075,-4.193109,1.407377,1.200547,-0.903335,7.133926,-0.161374,0.000000,0.000000
0.091632,0.014601,-0.997086,3.588112,0.468222,1.875724,-0.918046,7.152723,-0.153439,0.000000,0.000000
0.095694,0.014470,-1.004127,-6.661103,-5.269565,0.792103,-0.936916,7.147575,-0.154231,0.000000,0.000000
0.103594,0.007399,-1.009539,6.904465,2.487715,-1.388493,-0.935520,7.173445,-0.153913,0.000000,0.000000
0.112741,-0.001684,-1.008941,-1.343730,-4.713884,16.332451,-0.904047,7.171432,-0.160577,0.000000,0.000000
0.119432,-0.010495,-1.001136,-0.953261,5.785684,-15.822575,-0.890669,7.194562,-0.163021,0.000000,0.000000
0.120694,-0.013837,-0.991833,-13.590600,4.177073,3.275385,-0.867654,7.188023,-0.166593,0.000000,0.000000
0.117980,-0.016821,-0.981900,13.704201,-11.831676,20.362461,-0.840835,7.188747,-0.162443,0.000000,0.000000
0.118998,-0.025938,-0.966554,-0.449425,8.126238,-22.310577,-0.795177,7.153351,-0.157125,0.000000,0.000000
0.122527,-0.041796,-0.944943,-9.991319,8.626973,2.652213,-0.766930,7.194378,-0.150629,0.000000,0.000000
0.125653,-0.054602,-0.935909,-7.163733,6.511617,-49.946205,-0.729584,7.203986,-0.144552,0.000000,0.000000
0.123047,-0.059865,-0.940191,-14.609657,13.546871,-9.583803,-0.702504,7.239676,-0.137653,0.000000,0.000000
0.117881,-0.055345,-0.975085,-3.727422,3.114992,-11.612202,-0.666482,7.270791,-0.134387,0.000000,0.000000
0.116017,-0.036979,-1.062567,6.531726,-1.625615,-36.819912,-0.653068,7.293271,-0.128698,0.000000,0.000000
0.117464,-0.006119,-1.187896,-8.096912,14.926849,-16.320261,-0.626986,7.331109,-0.125751,0.000000,0.000000
0.117850,0.035840,-1.333014,-18.456064,4.541035,-19.745481,-0.605953,7.443676,-0.134919,0.000000,0.000000
0.114063,0.087266,-1.488869,-2.929368,-0.078305,-61.946564,-0.587206,7.470737,-0.135715,0.000000,0.000000
0.104715,0.134405,-1.628040,-24.947601,6.969062,-24.508774,-0.576513,7.546921,-0.141868,0.000000,0.000000
0.087035,0.167835,-1.756670,-21.304573,1.496660,-11.575001,-0.561706,7.606601,-0.143003,0.000000,0.000000
0.065246,0.182729,-1.861836,0.340969,-2.795233,-37.120529,-0.556073,7.618128,-0.135297,0.000000,0.000000
0.043083,0.178467,-1.935438,7.090098,4.670075,-13.318041,-0.538303,7.597882,-0.125212,0.000000,0.000000
0.020841,0.159487,-1.984748,-21.906105,-2.913952,-34.998867,-0.542619,7.618408,-0.119587,0.000000,0.000000
0.009496,0.138902,-1.992739,-22.925220,0.909037,-22.321178,-0.549955,7.658409,-0.117631,0.000000,0.000000
0.017555,0.123831,-1.952937,-6.815267,-4.765077,-27.854584,-0.563406,7.679251,-0.113902,0.000000,0.000000
0.037410,0.114866,-1.872887,8.507924,-3.384211,-10.155510,-0.590618,7.661185,-0.109621,0.000000,0.000000
0.059698,0.109384,-1.769889,-1.134493,3.519859,24.795343,-0.609440,7.682599,-0.109571,0.000000,0.000000
0.078564,0.104518,-1.663175,-21.760029,-6.450436,-1.482591,-0.634282,7.704813,-0.109413,0.000000,0.000000
0.091455,0.098884,-1.567512,15.290669,-5.274896,-50.687611,-0.656870,7.723444,-0.107391,0.000000,0.000000
0.097513,0.091364,-1.491196,-40.366238,-1.278809,-55.944839,-0.683233,7.741003,-0.101532,0.000000,0.000000
0.098188,0.082431,-1.434319,-6.134906,10.887345,-27.420349,-0.712110,7.767900,-0.097209,0.000000,0.000000
0.095906,0.073048,-1.398196,16.695486,-0.245361,7.182104,-0.746704,7.775235,-0.093085,0.000000,0.000000
0.091140,0.065246,-1.382380,37.392036,8.356042,51.634739,-0.788811,7.791161,-0.088937,0.000000,0.000000
0.084781,0.060145,-1.383089,9.212746,5.509839,61.572914,-0.822888,7.827973,-0.090052,0.000000,0.000000
0.079741,0.056126,-1.400251,-6.935310,0.488174,4.557888,-0.866244,7.834772,-0.090848,0.000000,0.000000
0.076302,0.050712,-1.429903,-3.164044,-8.502907,-46.933685,-0.923559,7.865668,-0.088964,0.000000,0.000000
0.073050,0.044120,-1.462593,-22.503199,-0.000673,-35.877686,-0.963002,7.922122,-0.088836,0.000000,0.000000
0.070082,0.039297,-1.487865,-4.787728,3.408042,21.116449,-1.014668,7.975665,-0.092256,0.000000,0.000000
0.067869,0.034828,-1.495778,2.672300,-0.310423,-22.133461,-1.062835,8.007416,-0.097530,0.000000,0.000000
0.066582,0.028072,-1.472558,3.674078,-1.588048,-8.071268,-1.127713,8.010541,-0.091335,0.000000,0.000000
