label,attenuation_5hz_db,delay_5hz_ms,hf_ratio_right,hf_ratio_forward,innovation_rms_right,innovation_rms_forward,total_score,passed_constraints
Notch85Q3+LPF15,-0.051663,16.681266,0.000205,0.000185,46.779913,79.348714,0.444023,1
Notch85Q4+LPF15,-0.051409,16.588975,0.000222,0.000200,46.781320,79.349822,0.457836,1
Notch85Q5+LPF15,-0.051292,16.533593,0.000232,0.000210,46.782152,79.350456,0.466596,1
Notch100Q3+LPF15,-0.051286,16.529771,0.000267,0.000244,46.782203,79.350501,0.496527,1
Notch100Q4+LPF15,-0.051197,16.475341,0.000271,0.000248,46.783013,79.351099,0.500111,1
Notch100Q5+LPF15,-0.051157,16.442682,0.000273,0.000250,46.783494,79.351447,0.501891,1
LPF15,-0.051084,16.312038,0.000278,0.000254,46.785389,79.352755,0.505733,1
Notch85Q3+LPF18,-0.024770,13.556839,0.000428,0.000385,46.847915,79.450248,0.670733,1
Notch85Q4+LPF18,-0.024517,13.464548,0.000461,0.000417,46.849366,79.451430,0.699621,1
Notch85Q5+LPF18,-0.024400,13.409167,0.000483,0.000438,46.850222,79.452100,0.717958,1
Notch100Q3+LPF18,-0.024394,13.405345,0.000555,0.000507,46.850277,79.452153,0.780312,1
Notch100Q4+LPF18,-0.024305,13.350915,0.000564,0.000515,46.851107,79.452783,0.787882,1
Notch100Q5+LPF18,-0.024264,13.318255,0.000569,0.000519,46.851599,79.453147,0.791661,1
LPF18,-0.024192,13.187611,0.000579,0.000529,46.853530,79.454504,0.800000,1
LPF10,-0.259267,26.427142,0.000059,0.000054,46.588742,79.048048,1000000.000000,0
Notch85Q3+LPF10,-0.259845,26.796370,0.000044,0.000039,46.583553,79.044426,1000000.000000,0
Notch85Q4+LPF10,-0.259592,26.704079,0.000047,0.000043,46.584873,79.045396,1000000.000000,0
Notch85Q5+LPF10,-0.259475,26.648697,0.000049,0.000045,46.585658,79.045957,1000000.000000,0
Notch100Q3+LPF10,-0.259468,26.644875,0.000056,0.000052,46.585705,79.045993,1000000.000000,0
Notch100Q4+LPF10,-0.259380,26.590445,0.000057,0.000053,46.586473,79.046530,1000000.000000,0
Notch100Q5+LPF10,-0.259339,26.557786,0.000058,0.000053,46.586930,79.046844,1000000.000000,0
LPF12,-0.125801,21.266599,0.000116,0.000107,46.685828,79.200022,1000000.000000,0
Notch85Q3+LPF12,-0.126380,21.635827,0.000086,0.000078,46.680512,79.196214,1000000.000000,0
Notch85Q4+LPF12,-0.126127,21.543536,0.000093,0.000084,46.681870,79.197245,1000000.000000,0
Notch85Q5+LPF12,-0.126009,21.488155,0.000097,0.000088,46.682676,79.197837,1000000.000000,0
Notch100Q3+LPF12,-0.126003,21.484333,0.000112,0.000102,46.682724,79.197876,1000000.000000,0
Notch100Q4+LPF12,-0.125915,21.429903,0.000114,0.000104,46.683510,79.198440,1000000.000000,0
Notch100Q5+LPF12,-0.125874,21.397243,0.000114,0.000105,46.683979,79.198770,1000000.000000,0
