I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
17110.000000,1000.000000,122.777290,1.505661,-0.355747,-30.102001,-18.131990,0.000000,-9.830332,1.376246,0.001966,0.000000,1.378213,0.000000,13.133758,-1.838726,-0.002627,0.000000,-1.841353,1.598213,-3.641353,0.317253,-0.349672,-0.330924
17130.000000,1000.000000,123.217842,1.505661,-0.355747,-72.487305,40.366608,0.000000,-10.052710,1.407379,0.003977,0.000000,1.411356,0.000000,13.828753,-1.936025,-0.005393,0.000000,-1.941418,1.631356,-3.741418,0.318602,-0.518686,-0.366991
17150.000000,1000.000000,124.577904,1.505661,-0.355747,2.829785,-0.673629,0.000000,-9.405099,1.316714,0.005858,0.000000,1.322571,0.000000,15.184245,-2.125794,-0.008429,0.000000,-2.134224,1.542571,-3.934224,0.344066,-0.670188,-0.396323
17230.000000,1000.000000,139.026611,63.485649,-46.038788,-22.135811,-36.835030,0.000000,-13.712952,1.919813,0.014290,0.000000,1.934103,0.000000,3.679735,-0.515163,-0.014908,0.000000,-0.530071,2.154104,-2.330071,1.318609,-1.493387,-0.498386
17251.000000,1000.000000,145.232147,63.485649,-46.038788,-238.828903,1.928859,0.000000,-14.541368,2.035791,0.017344,0.000000,2.053135,0.000000,4.390030,-0.614604,-0.015830,0.000000,-0.630435,2.273135,-2.430435,1.575460,-1.760020,-0.506390
17270.000000,1000.000000,151.336212,63.485649,-46.038788,-271.787720,42.210457,0.000000,-14.470754,2.025906,0.020093,0.000000,2.045999,0.000000,9.034480,-1.264827,-0.017547,0.000000,-1.282374,2.265999,-3.082374,1.760967,-1.964431,-0.528176
17290.000000,1000.000000,159.137177,63.485649,-46.038788,-147.556030,-1.286222,0.000000,-13.766619,1.927327,0.022847,0.000000,1.950173,0.000000,14.300110,-2.002015,-0.020407,0.000000,-2.022422,2.170173,-3.822422,1.935302,-2.094144,-0.544856
17310.000000,1000.000000,167.490524,63.485649,-46.038788,55.591904,56.182266,0.000000,-13.659880,1.912383,0.025579,0.000000,1.937962,0.000000,17.089571,-2.392540,-0.023825,0.000000,-2.416365,2.157962,-4.216365,2.026716,-2.060499,-0.547756
17330.000000,1000.000000,176.467941,63.485649,-46.038788,114.677528,89.128700,0.000000,-12.532904,1.754606,0.028085,0.000000,1.782692,0.000000,16.060026,-2.248404,-0.027037,0.000000,-2.275441,2.002692,-4.075440,2.011561,-1.920238,-0.552721
17350.000000,1000.000000,186.783340,63.485649,-46.038788,119.267586,46.649200,0.000000,-10.851884,1.519264,0.030256,0.000000,1.549519,0.000000,13.783389,-1.929675,-0.029794,0.000000,-1.959468,1.769519,-3.759468,2.036068,-1.796551,-0.565609
