I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
13011.000000,1000.000000,122.047043,1.365441,-1.820182,-232.453094,-38.213604,0.000000,-24.005747,3.360805,0.004801,0.000000,3.365606,0.000000,12.460823,-1.744515,-0.002492,0.000000,-1.747007,3.585606,-3.547007,1.344631,-0.586351,-0.630719
13031.000000,1000.000000,123.746017,1.365441,-1.820182,-376.375427,-245.480469,0.000000,-25.069197,3.509688,0.009815,0.000000,3.519503,0.000000,17.208183,-2.409146,-0.005934,0.000000,-2.415079,3.739503,-4.215079,1.259332,-0.672302,-0.622058
13051.000000,1000.000000,126.131424,-0.393086,8.740784,-338.949402,-518.815979,0.000000,-30.095499,4.213370,0.015834,0.000000,4.229204,0.000000,24.564220,-3.438991,-0.010847,0.000000,-3.449837,4.449203,-5.249837,1.217152,-0.735256,-0.616717
13131.000000,1000.000000,144.177307,-38.663651,-2.080924,14.181115,-171.440735,0.000000,-53.798206,7.531749,0.054076,0.000000,7.585825,0.000000,38.492554,-5.388958,-0.039704,0.000000,-5.428662,7.805825,-7.228662,1.941054,-2.075766,-0.597138
13151.000000,1000.000000,151.400833,-38.663651,-2.080924,18.309805,-48.254436,0.000000,-57.078236,7.990953,0.065492,0.000000,8.056445,0.000000,38.154362,-5.341610,-0.047335,0.000000,-5.388946,8.276445,-7.188946,2.516053,-2.658495,-0.616079
13171.000000,1000.000000,159.966934,-38.663651,-2.080924,9.263704,47.345791,0.000000,-58.004406,8.120617,0.077093,0.000000,8.197710,0.000000,37.799000,-5.291860,-0.054895,0.000000,-5.346755,8.417710,-7.146755,3.215746,-3.262693,-0.628438
13191.000000,1000.000000,169.066406,-38.663651,-2.080924,-21.914228,-9.172134,0.000000,-57.229485,8.012128,0.088539,0.000000,8.100667,0.000000,37.619915,-5.266788,-0.062419,0.000000,-5.329207,8.320667,-7.129207,4.000451,-3.837519,-0.642376
13211.000000,1000.000000,179.825485,-38.663651,-2.080924,-103.095551,-20.193817,0.000000,-57.392185,8.034906,0.100017,0.000000,8.134924,0.000000,38.143429,-5.340080,-0.070048,0.000000,-5.410128,8.354924,-7.210128,4.855310,-4.340553,-0.662031
13231.000000,1000.000000,190.887283,-38.663651,-2.080924,-92.781647,57.330879,0.000000,-57.692848,8.076999,0.111556,0.000000,8.188555,0.000000,40.122852,-5.617199,-0.078072,0.000000,-5.695271,8.408555,-7.495272,5.663125,-4.699203,-0.694648
13251.000000,1000.000000,203.618332,-16.594807,-20.622545,26.167566,105.527954,0.000000,-56.545471,7.916366,0.122865,0.000000,8.039231,0.000000,41.820213,-5.854830,-0.086436,0.000000,-5.941266,8.259232,-7.741266,6.370567,-4.948245,-0.718917
13271.000000,1000.000000,216.203384,-62.369858,83.530785,71.326363,112.951332,0.000000,-54.323227,7.605252,0.133730,0.000000,7.738981,0.000000,41.207481,-5.769047,-0.094678,0.000000,-5.863725,7.958981,-7.663725,7.000182,-5.144591,-0.740167
13291.000000,1000.000000,229.254379,-66.232826,88.704384,50.201012,128.222076,0.000000,-51.757118,7.245996,0.144081,0.000000,7.390078,0.000000,39.535072,-5.534910,-0.102585,0.000000,-5.637495,7.610077,-7.437495,7.478861,-5.294244,-0.755114
13311.000000,1000.000000,243.650879,-70.338417,94.202927,54.087063,148.591980,0.000000,-48.669338,6.813707,0.153815,0.000000,6.967522,0.000000,38.036442,-5.325102,-0.110192,0.000000,-5.435294,7.187522,-7.235293,7.843474,-5.386756,-0.776455
13331.000000,1000.000000,257.641602,-74.514961,99.796494,100.508987,144.704193,0.000000,-45.064831,6.309076,0.162828,0.000000,6.471904,0.000000,36.202198,-5.068308,-0.117432,0.000000,-5.185740,6.691904,-6.985741,8.109498,-5.431992,-0.786343
13351.000000,1000.000000,271.742310,-78.747093,105.464516,54.326588,184.149948,0.000000,-41.254959,5.775694,0.171079,0.000000,5.946773,0.000000,33.407974,-4.677116,-0.124114,0.000000,-4.801230,6.166773,-6.601231,8.204422,-5.489301,-0.799912
13371.000000,1000.000000,286.373871,-82.881630,111.001816,-23.051458,162.325165,0.000000,-36.549202,5.116889,0.178389,0.000000,5.295277,0.000000,31.324123,-4.385377,-0.130379,0.000000,-4.515756,5.515277,-6.315756,8.133619,-5.595634,-0.811676
13391.000000,1000.000000,300.362701,-87.242744,116.842575,-67.588295,85.236832,0.000000,-32.168739,4.503623,0.184822,0.000000,4.688446,0.000000,30.525009,-4.273501,-0.136484,0.000000,-4.409986,4.908446,-6.209986,7.955411,-5.687075,-0.803226
13411.000000,1000.000000,314.477631,-91.347847,122.340454,-51.176464,111.684921,0.000000,-28.924227,4.049392,0.190607,0.000000,4.239999,0.000000,30.416311,-4.258284,-0.142567,0.000000,-4.400851,4.459999,-6.200850,7.569942,-5.714311,-0.778302
13431.000000,1000.000000,328.673431,-95.690804,128.156906,69.158020,118.600075,0.000000,-25.096375,3.513492,0.195627,0.000000,3.709119,0.000000,29.668428,-4.153580,-0.148501,0.000000,-4.302081,3.929119,-6.102081,7.028604,-5.560059,-0.755372
13451.000000,1000.000000,343.808197,-100.069046,134.020599,167.770905,85.344124,0.000000,-20.975294,2.936541,0.199822,0.000000,3.136363,0.000000,26.436562,-3.701119,-0.153788,0.000000,-3.854907,3.356363,-5.654907,6.550552,-5.361966,-0.751168
13471.000000,1000.000000,358.711731,-104.533943,140.000336,180.715576,59.300468,0.000000,-17.245855,2.414420,0.203271,0.000000,2.617691,0.000000,21.120558,-2.956878,-0.158012,0.000000,-3.114891,2.837691,-4.914890,6.158676,-5.251440,-0.755729
13491.000000,1000.000000,373.642761,-108.742355,145.636597,64.025208,50.103672,0.000000,-13.857441,1.940042,0.206042,0.000000,2.146084,0.000000,15.445831,-2.162416,-0.161101,0.000000,-2.323518,2.366084,-4.123518,5.764440,-5.174212,-0.738515
13511.000000,1000.000000,387.850861,-113.200340,151.607101,-60.375515,77.025124,0.000000,-10.366575,1.451321,0.208116,0.000000,1.659436,0.000000,11.815928,-1.654230,-0.163465,0.000000,-1.817695,1.879436,-3.617695,5.348444,-5.168708,-0.722654
13531.000000,1000.000000,401.670593,-117.489006,157.350830,-58.396801,53.238136,0.000000,-6.265146,0.877120,0.209369,0.000000,1.086489,0.000000,10.336419,-1.447099,-0.165532,0.000000,-1.612631,1.306489,-3.412631,5.017534,-5.050185,-0.701210
13551.000000,1000.000000,415.016144,-121.444153,162.647888,34.942570,5.728081,-2.800000,-2.483335,-0.044333,0.209323,0.000000,0.164990,0.000000,8.621301,-1.206982,-0.167256,0.000000,-1.374238,0.384990,-3.174238,4.624936,-4.745878,-0.683196
13571.000000,1000.000000,428.324005,-125.498062,168.077209,117.850601,2.128940,-2.800000,0.608906,-0.477247,0.208642,0.000000,-0.268605,0.000000,4.931956,-0.690474,-0.168243,0.000000,-0.858716,-0.048605,-2.658716,4.109797,-4.354348,-0.665281
13591.000000,1000.000000,441.381927,12.869596,-10.847183,121.643326,-13.506545,-5.800000,0.866464,-0.933305,0.207753,0.000000,-0.725552,0.000000,2.047684,-0.286676,-0.168652,0.000000,-0.455328,-0.505552,-2.255328,3.640137,-3.929289,-0.639517
13611.000000,1000.000000,453.929688,13.241977,-11.161046,86.302414,-54.526566,-5.800000,0.221722,-0.843041,0.206548,0.000000,-0.636493,0.000000,-0.106164,0.014863,-0.168631,0.000000,-0.153768,-0.416493,-1.953768,3.220429,-3.509250,-0.611960
13631.000000,1000.000000,465.811646,13.585101,-11.450251,-22.197884,-39.210304,-5.800000,-1.251397,-0.636805,0.205639,0.000000,-0.431166,0.000000,-1.270506,0.177871,-0.168377,0.000000,0.009494,-0.211166,-1.790506,2.732914,-3.089336,-0.569313
13651.000000,1000.000000,477.556763,13.951847,-11.759363,-67.055252,-26.775824,-8.800000,-2.489801,-0.883428,0.204797,0.000000,-0.678630,0.000000,-0.407298,0.057022,-0.168295,0.000000,-0.111274,-0.458630,-1.911274,2.206949,-2.669954,-0.531255
13671.000000,1000.000000,488.052307,14.272337,-12.029490,-35.769516,10.943765,-8.800000,-3.397414,-0.756362,0.203717,0.000000,-0.552645,0.400000,1.281267,-0.123377,-0.168472,0.000000,-0.291849,-0.332645,-2.091849,1.710406,-2.288287,-0.501019
13691.000000,1000.000000,498.143677,14.570213,-12.280556,15.643521,29.629992,-12.200001,-3.661557,-1.195382,0.202712,0.000000,-0.992670,3.800000,2.372716,0.199820,-0.168304,0.000000,0.031516,-0.772670,-1.768484,1.214138,-1.866850,-0.464788
13711.000000,1000.000000,507.613037,14.871803,-12.534752,91.503067,70.122177,-12.600000,-3.496679,-1.274465,0.200892,0.000000,-1.073573,3.800000,2.411300,0.194418,-0.168026,0.000000,0.026392,-0.853573,-1.773608,0.696408,-1.513815,-0.427765
13731.000000,1000.000000,517.452271,15.156948,-12.775087,78.713676,44.263805,-15.600000,-2.687338,-1.807773,0.199170,0.000000,-1.608603,6.800000,1.150628,0.790912,-0.167273,0.000000,0.623639,-1.388603,-1.176360,0.294481,-1.199477,-0.390356
13751.000000,1000.000000,525.653015,15.423173,-12.999475,37.673225,2.723448,-15.600000,-2.392223,-1.849089,0.196528,0.000000,-1.652560,8.800000,0.138902,1.212554,-0.165540,0.000000,1.047013,-1.432560,-0.752987,-0.060390,-0.902280,-0.362230
13771.000000,1000.000000,535.115723,-18.169973,27.598200,11.012311,4.764054,-15.600000,-1.665061,-1.950891,0.193741,0.000000,-1.757150,9.200000,-1.446953,1.490573,-0.163411,0.000000,1.327162,-1.537150,-0.472838,-0.387701,-0.670061,-0.328276
13791.000000,1000.000000,543.987000,-31.841105,38.271000,-26.610573,-42.725372,-15.600000,-0.412461,-2.126256,0.190704,0.000000,-1.935552,14.000000,-2.989370,2.378512,-0.161995,0.000000,2.216517,-1.715552,0.416517,-0.561981,-0.396715,-0.314584
13811.000000,1000.000000,553.325439,-32.054241,42.689022,-19.809505,-109.662338,-18.400000,0.008647,-2.577211,0.188074,0.000000,-2.389137,14.600000,-4.069411,2.613718,-0.158261,0.000000,2.455456,-2.169137,0.655456,-0.680903,-0.106236,-0.283787
