I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13
50998.000000,-19.935617,-11.214421,0.572093,-5.000000,-5.000000,-1.114977,7.353272,-0.122402,-3.251115,-1.747344,-1.203524,-7.119967,5.085702
50999.000000,-21.160599,-16.815197,0.572093,-5.000000,-5.000000,-0.872610,7.244065,-0.139362,-3.244431,-1.747746,-1.203772,-7.119967,5.085702
51000.000000,-21.010551,-25.621649,0.572093,-5.000000,-5.000000,-0.676153,7.217657,-0.117796,-3.237757,-1.747723,-1.204032,-7.119967,5.085702
51001.000000,-20.427244,-36.712841,0.572093,-5.000000,-5.000000,-0.571139,6.985966,-0.098665,-3.231289,-1.747318,-1.204300,-7.119967,5.085702
51002.000000,-19.570202,-48.467739,0.572093,-5.000000,-5.000000,-0.554769,6.742910,-0.107834,-3.225035,-1.746609,-1.204577,-7.119967,5.085702
51003.000000,-17.261189,-59.398682,0.572093,-5.000000,-5.000000,-0.603470,6.934948,-0.126410,-3.218530,-1.745663,-1.204876,-7.119967,5.085702
51004.000000,-13.146891,-67.828194,0.572093,-5.000000,-5.000000,-0.768461,7.707503,-0.121952,-3.211151,-1.744629,-1.205212,-7.119967,5.085702
51007.000000,-1.558021,-77.323921,0.573151,-5.000000,-5.000000,-1.546365,10.976990,0.065863,-3.181746,-1.742230,-1.206472,-7.119967,5.085702
51008.000000,-0.650639,-76.540894,0.573151,-5.000000,-5.000000,-1.648756,11.554557,0.104857,-3.170193,-1.741587,-1.206950,-7.119967,5.085702
51009.000000,-1.584018,-73.971519,0.573151,-5.000000,-5.000000,-1.668410,11.639071,0.109917,-3.158583,-1.740997,-1.207429,-7.119967,5.085702
51010.000000,-3.921674,-71.601921,0.573151,-5.000000,-5.000000,-1.619982,11.643651,0.072798,-3.147042,-1.740394,-1.207905,-7.119967,5.085702
51011.000000,-6.829353,-71.253677,0.573151,-5.000000,-5.000000,-1.551693,11.851520,0.015137,-3.135386,-1.739690,-1.208389,-7.119967,5.085702
51012.000000,-8.995123,-72.907417,0.573151,-5.000000,-5.000000,-1.445154,12.027246,-0.022964,-3.123629,-1.738770,-1.208883,-7.119967,5.085702
51013.000000,-10.932704,-75.904053,0.573151,-5.000000,-5.000000,-1.305097,11.891086,-0.048585,-3.112078,-1.737558,-1.209381,-7.119967,5.085702
51014.000000,-13.337866,-79.532990,0.573151,-5.000000,-5.000000,-1.263878,11.532757,-0.082143,-3.100974,-1.736139,-1.209876,-7.119967,5.085702
51017.000000,-19.945560,-84.297775,0.574347,-1.000000,6.000000,-2.333978,10.207059,0.004791,-3.070584,-1.732914,-1.211324,-0.634392,1.556599
51018.000000,-22.840879,-83.075485,0.574347,-1.000000,6.000000,-2.834335,9.469197,0.058850,-3.061915,-1.732749,-1.211770,-0.634392,1.556599
51019.000000,-26.795990,-80.082062,0.574347,-1.000000,6.000000,-3.148889,8.710678,0.065616,-3.054154,-1.732991,-1.212190,-0.634392,1.556599
51020.000000,-31.970654,-75.646080,0.574347,-1.000000,6.000000,-3.306622,7.939483,0.029935,-3.047347,-1.733557,-1.212576,-0.634392,1.556599
51021.000000,-37.462910,-70.512939,0.574347,-1.000000,6.000000,-3.293220,7.247189,-0.049506,-3.041427,-1.734307,-1.212931,-0.634392,1.556599
51022.000000,-42.817612,-65.353760,0.574347,-1.000000,6.000000,-3.025878,6.923942,-0.177288,-3.036019,-1.734979,-1.213265,-0.634392,1.556599
51023.000000,-48.071739,-59.536659,0.574347,-1.000000,6.000000,-2.578303,7.126848,-0.328652,-3.030605,-1.735396,-1.213928,-0.634392,1.556599
51024.000000,-52.495373,-52.797829,0.574347,-1.000000,6.000000,-2.154473,7.667412,-0.465876,-3.024816,-1.735620,-1.214732,-0.634392,1.556599
51027.000000,-60.317135,-46.466000,0.575652,-1.000000,6.000000,-1.197804,8.828717,-0.730698,-3.005278,-1.735006,-1.217759,-0.634392,1.556599
51028.000000,-62.042896,-50.150532,0.575652,-1.000000,6.000000,-0.999588,8.562282,-0.787388,-2.998940,-1.734156,-1.218905,-0.634392,1.556599
51029.000000,-63.048439,-56.231094,0.575652,-1.000000,6.000000,-0.950261,8.250927,-0.830059,-2.992942,-1.733045,-1.220096,-0.634392,1.556599
51030.000000,-62.290485,-63.455498,0.575652,-1.000000,6.000000,-1.025974,8.247000,-0.861413,-2.986932,-1.731740,-1.221332,-0.634392,1.556599
51031.000000,-60.297794,-70.397446,0.575652,-1.000000,6.000000,-1.230350,8.507719,-0.871968,-2.980613,-1.730361,-1.222600,-0.634392,1.556599
51032.000000,-57.759338,-75.823784,0.575652,-1.000000,6.000000,-1.543811,8.687399,-0.853481,-2.974052,-1.729062,-1.223867,-0.634392,1.556599
51033.000000,-55.730431,-77.982414,0.575652,-1.000000,6.000000,-1.933478,8.483539,-0.828194,-2.967652,-1.728032,-1.225108,-0.634392,1.556599
51034.000000,-55.765419,-76.433655,0.575652,-1.000000,6.000000,-2.320450,7.836263,-0.832382,-2.961916,-1.727425,-1.226331,-0.634392,1.556599
51038.000000,-61.320961,-44.977169,0.577051,-1.000000,6.000000,-2.535341,5.077623,-0.933667,-2.946834,-1.728863,-1.231155,1.648232,-9.341587
51039.000000,-60.532028,-36.157589,0.577051,-1.000000,6.000000,-2.297862,4.597768,-0.951904,-2.944587,-1.729707,-1.232324,1.648232,-9.341587
51040.000000,-58.102520,-31.308777,0.577051,-1.000000,6.000000,-2.171565,4.130016,-0.991602,-2.942752,-1.730590,-1.233509,1.648232,-9.341587
51041.000000,-54.787296,-32.190830,0.577051,-1.000000,6.000000,-2.121509,3.487858,-1.057377,-2.941456,-1.731372,-1.234744,1.648232,-9.341587
51042.000000,-50.778316,-39.241367,0.577051,-1.000000,6.000000,-2.051942,3.022902,-1.132771,-2.940493,-1.731782,-1.236055,1.648232,-9.341587
51043.000000,-45.695038,-50.806385,0.577051,-1.000000,6.000000,-2.049311,3.264051,-1.205954,-2.939113,-1.731689,-1.237472,1.648232,-9.341587
51044.000000,-39.608429,-63.903610,0.577051,-1.000000,6.000000,-2.210691,4.173470,-1.254675,-2.936607,-1.731167,-1.238995,1.648232,-9.341587
51047.000000,-31.350887,-87.863243,0.578572,-1.000000,6.000000,-2.627892,6.028267,-1.189540,-2.923896,-1.727776,-1.243747,1.648232,-9.341587
51048.000000,-31.494322,-81.602852,0.578572,-1.000000,6.000000,-2.766816,6.158916,-1.157940,-2.919133,-1.726894,-1.245279,1.648232,-9.341587
51049.000000,-32.587269,-69.110466,0.578572,-1.000000,6.000000,-2.907946,6.238137,-1.157567,-2.914347,-1.726687,-1.246786,1.648232,-9.341587
51050.000000,-32.883900,-52.350689,0.578572,-1.000000,6.000000,-2.990437,6.392733,-1.196016,-2.909430,-1.727284,-1.248300,1.648232,-9.341587
51051.000000,-31.569826,-34.570747,0.578572,-1.000000,6.000000,-3.037225,6.771788,-1.227250,-2.904092,-1.728698,-1.249816,1.648232,-9.341587
51052.000000,-28.867531,-19.759642,0.578572,-1.000000,6.000000,-3.016703,7.048995,-1.243790,-2.898378,-1.730741,-1.251324,1.648232,-9.341587
51053.000000,-25.575880,-10.920208,0.578572,-1.000000,6.000000,-2.892892,6.692241,-1.294766,-2.892890,-1.733054,-1.252853,1.648232,-9.341587
51054.000000,-23.100195,-9.435210,0.578572,-1.000000,6.000000,-2.717589,5.604028,-1.384816,-2.888388,-1.735254,-1.254436,1.648232,-9.341587
51057.000000,-22.666014,-26.309162,0.580206,3.000000,42.000000,-2.573049,1.103790,-1.559015,-2.883604,-1.739967,-1.259371,7.517126,22.996468
51058.000000,-23.908096,-32.172138,0.580206,3.000000,42.000000,-2.628117,-0.195089,-1.594270,-2.884892,-1.741089,-1.261038,7.517126,22.996468
51059.000000,-24.523602,-34.469872,0.580206,3.000000,42.000000,-2.649766,-1.079437,-1.611924,-2.887078,-1.742152,-1.262699,7.517126,22.996468
51060.000000,-25.323334,-30.566019,0.580206,3.000000,42.000000,-2.662928,-1.877353,-1.623345,-2.890079,-1.743419,-1.264338,7.517126,22.996468
51061.000000,-26.595417,-19.491537,0.580206,3.000000,42.000000,-2.707648,-2.782717,-1.641697,-2.894020,-1.745225,-1.265942,7.517126,22.996468
51062.000000,-26.735895,-2.100755,0.580206,3.000000,42.000000,-2.756462,-3.286735,-1.665976,-2.898454,-1.747817,-1.267519,7.517126,22.996468
51063.000000,-24.684469,19.387657,0.580206,3.000000,42.000000,-2.792057,-2.794526,-1.676079,-2.902299,-1.751328,-1.269075,7.517126,22.996468
51064.000000,-20.680111,41.731747,0.580206,3.000000,42.000000,-2.839695,-1.439459,-1.634792,-2.904616,-1.755795,-1.270586,7.517126,22.996468
51067.000000,-9.066588,76.734528,0.581872,3.000000,42.000000,-2.498731,3.086666,-1.398392,-2.901368,-1.772226,-1.274713,7.517126,22.996468
51068.000000,-8.231662,71.734314,0.581872,3.000000,42.000000,-2.321440,4.281819,-1.364868,-2.897454,-1.777478,-1.276065,7.517126,22.996468
51069.000000,-9.949538,58.820576,0.581872,3.000000,42.000000,-2.161251,5.019320,-1.344161,-2.892881,-1.782068,-1.277444,7.517126,22.996468
51070.000000,-12.750450,41.257866,0.581872,3.000000,42.000000,-2.057050,5.551588,-1.311929,-2.887904,-1.785839,-1.278845,7.517126,22.996468
51071.000000,-15.584673,22.985086,0.581872,3.000000,42.000000,-2.070893,5.984933,-1.246533,-2.882630,-1.788858,-1.280233,7.517126,22.996468
51072.000000,-17.791378,7.693423,0.581872,3.000000,42.000000,-2.127919,5.859193,-1.166538,-2.877598,-1.791270,-1.281571,7.517126,22.996468
51073.000000,-18.347559,-2.316519,0.581872,3.000000,42.000000,-2.120374,4.744680,-1.101572,-2.873726,-1.793221,-1.282833,7.517126,22.996468
51074.000000,-17.201427,-6.271545,0.581872,3.000000,42.000000,-2.083547,2.817275,-1.062524,-2.871746,-1.794950,-1.284004,7.517126,22.996468
51078.000000,-11.882998,16.103231,0.583588,3.000000,21.000000,-2.560867,-4.066340,-1.002441,-2.881800,-1.804931,-1.287867,9.268893,4.088566
51079.000000,-13.081572,20.970959,0.583588,3.000000,21.000000,-2.576501,-4.709628,-0.962847,-2.887092,-1.808379,-1.288642,9.268893,4.088566
51080.000000,-17.633831,21.197662,0.583588,3.000000,21.000000,-2.385440,-5.193418,-0.918565,-2.893032,-1.811609,-1.289357,9.268893,4.088566
51081.000000,-25.832344,17.127817,0.583588,3.000000,21.000000,-2.109939,-5.746488,-0.885526,-2.899812,-1.814363,-1.290032,9.268893,4.088566
51082.000000,-35.950706,9.254665,0.583588,3.000000,21.000000,-1.828431,-5.967610,-0.857459,-2.907145,-1.816508,-1.290688,9.268893,4.088566
51083.000000,-46.591084,-1.812822,0.583588,3.000000,21.000000,-1.537064,-5.396232,-0.798288,-2.914231,-1.817948,-1.291324,9.268893,4.088566
51084.000000,-56.533558,-14.772655,0.583588,3.000000,21.000000,-1.312235,-4.177382,-0.696630,-2.920393,-1.818715,-1.291920,9.268893,4.088566
51087.000000,-78.843666,-44.989941,0.585359,3.000000,21.000000,-1.009271,-0.934788,-0.335540,-2.933343,-1.818379,-1.293316,9.268893,4.088566
51088.000000,-83.236595,-49.428551,0.585359,3.000000,21.000000,-0.592412,-0.441434,-0.243371,-2.936726,-1.817206,-1.293640,9.268893,4.088566
51089.000000,-85.671417,-49.705143,0.585359,3.000000,21.000000,-0.117660,-0.335345,-0.192817,-2.940245,-1.815465,-1.293725,9.268893,4.088566
51090.000000,-87.877060,-46.904476,0.585359,3.000000,21.000000,0.216443,-0.445715,-0.159999,-2.944129,-1.813404,-1.293807,9.268893,4.088566
51091.000000,-91.578888,-42.760082,0.585359,3.000000,21.000000,0.382333,-0.762921,-0.118257,-2.948644,-1.811261,-1.293874,9.268893,4.088566
51092.000000,-97.090981,-38.698734,0.585359,3.000000,21.000000,0.458283,-1.417083,-0.071305,-2.954183,-1.809152,-1.293914,9.268893,4.088566
51093.000000,-103.599426,-35.926945,0.585359,3.000000,21.000000,0.397229,-2.320107,-0.026708,-2.961006,-1.807189,-1.293922,9.268893,4.088566
51094.000000,-110.803642,-35.437092,0.585359,3.000000,21.000000,0.169121,-3.166482,0.025535,-2.969055,-1.805457,-1.293904,9.268893,4.088566
51097.000000,-127.125916,-47.821541,0.587129,-3.000000,12.000000,-0.633236,-4.563000,0.317463,-2.997394,-1.801124,-1.293485,3.462471,0.886822
51098.000000,-127.382431,-54.744919,0.587129,-3.000000,12.000000,-0.790531,-4.852078,0.423925,-3.007531,-1.799658,-1.293032,3.462471,0.886822
51099.000000,-124.538269,-61.081112,0.587129,-3.000000,12.000000,-0.908174,-5.106233,0.514157,-3.017733,-1.798085,-1.292494,3.462471,0.886822
51100.000000,-120.259186,-65.342972,0.587129,-3.000000,12.000000,-1.142431,-5.546254,0.590459,-3.028117,-1.796618,-1.291874,3.462471,0.886822
51101.000000,-115.202698,-66.934547,0.587129,-3.000000,12.000000,-1.444112,-6.028345,0.645856,-3.038705,-1.795433,-1.291184,3.462471,0.886822
51102.000000,-109.249367,-66.103622,0.587129,-3.000000,12.000000,-1.604169,-6.078600,0.667006,-3.049086,-1.794455,-1.290470,3.462471,0.886822
51103.000000,-103.462753,-62.751423,0.587129,-3.000000,12.000000,-1.569063,-5.504051,0.658935,-3.058682,-1.793563,-1.289777,3.462471,0.886822
51104.000000,-99.437920,-56.847889,0.587129,-3.000000,12.000000,-1.444460,-4.634514,0.645480,-3.067263,-1.792771,-1.289112,3.462471,0.886822
51107.000000,-103.714790,-26.028809,0.588880,-3.000000,12.000000,-0.491714,-3.817678,0.547838,-3.091217,-1.790862,-1.287233,3.462471,0.886822
51108.000000,-108.191154,-12.906218,0.588880,-3.000000,12.000000,-0.044804,-4.216283,0.472894,-3.100178,-1.790369,-1.286663,3.462471,0.886822
51109.000000,-112.519035,-0.395783,0.588880,-3.000000,12.000000,0.307331,-4.459777,0.400688,-3.109716,-1.790073,-1.286129,3.462471,0.886822
51110.000000,-115.340843,9.938824,0.588880,-3.000000,12.000000,0.529301,-4.298894,0.363061,-3.119393,-1.790037,-1.285611,3.462471,0.886822
51111.000000,-114.922058,17.278399,0.588880,-3.000000,12.000000,0.560185,-3.912070,0.375242,-3.128851,-1.790342,-1.285072,3.462471,0.886822
51112.000000,-111.095985,21.084013,0.588880,-3.000000,12.000000,0.380900,-3.685201,0.406886,-3.138083,-1.791049,-1.284496,3.462471,0.886822
51113.000000,-104.942444,21.143309,0.588880,-3.000000,12.000000,0.041078,-3.885867,0.425938,-3.147387,-1.792137,-1.283893,3.462471,0.886822
51114.000000,-98.858727,18.382477,0.588880,-3.000000,12.000000,-0.385916,-4.453844,0.424354,-3.157097,-1.793538,-1.283280,3.462471,0.886822
51118.000000,-87.544891,12.856272,0.590590,-5.000000,19.000000,-1.285365,-7.117850,0.139312,-3.201997,-1.800922,-1.281401,-0.203173,15.987388
51119.000000,-88.300415,16.866600,0.590590,-5.000000,19.000000,-1.222430,-7.550650,0.089822,-3.214433,-1.803096,-1.281111,-0.203173,15.987388
51120.000000,-90.227859,24.385376,0.590590,-5.000000,19.000000,-1.112305,-8.123489,0.070701,-3.227455,-1.805554,-1.280781,-0.203173,15.987388
51121.000000,-92.257286,34.745518,0.590590,-5.000000,19.000000,-1.001673,-8.744093,0.038277,-3.241124,-1.808435,-1.280400,-0.203173,15.987388
51122.000000,-93.424866,45.021526,0.590590,-5.000000,19.000000,-0.860476,-8.864430,0.007052,-3.254907,-1.811693,-1.279985,-0.203173,15.987388
51123.000000,-93.052513,52.300865,0.590590,-5.000000,19.000000,-0.705359,-8.191031,0.020643,-3.267948,-1.815151,-1.279571,-0.203173,15.987388
51124.000000,-90.850578,54.578186,0.590590,-5.000000,19.000000,-0.597105,-7.029649,0.067911,-3.279665,-1.818591,-1.279187,-0.203173,15.987388
51127.000000,-88.223061,28.446457,0.592272,-5.000000,19.000000,-0.273267,-5.132814,0.064443,-3.309056,-1.825832,-1.278320,-0.203173,15.987388
51128.000000,-89.366005,13.707794,0.592272,-5.000000,19.000000,-0.264192,-5.305609,-0.001347,-3.318557,-1.826754,-1.278114,-0.203173,15.987388
51129.000000,-89.817307,2.119270,0.592272,-5.000000,19.000000,-0.380433,-5.357138,-0.046214,-3.328054,-1.827243,-1.277938,-0.203173,15.987388
51130.000000,-89.043518,-2.603147,0.592272,-5.000000,19.000000,-0.565337,-4.987819,-0.062387,-3.337081,-1.827700,-1.277786,-0.203173,15.987388
51131.000000,-86.971550,0.685600,0.592272,-5.000000,19.000000,-0.742493,-4.421916,-0.068878,-3.345392,-1.828482,-1.277643,-0.203173,15.987388
51132.000000,-83.531746,10.512783,0.592272,-5.000000,19.000000,-0.850652,-4.126292,-0.076042,-3.353209,-1.829808,-1.277484,-0.203173,15.987388
51133.000000,-79.138779,26.074610,0.592272,-5.000000,19.000000,-0.880726,-4.351182,-0.086801,-3.361031,-1.831848,-1.277278,-0.203173,15.987388
51134.000000,-74.830658,46.140224,0.592272,-5.000000,19.000000,-0.847841,-4.991198,-0.111582,-3.369296,-1.834738,-1.277000,-0.203173,15.987388
51137.000000,-61.529774,81.383583,0.589438,-8.000000,-3.000000,-0.514884,-7.561521,-0.295535,-3.398011,-1.846529,-1.276300,-4.245826,2.143710
51138.000000,-55.402000,76.916748,0.589438,-8.000000,-3.000000,-0.456691,-8.293436,-0.365926,-3.408705,-1.850323,-1.276205,-4.245826,2.143710
51139.000000,-48.085300,64.126961,0.589438,-8.000000,-3.000000,-0.416251,-8.723384,-0.415358,-3.419472,-1.853464,-1.276181,-4.245826,2.143710
51140.000000,-40.599201,44.943493,0.589438,-8.000000,-3.000000,-0.406958,-9.147497,-0.450607,-3.430315,-1.855743,-1.276228,-4.245826,2.143710
51141.000000,-33.534824,23.914186,0.589438,-8.000000,-3.000000,-0.434335,-9.604368,-0.486172,-3.441306,-1.857158,-1.276349,-4.245826,2.143710
51142.000000,-26.314318,6.276638,0.589438,-8.000000,-3.000000,-0.438938,-9.563223,-0.522636,-3.451959,-1.857844,-1.276551,-4.245826,2.143710
