I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13
44013.000000,-4.975648,1.351097,0.476513,-4.000000,-1.000000,1.560336,1.552393,-0.217110,-1.705781,-0.541481,10.703218,-2.082908,-1.458390
44014.000000,-4.861284,1.215744,0.476513,-4.000000,-1.000000,1.569854,1.562550,-0.228260,-1.704466,-0.539960,10.702971,-2.082908,-1.458390
44015.000000,-4.749050,1.074302,0.476513,-4.000000,-1.000000,1.579475,1.572572,-0.242063,-1.703135,-0.538421,10.702715,-2.082908,-1.458390
44018.000000,-4.405233,0.591260,0.476551,-4.000000,-1.000000,1.629711,1.607804,-0.260643,-1.699042,-0.533657,10.701884,-2.082908,-1.458390
44019.000000,-4.281594,0.412504,0.476551,-4.000000,-1.000000,1.647767,1.625911,-0.254744,-1.697633,-0.532014,10.701612,-2.082908,-1.458390
44020.000000,-4.147490,0.225852,0.476551,-4.000000,-1.000000,1.662382,1.645918,-0.243706,-1.696197,-0.530346,10.701347,-2.082908,-1.458390
44021.000000,-4.003222,0.036144,0.476551,-4.000000,-1.000000,1.672916,1.667170,-0.231022,-1.694732,-0.528658,10.701097,-2.082908,-1.458390
44022.000000,-3.850416,-0.151996,0.476551,-4.000000,-1.000000,1.682395,1.689164,-0.220810,-1.693237,-0.526950,10.700856,-2.082908,-1.458390
44023.000000,-3.691740,-0.338570,0.476551,-4.000000,-1.000000,1.694692,1.709537,-0.214268,-1.691713,-0.525221,10.700622,-2.082908,-1.458390
44024.000000,-3.530193,-0.524202,0.476551,-4.000000,-1.000000,1.709766,1.725126,-0.210840,-1.690164,-0.523466,10.700390,-2.082908,-1.458390
44025.000000,-3.370832,-0.710183,0.476551,-4.000000,-1.000000,1.724297,1.735027,-0.210431,-1.688598,-0.521686,10.700158,-2.082908,-1.458390
44028.000000,-2.935443,-1.263577,0.476852,-5.000000,0.000000,1.750161,1.728330,-0.212054,-1.683853,-0.516230,10.699456,-5.633413,-2.172099
44029.000000,-2.797666,-1.436650,0.476852,-5.000000,0.000000,1.754255,1.718675,-0.208562,-1.682272,-0.514381,10.699226,-5.633413,-2.172099
44030.000000,-2.666907,-1.599890,0.476852,-5.000000,0.000000,1.755917,1.709059,-0.205959,-1.680694,-0.512521,10.698997,-5.633413,-2.172099
44031.000000,-2.544175,-1.756724,0.476852,-5.000000,0.000000,1.758043,1.700000,-0.204724,-1.679118,-0.510650,10.698771,-5.633413,-2.172099
44032.000000,-2.425240,-1.909869,0.476852,-5.000000,0.000000,1.762897,1.692405,-0.203689,-1.677544,-0.508766,10.698546,-5.633413,-2.172099
44033.000000,-2.309609,-2.056296,0.476852,-5.000000,0.000000,1.767187,1.687893,-0.202924,-1.675968,-0.506869,10.698322,-5.633413,-2.172099
44034.000000,-2.198078,-2.196286,0.476852,-5.000000,0.000000,1.766464,1.686239,-0.202218,-1.674388,-0.504966,10.698095,-5.633413,-2.172099
44035.000000,-2.090535,-2.336012,0.476852,-5.000000,0.000000,1.760872,1.683665,-0.198788,-1.672804,-0.503060,10.697875,-5.633413,-2.172099
44038.000000,-1.771532,-2.725697,0.476852,-5.000000,0.000000,1.741635,1.645160,-0.180287,-1.668082,-0.497356,10.697819,-5.633413,-2.172099
44039.000000,-1.669700,-2.839560,0.476852,-5.000000,0.000000,1.738582,1.624872,-0.177164,-1.666532,-0.495450,10.697799,-5.633413,-2.172099
44040.000000,-1.572481,-2.945554,0.476852,-5.000000,0.000000,1.734529,1.603290,-0.173752,-1.665000,-0.493541,10.697783,-5.633413,-2.172099
44041.000000,-1.480146,-3.046362,0.476852,-5.000000,0.000000,1.729449,1.581407,-0.173444,-1.663484,-0.491632,10.697762,-5.633413,-2.172099
44042.000000,-1.393953,-3.145228,0.476852,-5.000000,0.000000,1.724573,1.558875,-0.178181,-1.661986,-0.489722,10.697744,-5.633413,-2.172099
44043.000000,-1.313099,-3.241509,0.476852,-5.000000,0.000000,1.718525,1.533983,-0.185019,-1.660509,-0.487812,10.697725,-5.633413,-2.172099
44044.000000,-1.236637,-3.336062,0.476852,-5.000000,0.000000,1.709425,1.504224,-0.190945,-1.659057,-0.485906,10.697706,-5.633413,-2.172099
44045.000000,-1.162543,-3.432081,0.476852,-5.000000,0.000000,1.697771,1.467894,-0.195703,-1.657638,-0.484005,10.697688,-5.633413,-2.172099
44048.000000,-0.949081,-3.731366,0.476866,0.000000,2.000000,1.634644,1.344895,-0.203228,-1.653609,-0.478362,10.697016,-2.663510,-1.638910
44049.000000,-0.879722,-3.836759,0.476866,0.000000,2.000000,1.596701,1.309089,-0.194844,-1.652333,-0.476539,10.696999,-2.663510,-1.638910
44050.000000,-0.811956,-3.946776,0.476866,0.000000,2.000000,1.557741,1.277802,-0.179044,-1.651085,-0.474748,10.696981,-2.663510,-1.638910
44051.000000,-0.743758,-4.058376,0.476866,0.000000,2.000000,1.522718,1.249986,-0.160595,-1.649860,-0.472986,10.696962,-2.663510,-1.638910
44052.000000,-0.670315,-4.170139,0.476866,0.000000,2.000000,1.491359,1.222766,-0.142912,-1.648659,-0.471248,10.696945,-2.663510,-1.638910
44053.000000,-0.591867,-4.283439,0.476866,0.000000,2.000000,1.463461,1.193100,-0.126295,-1.647483,-0.469532,10.696929,-2.663510,-1.638910
44054.000000,-0.508704,-4.398985,0.476866,0.000000,2.000000,1.441353,1.160694,-0.112433,-1.646335,-0.467831,10.696913,-2.663510,-1.638910
44055.000000,-0.420512,-4.519484,0.476866,0.000000,2.000000,1.424891,1.128141,-0.104469,-1.645214,-0.466140,10.696897,-2.663510,-1.638910
44058.000000,-0.148626,-4.918201,0.476981,0.000000,2.000000,1.357484,1.023834,-0.099836,-1.642024,-0.461141,10.696846,-2.663510,-1.638910
44059.000000,-0.057869,-5.057652,0.476981,0.000000,2.000000,1.323014,0.984743,-0.096529,-1.641026,-0.459521,10.696831,-2.663510,-1.638910
44060.000000,0.039824,-5.193376,0.476981,0.000000,2.000000,1.284254,0.945320,-0.094181,-1.640063,-0.457931,10.696815,-2.663510,-1.638910
44061.000000,0.142830,-5.322580,0.476981,0.000000,2.000000,1.241480,0.899980,-0.091761,-1.639138,-0.456376,10.696798,-2.663510,-1.638910
