I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13
0.000000,0.000000,6.736425,40.606441,-59.207523,-70.352661,10.175674,0.000000,16.403688,0.000000,1.227186,-1.203429,1.978285,-1.562549
0.000000,0.000000,6.736425,40.606441,17.567978,30.274069,12.371002,0.000000,15.549848,0.000000,1.498048,-1.269385,1.885154,-1.634858
13.000000,-9.000000,16.183504,1.662243,41.123058,-23.593002,12.693744,0.000000,14.744946,0.000000,1.544394,-1.322933,1.797413,-1.546348
0.000000,0.000000,22.579689,13.181307,34.731689,93.006973,16.226089,0.000000,16.322725,0.000000,1.994352,-0.830270,2.016239,-0.833207
0.000000,0.000000,22.579689,13.181307,-59.922970,-47.054306,15.596442,0.000000,16.995529,0.000000,1.928152,-0.657465,2.107173,-0.606876
0.000000,0.000000,22.579689,13.181307,-41.755276,-52.924683,17.113857,0.000000,15.248724,0.000000,2.129866,-0.182053,1.916510,-0.184119
0.000000,0.000000,22.579689,13.181307,23.974575,28.544224,18.272497,0.000000,14.403114,0.000000,2.279867,-0.011209,1.823678,0.048813
92.000000,0.000000,30.519495,-24.127668,39.401230,7.248995,19.013107,0.000000,12.381546,0.000000,2.380148,0.100706,1.588519,0.311082
0.000000,0.000000,30.519495,-24.127668,-23.640516,-17.049498,18.786943,0.000000,13.059421,0.000000,2.364280,0.216700,1.677700,0.547823
23.000000,-10.000000,-1.960739,-28.141045,-36.584465,-52.423306,17.863571,0.000000,10.850072,0.000000,2.264194,0.326429,1.419088,0.701869
23.000000,-10.000000,0.175427,-26.832142,-26.036179,46.094109,17.470854,0.000000,7.906815,0.000000,2.227550,0.416079,1.070641,0.838059
0.000000,0.000000,0.175427,-26.832142,-44.102631,60.312630,17.412497,0.000000,7.265493,0.000000,2.230995,0.396264,0.998042,0.915854
0.000000,0.000000,0.175427,-26.832142,31.244888,35.540569,16.251472,0.000000,6.615347,0.000000,2.101423,0.406002,0.923994,1.021834
0.000000,0.000000,0.175427,-26.832142,26.459620,87.053337,15.473627,0.000000,6.751689,0.000000,2.017365,0.377150,0.944406,1.151213
0.000000,0.000000,0.175427,-26.832142,-39.173752,38.813618,14.054687,0.000000,7.320636,0.000000,1.855525,0.389595,1.017072,1.183354
0.000000,0.000000,0.175427,-26.832142,-48.060448,-34.548809,13.101846,0.000000,6.972554,0.000000,1.749046,0.471370,0.979485,1.194755
0.000000,0.000000,0.175427,-26.832142,-33.229729,30.818104,13.307087,0.000000,6.153304,0.000000,1.781659,0.524389,0.884867,1.204481
0.000000,0.000000,0.175427,-26.832142,-0.709867,34.386555,13.405585,0.000000,5.483141,0.000000,1.801522,0.513277,0.807738,1.243533
