I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14
646428.000000,-0.500000,-0.479871,-0.100643,-0.000000,0.000000,-0.100643,-1.662351,0.000000,-4.608967,23.044834,0.000922,0.000000,23.045755,0.158482
646430.000000,-0.500000,-0.482622,-0.086891,-0.000004,0.003226,-0.083669,-1.471896,0.000000,-4.617687,23.088436,0.001845,0.010229,23.100510,-0.561129
646432.000000,-0.500000,-0.483041,-0.084797,-0.000007,0.012540,-0.072264,-1.119710,0.000000,-4.611645,23.058224,0.002768,0.031116,23.092108,-1.472267
646434.000000,-0.500000,-0.492063,-0.039683,-0.000009,0.034076,-0.005616,-0.945984,0.000000,-4.611732,23.058661,0.003690,0.042297,23.104649,-1.189105
646436.000000,-0.500000,-0.490207,-0.048965,-0.000011,0.068988,0.020012,-1.022836,0.000000,-4.611749,23.058743,0.004612,0.042675,23.106030,-0.219895
646438.000000,-0.500000,-0.496036,-0.019820,-0.000012,0.106639,0.086806,-1.150163,3.240000,-4.615814,39.279068,0.004641,0.046540,39.330250,0.447595
646440.000000,-0.500000,-0.496429,-0.017853,-0.000012,0.144103,0.126238,-1.462085,3.240000,-4.615377,39.276886,0.006213,0.057090,39.340191,0.248555
646442.000000,-0.500000,-0.497995,-0.010023,-0.000013,0.177890,0.167854,-1.746754,3.240000,-4.613085,39.265427,0.007783,0.064440,39.337650,-0.641774
646444.000000,-0.500000,-0.502104,0.010521,-0.000012,0.207163,0.217671,-1.796258,3.240000,-4.622622,39.313107,0.009356,0.073352,39.395817,-1.184642
646446.000000,-0.500000,-0.513012,0.065060,-0.000010,0.247377,0.312427,-1.719992,3.240000,-4.622835,39.314175,0.010928,0.097818,39.422924,-1.706627
646448.000000,-0.500000,-0.518867,0.094334,-0.000006,0.307721,0.402050,-2.089419,3.240000,-4.631701,39.358505,0.012503,0.135588,39.506596,-1.366637
646450.000000,-0.500000,-0.522485,0.112424,-0.000002,0.375095,0.487517,-2.550231,3.240000,-4.634860,39.374298,0.014078,0.185035,39.573410,-1.900665
646452.000000,-0.500000,-0.522949,0.114746,0.000003,0.430870,0.545619,-2.611622,3.240000,-4.636223,39.381119,0.015653,0.236534,39.633305,-2.303378
646454.000000,-0.500000,-0.524043,0.120215,0.000008,0.466733,0.586956,-2.318624,3.240000,-4.639981,39.399906,0.017229,0.279894,39.697029,-2.348935
646456.000000,-0.500000,-0.533633,0.168166,0.000015,0.493965,0.662146,-2.014590,3.240000,-4.638894,39.394470,0.018805,0.313493,39.726768,-1.834250
646458.000000,-0.500000,-0.538169,0.190846,0.000022,0.528476,0.719345,-2.196560,3.240000,-4.647294,39.436470,0.020382,0.341135,39.797985,-1.228450
646460.000000,-0.500000,-0.538309,0.191544,0.000030,0.560436,0.752010,-2.185518,3.240000,-4.656942,39.484711,0.021961,0.381386,39.888058,-1.779101
646462.000000,-0.500000,-0.537103,0.185516,0.000037,0.571621,0.757175,-1.681033,3.240000,-4.654232,39.471161,0.023540,0.429598,39.924301,-2.428054
646464.000000,-0.500000,-0.533584,0.167919,0.000044,0.555515,0.723478,-1.702480,3.240000,-4.652822,39.464108,0.025119,0.456397,39.945625,-1.935536
646466.000000,-0.500000,-0.541929,0.209644,0.000052,0.525919,0.735616,-1.872084,3.240000,-4.664723,39.523617,0.026700,0.470122,40.020439,-1.296099
646468.000000,-0.500000,-0.543788,0.218941,0.000061,0.504427,0.723429,-2.032725,3.240000,-4.670068,39.550339,0.028282,0.498466,40.077087,-1.905274
646470.000000,-0.500000,-0.545470,0.227348,0.000070,0.488309,0.715727,-1.639526,3.240000,-4.665688,39.528435,0.029863,0.525947,40.084244,-2.131253
