I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14
45.000000,68.059456,-64.000000,-69.178368,2.991051,1.943328,4.000000,1.188036,11.000000,8.435890,1.263257,1.443652,0.699161,-2.400461,1.286129
45.000000,67.311401,-60.000000,-66.934204,2.973202,3.055519,4.000000,1.330985,10.000000,8.007046,1.265392,1.442136,0.701176,-2.333141,1.288122
45.000000,66.651749,-62.000000,-64.955246,2.938559,0.000000,4.000000,1.477558,8.000000,7.567327,1.269428,0.000000,0.702129,-2.265767,1.290789
44.000000,66.234764,-63.000000,-66.704292,2.935713,0.174256,4.000000,1.574185,8.000000,7.277444,1.273310,-0.040380,0.703085,-2.198393,1.293456
44.000000,66.096024,-63.000000,-66.288071,2.918036,0.000000,4.000000,1.575311,8.000000,7.274066,1.275249,0.000000,0.704044,-2.131019,1.296124
43.000000,66.124977,-66.000000,-69.374931,2.917296,-0.006793,3.000000,1.496981,5.000000,4.509058,1.275297,0.018377,0.706784,-2.064740,1.298537
43.000000,66.153130,-66.000000,-69.459389,2.898773,-0.031973,3.000000,1.465510,5.000000,4.603471,1.276525,0.076015,0.711344,-2.007285,1.299563
43.000000,65.951630,-65.000000,-68.854889,2.880412,-0.022991,3.000000,1.605596,5.000000,4.183213,1.277641,0.118068,0.711272,-1.941621,1.302341
43.000000,65.465607,-64.000000,-67.396820,2.862440,0.186574,3.000000,1.854041,4.000000,3.437877,1.278557,0.029953,0.714816,-1.879403,1.302821
42.000000,64.889969,-65.000000,-68.669907,2.861707,0.751634,3.000000,2.047586,3.000000,2.857241,1.279319,-0.233325,0.715922,-1.818467,1.303287
42.000000,64.342239,-62.000000,-67.026718,2.843833,1.673583,3.000000,2.169728,3.000000,2.490815,1.279984,-0.605455,0.721894,-1.748839,1.306123
41.000000,63.896839,-63.000000,-68.690521,2.843101,2.823993,3.000000,2.346221,2.000000,1.961337,1.280506,-1.015694,0.726492,-1.687433,1.308129
41.000000,63.644852,-65.000000,-67.934555,2.806869,0.000000,3.000000,2.663265,2.000000,1.010204,1.281045,0.000000,0.730509,-1.625833,1.309167
41.000000,63.446083,-64.000000,-67.338249,2.770955,0.083065,3.000000,3.040997,1.000000,-0.122990,1.280980,-0.157852,0.730756,-1.568497,1.309898
41.000000,63.049839,-63.000000,-66.149521,2.753315,0.000000,3.000000,3.269949,0.000000,-0.809847,1.280764,0.000000,0.731004,-1.511161,1.310630
40.000000,62.412952,-64.000000,-67.238861,2.752598,0.149417,3.000000,3.239326,0.000000,-0.717979,1.280572,0.007184,0.736325,-1.448087,1.310899
40.000000,61.744091,-61.000000,-65.232269,2.735203,0.714951,3.000000,3.105040,1.000000,-0.315121,1.280488,0.058336,0.740644,-1.383625,1.312289
40.000000,61.268826,-59.000000,-63.806477,2.718188,1.700544,3.000000,3.048487,1.000000,-0.145462,1.280450,0.179153,0.739889,-1.325546,1.316831
40.000000,60.977245,-57.000000,-62.931736,2.701406,2.850646,3.000000,3.008829,1.000000,-0.026488,1.280442,0.333440,0.746735,-1.262725,1.322536
39.000000,60.757965,-58.000000,-65.273895,2.700710,3.942218,3.000000,2.966216,1.000000,0.101351,1.280470,0.483067,0.752738,-1.205719,1.325182
39.000000,60.575050,-57.000000,-64.725151,2.683450,4.869262,3.000000,3.136795,1.000000,-0.410384,1.280360,0.571852,0.758743,-1.148714,1.327835
38.000000,60.341839,-58.000000,-67.025513,2.682735,5.619052,3.000000,3.547747,0.000000,-1.643240,1.279922,0.455522,0.756040,-1.092923,1.330107
38.000000,59.916443,-63.000000,-65.749329,2.647669,0.000000,3.000000,3.815194,-1.000000,-2.445582,1.278618,0.000000,0.755738,-1.034537,1.334486
38.000000,59.288292,-60.000000,-63.864876,2.613607,0.262502,3.000000,3.598129,0.000000,-1.794387,1.277661,0.090711,0.755440,-0.976152,1.338864
38.000000,58.598396,-59.000000,-61.795189,2.597129,0.000000,3.000000,3.032049,1.000000,-0.096148,1.277635,0.000000,0.762098,-0.920938,1.343265
37.000000,58.031364,-60.000000,-63.094093,2.596456,0.133029,3.000000,2.562091,2.000000,1.313726,1.277985,0.110255,0.767577,-0.856538,1.349318
37.000000,57.797760,-59.000000,-62.393280,2.579817,0.551632,3.000000,2.434109,3.000000,1.697673,1.278438,0.441797,0.767333,-0.798539,1.355167
37.000000,57.947529,-59.000000,-62.842587,2.563059,1.062531,3.000000,2.500003,3.000000,1.499991,1.278838,0.836787,0.771778,-0.746101,1.357345
37.000000,58.148605,-59.000000,-63.445816,2.546140,1.358004,3.000000,2.576263,3.000000,1.271210,1.279177,1.094393,0.774200,-0.686909,1.360592
36.000000,58.061367,-62.000000,-66.184097,2.545434,1.432842,3.000000,2.682180,3.000000,0.953459,1.279431,1.181397,0.775726,-0.632150,1.362502
36.000000,57.751068,-61.000000,-65.253204,2.528034,1.511904,3.000000,2.838971,2.000000,0.483087,1.279560,1.106715,0.782541,-0.571195,1.366145
36.000000,57.475075,-60.000000,-64.425224,2.510854,1.755985,3.000000,2.990661,2.000000,0.028016,1.279568,0.880885,0.782752,-0.515393,1.372040
36.000000,57.345680,-61.000000,-64.037041,2.476701,0.000000,3.000000,3.042839,1.000000,-0.128516,1.279499,0.000000,0.785761,-0.458096,1.375981
35.000000,57.334003,-64.000000,-67.002014,2.473842,0.004880,3.000000,2.895246,1.000000,0.314263,1.279667,0.061679,0.788627,-0.400811,1.379912
35.000000,57.420719,-64.000000,-67.262161,2.455906,0.000000,3.000000,2.604038,2.000000,1.187885,1.279984,0.000000,0.790825,-0.345277,1.383126
34.000000,57.513348,-68.000000,-70.540039,2.455153,-0.021731,3.000000,2.382869,3.000000,1.851394,1.280477,0.051888,0.797309,-0.290318,1.383715
34.000000,57.392994,-67.000000,-70.178986,2.436439,-0.052924,3.000000,2.390087,3.000000,1.829739,1.280965,0.192093,0.799150,-0.237458,1.386168
33.000000,56.951275,-69.000000,-71.853821,2.435672,0.063207,3.000000,2.576834,2.000000,1.269498,1.281304,0.298171,0.804720,-0.183838,1.386684
33.000000,56.278431,-66.000000,-69.835297,2.417050,0.543536,3.000000,2.786069,2.000000,0.641794,1.281475,0.231695,0.807905,-0.131542,1.390174
33.000000,55.550323,-63.000000,-67.650970,2.399009,1.484622,3.000000,2.977081,1.000000,0.068758,1.281493,-0.013273,0.811459,-0.074543,1.393185
33.000000,54.965240,-60.000000,-65.895721,2.381437,2.795814,3.000000,3.199932,0.000000,-0.599796,1.281333,-0.391500,0.815016,-0.021763,1.396993
32.000000,54.594398,-61.000000,-67.783195,2.380714,4.245088,3.000000,3.451686,0.000000,-1.355059,1.280972,-0.877418,0.819491,0.031749,1.400693
32.000000,54.284489,-64.000000,-66.853470,2.345059,0.000000,3.000000,3.662270,0.000000,-1.986809,1.279912,0.000000,0.820187,0.081703,1.401661
32.000000,53.866478,-63.000000,-65.599434,2.310073,0.174685,3.000000,3.705635,0.000000,-2.116905,1.278783,-0.018122,0.821859,0.133361,1.402838
32.000000,53.345516,-61.000000,-64.036545,2.292996,0.000000,3.000000,3.487301,0.000000,-1.461904,1.278393,0.000000,0.823532,0.185019,1.404017
32.000000,52.826458,-60.000000,-62.479374,2.276335,0.121774,3.000000,3.083448,1.000000,-0.250343,1.278327,0.094746,0.824780,0.236185,1.405494
