I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30.757164,-31.368618,31.641302,-31.745001,63.282604,-63.490002,19.864626,10.810383,4.124708,0.634762,-6.667382,-0.654091,1.000000,0.710000,0.215806,-30.783270
30.384232,-31.098873,31.376060,-31.632086,62.752121,-63.264172,16.374947,6.918797,4.405831,0.657023,-6.282536,-0.685835,1.000000,0.715000,0.211242,-33.214779
30.384232,-31.098873,31.078512,-31.472122,62.157024,-62.944244,8.949507,3.187717,5.054714,0.682563,-6.282536,-0.685835,1.000000,0.715000,0.211242,-33.214779
29.798233,-31.104666,30.694427,-31.361885,61.388855,-62.723770,15.478592,-9.024052,4.361475,0.704600,-5.101473,-0.711610,1.000000,0.720000,0.206860,-35.409752
28.422447,-31.147541,30.261944,-31.299501,60.523888,-62.599003,27.815090,-23.203129,3.107336,0.720300,-4.609861,-0.753812,1.000000,0.734000,0.195255,-65.421204
28.422447,-31.147541,29.710094,-31.253914,59.420189,-62.507828,30.886797,-13.982969,2.710672,0.733996,-4.609861,-0.753812,1.000000,0.734000,0.195255,-65.421204
27.759796,-31.056890,29.125006,-31.194807,58.250011,-62.389614,18.920185,-10.389671,3.736333,0.752874,-4.939994,-0.778772,1.000000,0.738000,0.191802,-58.893074
27.068352,-30.954430,28.508009,-31.122694,57.016018,-62.245388,26.663033,-16.631126,2.883533,0.767444,-4.333355,-0.800667,1.000000,0.740000,0.190255,-36.009598
26.371536,-30.488665,27.163038,-30.655024,54.326077,-61.310047,38.520454,-11.110813,1.501534,0.781672,-4.483610,-0.823321,1.000000,0.745000,0.186719,-34.879143
24.433792,-29.411097,27.163038,-30.655024,54.326077,-61.310047,38.520454,-11.110813,1.501534,0.781672,-5.439164,-0.874899,1.000000,0.756000,0.178724,-44.550171
23.575989,-28.969349,26.344265,-30.281845,52.688530,-60.563690,38.679474,-3.309331,1.330860,0.788397,-5.258228,-0.901467,1.000000,0.760000,0.175865,-38.102421
23.575989,-28.969349,25.513783,-29.888096,51.027565,-59.776192,37.914219,-4.426424,1.245768,0.794691,-5.258228,-0.901467,1.000000,0.760000,0.175865,-38.102421
21.199486,-27.819695,24.564476,-29.429163,49.128952,-58.858326,46.767036,-19.584705,0.224382,0.795825,-4.601789,-0.943569,1.000000,0.768000,0.170444,-27.476776
21.199486,-27.819695,23.554979,-28.946321,47.109959,-57.892643,36.043495,-9.452757,1.051314,0.801087,-4.601789,-0.943569,1.000000,0.768000,0.170444,-27.476776
19.914757,-27.192112,22.462914,-28.420059,44.925827,-56.840118,37.221680,-12.123814,0.731894,0.804473,-4.248049,-0.965033,1.000000,0.771000,0.168616,-16.363291
17.138153,-26.162231,21.266205,-27.940538,42.532410,-55.881077,48.038269,-13.410172,-0.523057,0.802265,-3.568411,-1.003449,1.000000,0.775000,0.166987,16.817694
17.138153,-26.162231,20.027790,-27.407047,40.055580,-54.814095,50.071751,-17.251871,-0.951536,0.798383,-3.568411,-1.003449,1.000000,0.775000,0.166987,16.817694
15.697823,-25.737514,18.728800,-26.906187,37.457600,-53.812374,58.287140,-15.599881,-1.978806,0.790686,-3.630187,-1.021791,1.000000,0.778000,0.165533,24.557291
14.195152,-25.198978,17.368706,-26.394024,34.737411,-52.788048,55.114552,-16.533010,-1.935828,0.783494,-3.444228,-1.039194,1.000000,0.783000,0.162319,15.406702
12.825920,-24.932655,16.005871,-25.955614,32.011742,-51.911228,50.198841,-17.910986,-1.727774,0.777089,-3.230023,-1.055514,1.000000,0.785000,0.161272,26.128088
11.471268,-24.690933,14.645490,-25.576210,29.290979,-51.152420,46.781696,-11.550906,-1.661618,0.770917,-3.762144,-1.074522,1.000000,0.785000,0.161872,51.483303
9.912369,-24.296391,13.225554,-25.192265,26.451107,-50.384529,47.093521,-14.344952,-1.961029,0.763939,-3.423760,-1.091821,1.000000,0.783000,0.164434,88.298485
8.494286,-24.059719,10.387042,-24.532824,20.774084,-49.065647,54.364613,-25.968409,-3.191100,0.743798,-2.704052,-1.105484,1.000000,0.785000,0.164078,96.622513
7.075737,-23.786907,10.387042,-24.532824,20.774084,-49.065647,54.364613,-25.968409,-3.191100,0.743798,-2.194238,-1.116571,1.000000,0.791000,0.160253,71.070313
