I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-35.022640,-54.773586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.300001,-15.000000,-23.991478,-15.456333,1.100000,0.704000
-32.068180,-54.045456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-19.900000,0.000000,-29.944782,-15.081125,1.100000,0.719000
-29.133118,-54.019482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-40.100002,-12.500000,-26.436636,-18.285126,1.100000,0.728000
-28.188156,-54.456448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-27.000000,-33.100002,-21.108627,-18.252041,1.100000,0.735000
-26.247787,-55.623894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-18.900000,-28.700001,-31.088352,-15.452063,1.100000,0.744000
-22.897537,-55.262295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.900000,-30.400002,-19.324589,-13.566308,1.100000,0.751000
-20.712730,-54.818184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-30.900002,-15.053352,-5.241581,1.100000,0.763000
-20.714859,-55.244980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-17.400000,-10.000406,-20.698402,1.100000,0.779000
-21.329826,-54.614037,-21.023403,-54.804615,-46.251488,0.000000,-0.065662,-120.570152,0.000000,0.040838,-46.317150,-100.000000,-2.120292,-14.366048,1.100000,0.796000
-23.572769,-55.967136,-22.734737,-55.451656,-50.016422,0.000000,-0.179578,-121.993645,0.000000,-0.110460,-50.195999,-100.000000,-15.138783,-23.797649,1.100000,0.808000
-24.453606,-56.329895,-24.199142,-56.204956,-53.238113,0.000000,-0.054527,-123.650909,0.000000,-0.026772,-53.292641,-100.000000,-9.891836,-38.646572,1.100000,0.820000
-23.704407,2.830750,-23.704407,2.830750,-52.149696,0.000000,0.000000,6.227649,0.000000,0.000000,-52.149696,6.227649,57.555771,-30.240599,1.100000,0.607000
-82.873032,27.431458,-66.850464,20.016018,-147.071030,0.000000,-3.433405,44.035240,0.000000,1.589023,-100.000000,45.624264,81.806084,-7.050724,1.100000,0.603000
-45.306740,11.482803,-45.392746,11.692257,-99.864044,0.000000,0.018429,25.722965,0.000000,-0.044883,-99.845619,25.678083,52.674828,-25.422031,1.100000,0.608000
-48.717766,14.353867,-48.151653,13.314158,-105.933640,0.000000,-0.121311,29.291149,0.000000,0.222795,-100.000000,29.513943,6.851604,-14.372118,1.100000,0.633000
-44.081120,17.700592,-45.749153,16.405499,-100.648140,0.000000,0.357435,36.092098,0.000000,0.277521,-100.000000,36.369617,-5.209541,-8.971764,1.100000,0.666000
-38.877583,19.615044,-40.925476,18.975250,-90.036049,0.000000,0.438835,41.745552,0.000000,0.137098,-89.597214,41.882648,-35.061245,-6.195740,1.100000,0.697000
-31.771931,20.121346,-34.510689,19.941492,-75.923515,0.000000,0.586876,43.871284,0.000000,0.038540,-75.336639,43.909824,11.118778,-0.111218,1.100000,0.720000
-26.624641,19.431229,-28.508635,19.732035,-62.718998,0.000000,0.403712,43.410477,0.000000,-0.064458,-62.315285,43.346020,-19.400587,-12.816042,1.100000,0.732000
-18.529083,18.976456,-21.836395,19.056364,-48.040070,0.000000,0.708710,41.924004,0.000000,-0.017123,-47.331360,41.906879,-52.863544,25.961704,1.100000,0.747000
-6.241791,16.872536,-11.149406,17.912840,-24.528694,0.000000,1.051632,39.408249,0.000000,-0.222922,-23.477062,39.185326,-105.395836,3.912252,1.100000,0.756000
9.446335,14.395287,3.651790,15.291632,8.033938,0.000000,1.241688,33.641590,0.000000,-0.192074,9.275626,33.449516,-92.285835,27.932323,1.100000,0.766000
22.415894,10.041061,17.463482,11.678681,38.419662,0.000000,1.061231,25.693100,0.000000,-0.350918,39.480892,25.342182,-92.714241,34.470345,1.100000,0.784000
31.294197,5.950279,27.830151,7.649846,61.226334,0.000000,0.742296,16.829660,0.000000,-0.364193,61.968628,16.465467,-54.908234,31.270100,1.100000,0.806000
36.206558,1.699429,34.353275,3.404331,75.577209,0.000000,0.397131,7.489528,0.000000,-0.365336,75.974342,7.124192,-44.243450,37.026123,1.100000,0.832000
37.638489,-2.676384,37.065548,-1.022063,81.544205,0.000000,0.122774,-2.248538,0.000000,-0.354497,81.666977,-2.603035,-39.757633,37.833950,1.100000,0.854000
36.694443,-6.010235,36.850864,-4.728168,81.071907,0.000000,-0.033520,-10.401969,0.000000,-0.274729,81.038391,-10.676698,2.644947,21.426371,1.100000,0.863000
34.200867,-7.788937,35.270126,-6.974718,77.594276,0.000000,-0.229128,-15.344380,0.000000,-0.174475,77.365150,-15.518856,19.026112,30.781595,1.100000,0.870000
28.099281,-10.802879,30.427830,-9.646111,66.941223,0.000000,-0.498975,-21.221445,0.000000,-0.247879,66.442245,-21.469324,42.660351,12.878610,1.100000,0.871000
19.865440,-13.019829,22.913790,-12.273956,50.410339,0.000000,-0.653217,-27.002705,0.000000,-0.159830,49.757122,-27.162535,75.519295,12.086065,1.100000,0.879000
10.791252,-15.290550,14.321458,-14.363812,31.507208,0.000000,-0.756473,-31.600388,0.000000,-0.198586,30.750736,-31.798973,51.889954,11.853823,1.100000,0.888000
4.441299,-15.980198,6.848292,-15.824692,15.066242,0.000000,-0.515784,-34.814323,0.000000,-0.033323,14.550458,-34.847645,60.930382,5.026377,1.100000,0.897000
