I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-7.007553,3.167675,-8.255396,3.560828,-18.161871,0.000000,2.673950,7.833822,0.000000,-0.842471,-15.487921,6.991351,-29.345806,-0.434361,1.100000,0.935000
-4.009148,2.510670,-5.138660,2.710551,-11.305053,0.000000,2.420385,5.963212,0.000000,-0.428317,-8.884668,5.534896,-25.317593,0.183781,1.100000,0.945000
-2.004562,1.820667,-2.764950,2.073297,-6.082889,0.000000,1.629401,4.561253,0.000000,-0.541348,-4.453487,4.019904,0.533319,1.383244,1.100000,0.963000
-1.490044,0.532925,-1.722858,1.043066,-3.790288,0.000000,0.498888,2.294745,0.000000,-1.093161,-3.291400,1.201585,-4.234065,-3.105267,1.100000,0.950000
-2.226440,-0.006081,-1.922449,0.175117,-4.229388,0.000000,-0.651411,0.385258,0.000000,-0.388281,-4.880798,-0.003023,5.603087,1.597273,1.100000,0.948000
-4.556923,-0.809231,-3.627121,-0.417898,-7.979667,0.000000,-1.992432,-0.919375,0.000000,-0.838571,-9.972099,-1.757946,17.699387,16.207190,1.100000,0.958000
-7.504616,-2.432308,-6.575879,-1.949586,-14.466934,0.000000,-2.487689,-4.289089,0.000000,-1.293006,-16.954624,-5.582095,18.843348,1.869468,1.100000,0.953000
-11.635941,-4.004688,-10.310051,-3.409177,-22.682112,0.000000,-2.841191,-7.500190,0.000000,-1.276095,-25.523302,-8.776284,11.774503,-8.841564,1.100000,0.946000
-14.507835,-4.957680,-13.398498,-4.617637,-29.476696,0.000000,-2.377152,-10.158801,0.000000,-0.728664,-31.853848,-10.887465,31.923378,-3.872306,1.100000,0.953000
-17.573929,-4.910969,-16.414511,-5.006481,-36.111923,0.000000,-2.484464,-11.014258,0.000000,0.204668,-38.596386,-10.809590,29.059425,-8.633886,1.100000,0.963000
-19.730034,-4.327477,-18.951172,-4.524230,-41.692577,0.000000,-1.668987,-9.953307,0.000000,0.421615,-43.361565,-9.531693,4.128837,2.702964,1.100000,0.961000
-20.644234,-4.496796,-20.303736,-4.423298,-44.668221,0.000000,-0.729637,-9.731256,0.000000,-0.157495,-45.397858,-9.888751,-1.083323,-2.051782,1.100000,0.961000
-21.678970,-4.717495,-21.393066,-4.682251,-47.064747,0.000000,-0.612650,-10.300952,0.000000,-0.075524,-47.677395,-10.376475,-16.514021,-13.038659,1.100000,0.961000
-20.836800,-4.183998,-21.187611,-4.333492,-46.612743,0.000000,0.751734,-9.533683,0.000000,0.320346,-45.861012,-9.213337,-19.257797,-1.022908,1.100000,0.968000
-17.779556,-2.902557,-19.071712,-3.579111,-41.957767,0.000000,2.768907,-7.874044,0.000000,1.449758,-39.188862,-6.424286,-25.174311,-13.115694,1.100000,0.970000
-13.353218,-0.770802,-15.064443,-1.449549,-33.141773,0.000000,3.666911,-3.189007,0.000000,1.454459,-29.474861,-1.734549,-25.602888,-22.017864,1.100000,0.971000
-9.491364,0.762951,-11.102327,0.126893,-24.425121,0.000000,3.452067,0.279165,0.000000,1.362980,-20.973055,1.642146,-33.657681,-7.496523,1.100000,0.981000
-5.847824,1.498447,-7.263983,1.290783,-15.980763,0.000000,3.034627,2.839723,0.000000,0.444995,-12.946136,3.284718,-43.769180,-10.802276,1.100000,0.972000
-2.601524,1.467175,-3.867400,1.384001,-8.508281,0.000000,2.712591,3.044803,0.000000,0.178229,-5.795690,3.223032,-34.767765,-8.810203,1.100000,0.971000
0.324074,1.358025,-0.805133,1.502961,-1.771293,0.000000,2.419729,3.306513,0.000000,-0.310577,0.648436,2.995936,-33.898586,4.587270,1.100000,0.968000
2.058105,-0.681957,1.430880,-0.009171,3.147937,0.000000,1.344054,-0.020176,0.000000,-1.441685,4.491991,-1.461861,-28.231554,-10.412485,1.100000,0.995000
3.257622,-0.806404,2.742360,-0.759605,6.033192,0.000000,1.104132,-1.671132,0.000000,-0.100283,7.137324,-1.771415,-46.120728,1.824305,1.100000,0.996000
6.747719,-0.837387,5.355087,-0.795740,11.781192,0.000000,2.984211,-1.750629,0.000000,-0.089243,14.765403,-1.839872,-36.989765,3.401256,1.100000,0.986000
10.340492,0.124233,8.953436,-0.286844,19.697559,0.000000,2.972264,-0.631056,0.000000,0.880879,22.669823,0.249823,-36.721798,-3.897644,1.100000,0.975000
