I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.058583,0.000000,0.000000,0.000000,0.000000,0.000000,-0.959158
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.073973,0.000000,0.000000,0.000000,0.000000,0.000000,-0.968535
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.088081,0.000000,0.000000,0.000000,0.000000,0.000000,-0.978311
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.101846,0.000000,0.000000,0.000000,0.000000,0.000000,-0.986652
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.116000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.994047
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.128289,0.000000,0.000000,0.000000,0.000000,0.000000,-1.001291
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.142827,0.000000,0.000000,0.000000,0.000000,0.000000,-1.009986
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.156230,0.000000,0.000000,0.000000,0.000000,0.000000,-1.018087
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.170650,0.000000,0.000000,0.000000,0.000000,0.000000,-1.026079
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.184651,0.000000,0.000000,0.000000,0.000000,0.000000,-1.033914
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.198335,0.000000,0.000000,0.000000,0.000000,0.000000,-1.041018
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.212005,0.000000,0.000000,0.000000,0.000000,0.000000,-1.048875
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.225754,0.000000,0.000000,0.000000,0.000000,0.000000,-1.056699
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.239993,0.000000,0.000000,0.000000,0.000000,0.000000,-1.064628
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.253792,0.000000,0.000000,0.000000,0.000000,0.000000,-1.072190
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.267157,0.000000,0.000000,0.000000,0.000000,0.000000,-1.079755
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.280287,0.000000,0.000000,0.000000,0.000000,0.000000,-1.087507
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.292741,0.000000,0.000000,0.000000,0.000000,0.000000,-1.095540
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.305792,0.000000,0.000000,0.000000,0.000000,0.000000,-1.103135
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.318982,0.000000,0.000000,0.000000,0.000000,0.000000,-1.110235
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.331937,0.000000,0.000000,0.000000,0.000000,0.000000,-1.117891
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.344703,0.000000,0.000000,0.000000,0.000000,0.000000,-1.125745
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.357051,0.000000,0.000000,0.000000,0.000000,0.000000,-1.133281
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.369977,0.000000,0.000000,0.000000,0.000000,0.000000,-1.141084
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.382878,0.000000,0.000000,0.000000,0.000000,0.000000,-1.148373
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.395798,0.000000,0.000000,0.000000,0.000000,0.000000,-1.155064
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.407685,0.000000,0.000000,0.000000,0.000000,0.000000,-1.161882
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.420027,0.000000,0.000000,0.000000,0.000000,0.000000,-1.168982
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.431912,0.000000,0.000000,0.000000,0.000000,0.000000,-1.176208
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.443872,0.000000,0.000000,0.000000,0.000000,0.000000,-1.183332
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.455786,0.000000,0.000000,0.000000,0.000000,0.000000,-1.190356
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.467800,0.000000,0.000000,0.000000,0.000000,0.000000,-1.197503
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.479737,0.000000,0.000000,0.000000,0.000000,0.000000,-1.204183
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.491051,0.000000,0.000000,0.000000,0.000000,0.000000,-1.211051
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.503269,0.000000,0.000000,0.000000,0.000000,0.000000,-1.217978
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.515325,0.000000,0.000000,0.000000,0.000000,0.000000,-1.224940
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.527211,0.000000,0.000000,0.000000,0.000000,0.000000,-1.231174
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.538789,0.000000,0.000000,0.000000,0.000000,0.000000,-1.237785
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.549923,0.000000,0.000000,0.000000,0.000000,0.000000,-1.244252
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.560921,0.000000,0.000000,0.000000,0.000000,0.000000,-1.250483
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.572328,0.000000,0.000000,0.000000,0.000000,0.000000,-1.256750
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.583459,0.000000,0.000000,0.000000,0.000000,0.000000,-1.263287
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.594638,0.000000,0.000000,0.000000,0.000000,0.000000,-1.269775
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.604937,0.000000,0.000000,0.000000,0.000000,0.000000,-1.276135
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.615638,0.000000,0.000000,0.000000,0.000000,0.000000,-1.282826
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.626524,0.000000,0.000000,0.000000,0.000000,0.000000,-1.289019
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.636631,0.000000,0.000000,0.000000,0.000000,0.000000,-1.295676
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.647416,0.000000,0.000000,0.000000,0.000000,0.000000,-1.301769
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.658101,0.000000,0.000000,0.000000,0.000000,0.000000,-1.307615
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.669013,0.000000,0.000000,0.000000,0.000000,0.000000,-1.313996
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.679527,0.000000,0.000000,0.000000,0.000000,0.000000,-1.320003
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.689767,0.000000,0.000000,0.000000,0.000000,0.000000,-1.325828
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.699900,0.000000,0.000000,0.000000,0.000000,0.000000,-1.332039
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.710400,0.000000,0.000000,0.000000,0.000000,0.000000,-1.338149
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.720759,0.000000,0.000000,0.000000,0.000000,0.000000,-1.344378
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.730712,0.000000,0.000000,0.000000,0.000000,0.000000,-1.350124
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.740633,0.000000,0.000000,0.000000,0.000000,0.000000,-1.356173
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.750822,0.000000,0.000000,0.000000,0.000000,0.000000,-1.362216
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.759822,0.000000,0.000000,0.000000,0.000000,0.000000,-1.368162
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.769605,0.000000,0.000000,0.000000,0.000000,0.000000,-1.373643
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.779140,0.000000,0.000000,0.000000,0.000000,0.000000,-1.378958
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.788666,0.000000,0.000000,0.000000,0.000000,0.000000,-1.384291
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.798051,0.000000,0.000000,0.000000,0.000000,0.000000,-1.389644
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.807688,0.000000,0.000000,0.000000,0.000000,0.000000,-1.395091
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.817296,0.000000,0.000000,0.000000,0.000000,0.000000,-1.400631
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.826656,0.000000,0.000000,0.000000,0.000000,0.000000,-1.406447
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.836265,0.000000,0.000000,0.000000,0.000000,0.000000,-1.412209
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.845537,0.000000,0.000000,0.000000,0.000000,0.000000,-1.417579
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.854414,0.000000,0.000000,0.000000,0.000000,0.000000,-1.422984
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.863569,0.000000,0.000000,0.000000,0.000000,0.000000,-1.428235
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.872365,0.000000,0.000000,0.000000,0.000000,0.000000,-1.433697
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.881160,0.000000,0.000000,0.000000,0.000000,0.000000,-1.439186
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.889617,0.000000,0.000000,0.000000,0.000000,0.000000,-1.444338
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.898121,0.000000,0.000000,0.000000,0.000000,0.000000,-1.449705
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.907204,0.000000,0.000000,0.000000,0.000000,0.000000,-1.454903
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.916065,0.000000,0.000000,0.000000,0.000000,0.000000,-1.460148
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.925002,0.000000,0.000000,0.000000,0.000000,0.000000,-1.465160
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.933106,0.000000,0.000000,0.000000,0.000000,0.000000,-1.470273
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.941203,0.000000,0.000000,0.000000,0.000000,0.000000,-1.475239
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.949650,0.000000,0.000000,0.000000,0.000000,0.000000,-1.480124
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.957922,0.000000,0.000000,0.000000,0.000000,0.000000,-1.485037
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.966160,0.000000,0.000000,0.000000,0.000000,0.000000,-1.489975
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.974073,0.000000,0.000000,0.000000,0.000000,0.000000,-1.494939
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.982435,0.000000,0.000000,0.000000,0.000000,0.000000,-1.499807
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.991046,0.000000,0.000000,0.000000,0.000000,0.000000,-1.504579
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.999257,0.000000,0.000000,0.000000,0.000000,0.000000,-1.509364
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.007205,0.000000,0.000000,0.000000,0.000000,0.000000,-1.514383
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.015234,0.000000,0.000000,0.000000,0.000000,0.000000,-1.518851
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.023235,0.000000,0.000000,0.000000,0.000000,0.000000,-1.523773
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.030855,0.000000,0.000000,0.000000,0.000000,0.000000,-1.528914
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.039307,0.000000,0.000000,0.000000,0.000000,0.000000,-1.533830
