I0,I1,I2,I3,I4,I5,I6,I7,I8
-5.099502,-4.504877,-2.606894,-1.500000,0.132827,0.000886,0.133713,-2.466287,-4.014501
-7.274829,-4.482355,-3.421329,-1.500000,0.230559,0.002423,0.232982,-2.367018,-4.022135
1.245474,-3.622790,-3.508815,-1.500000,0.241058,0.004030,0.245087,-2.354913,-3.858794
-30.461460,-32.282448,-31.439583,0.700000,3.856750,0.275643,4.132393,1.532393,-0.786749
-31.328566,-29.761175,-30.710720,0.700000,3.769286,0.300772,4.070058,1.470058,-0.553277
-44.469929,-33.585274,-31.959019,0.900000,3.943082,0.327059,4.270141,1.670141,-0.372542
-28.066111,-30.141415,-31.169708,0.900000,3.848365,0.352715,4.201080,1.601080,-0.128222
-27.993235,-27.873371,-29.738245,0.900000,3.676589,0.377225,4.053814,1.453815,0.091058
-29.541975,-28.127689,-29.038847,2.400000,3.772661,0.402376,4.175038,1.575038,0.180692
-20.979065,-26.554901,-27.960173,2.600000,3.667221,0.426825,4.094045,1.494045,0.283580
-36.894936,-29.135803,-28.470699,3.900000,3.884484,0.452721,4.337205,1.737205,0.291761
-30.106756,-28.583618,-28.519735,3.900000,3.890368,0.478657,4.369025,1.769025,0.272200
-24.271618,-28.192507,-28.377634,3.900000,3.873316,0.504479,4.377795,1.777795,0.316691
-18.819336,-24.174814,-26.552525,2.200000,3.450303,0.527481,3.977784,1.377784,0.410621
-20.626541,-21.978611,-24.566263,0.400000,2.995951,0.547454,3.543406,0.943406,0.499624
-31.057873,-25.943184,-25.164204,0.400000,3.067704,0.567905,3.635610,1.035610,0.570036
-23.990757,-26.866184,-25.903303,0.200000,3.132396,0.588788,3.721184,1.121185,0.579136
-20.641026,-25.647392,-25.792171,0.200000,3.119061,0.609582,3.728642,1.128643,0.607393
-15.952751,-21.248518,-23.819052,0.000000,2.858286,0.628637,3.486923,0.886923,0.647146
-21.203318,-21.634876,-22.870554,0.000000,2.744466,0.646933,3.391400,0.791400,0.639836
-12.419992,-19.683216,-21.486425,0.000000,2.578371,0.664123,3.242494,0.642494,0.684551
-15.233583,-19.197165,-20.492294,0.000000,2.459075,0.680516,3.139592,0.539592,0.796651
-14.493834,-18.378069,-19.574173,0.000000,2.348901,0.696176,3.045077,0.445077,0.891098
-16.044024,-18.027445,-18.902493,0.000000,2.268299,0.711298,2.979597,0.379597,0.845362
-14.353755,-16.285679,-17.766119,0.000000,2.131934,0.725511,2.857445,0.257445,0.817335
-15.008159,-17.340960,-17.581490,0.000000,2.109779,0.739576,2.849355,0.249355,0.747530
-17.204391,-17.798065,-17.675539,0.000000,2.121065,0.753716,2.874781,0.274781,0.723436
-8.646152,-14.673225,-16.371759,0.000000,1.964611,0.766814,2.731425,0.131425,0.693465
-6.460489,-13.229630,-15.007263,0.000000,1.800871,0.778820,2.579691,-0.020309,0.570325
-20.611681,-17.486839,-16.084040,0.000000,1.930085,0.791687,2.721771,0.121772,0.365160
-12.983150,-15.672756,-15.905437,0.000000,1.908652,0.804411,2.713063,0.113064,0.178577
-10.014853,-12.376770,-14.373083,0.000000,1.724770,0.815910,2.540679,-0.059320,-0.118388
-7.690279,-11.208389,-12.998788,0.000000,1.559855,0.826309,2.386163,-0.213837,-0.255437
-2.118812,-9.437416,-11.452231,0.000000,1.374268,0.835470,2.209738,-0.390262,-0.399966
-16.832834,-10.377364,-10.985461,0.000000,1.318255,0.844259,2.162514,-0.437486,-0.329699
2.876593,-6.341396,-8.968737,0.000000,1.076248,0.851434,1.927682,-0.672318,-0.340329
-2.595917,-6.449055,-7.874543,0.000000,0.944945,0.857733,1.802678,-0.797321,-0.296886
-9.971127,-8.599198,-8.189231,0.000000,0.982708,0.864285,1.846992,-0.753008,-0.310065
-5.842262,-8.011579,-8.112083,0.000000,0.973450,0.870774,1.844224,-0.755775,-0.339922
0.640356,-5.304725,-6.892964,0.000000,0.827156,0.876289,1.703444,-0.896555,-0.381534
0.909693,-5.889026,-6.456995,0.000000,0.774839,0.881454,1.656294,-0.943706,-0.436591
-1.783005,-7.725777,-7.007975,0.000000,0.840957,0.887061,1.728018,-0.871982,-0.608457
2.700514,-5.408567,-6.313418,0.000000,0.757610,0.892111,1.649722,-0.950278,-0.735111
4.810123,-2.657668,-4.725878,0.000000,0.567105,0.895892,1.462997,-1.137002,-0.904301
-4.338227,-5.583744,-5.098413,0.000000,0.611810,0.899971,1.511781,-1.088219,-1.051908
-9.044102,-9.016367,-6.799818,0.000000,0.815978,0.905411,1.721389,-0.878611,-1.205727
5.689114,-1.972216,-4.703391,0.000000,0.564407,0.909173,1.473580,-1.126420,-1.165983
9.930999,-0.778971,-2.999178,0.000000,0.359901,0.911573,1.271474,-1.328526,-1.222693
-3.750602,-2.757364,-2.894168,0.000000,0.347300,0.913888,1.261188,-1.338812,-1.312218
-8.799950,-3.928477,-3.343326,0.000000,0.401199,0.916563,1.317762,-1.282238,-1.403918
-2.525537,-2.909655,-3.155000,0.000000,0.378600,0.919087,1.297687,-1.302313,-1.528423
7.738795,0.350317,-1.632786,0.000000,0.195934,0.920393,1.116327,-1.483672,-1.726059
-7.430260,-1.503858,-1.576798,0.000000,0.189216,0.921654,1.110870,-1.489130,-1.947836
-7.059147,-2.460681,-1.960632,0.000000,0.235276,0.923223,1.158499,-1.441501,-2.084516
1.323760,-1.620915,-1.813107,0.000000,0.217573,0.924673,1.142246,-1.457754,-2.081296
-4.586834,-2.245575,-2.000910,0.000000,0.240109,0.926274,1.166383,-1.433617,-2.008805
-8.941845,-2.414213,-2.180390,0.000000,0.261647,0.928019,1.189665,-1.410335,-1.999491
-3.976283,-2.112631,-2.150965,0.000000,0.258116,0.929739,1.187855,-1.412145,-1.994204
-0.264653,-5.688323,-3.687093,0.000000,0.442451,0.932689,1.375140,-1.224860,-2.040529
-12.734656,-8.745967,-5.883952,0.000000,0.706074,0.937396,1.643470,-0.956530,-2.070615
-1.489303,-5.556377,-5.741700,0.000000,0.689004,0.941989,1.630993,-0.969006,-2.087162
-13.105435,-7.296557,-6.416910,0.000000,0.770029,0.947123,1.717152,-0.882848,-2.043768
-6.816942,-8.111265,-7.152699,0.000000,0.858324,0.952845,1.811169,-0.788831,-1.977536
-19.611023,-11.085783,-8.860674,0.000000,1.063281,0.959934,2.023215,-0.576785,-1.876547
-10.177073,-9.866070,-9.297276,0.000000,1.115673,0.967372,2.083045,-0.516955,-1.724277
1.273519,-7.641556,-8.578265,0.000000,1.029392,0.974234,2.003626,-0.596374,-1.591453
-6.010669,-9.081192,-8.796665,0.000000,1.055600,0.981272,2.036871,-0.563128,-1.453455
-7.883654,-10.281909,-9.441645,0.000000,1.132997,0.988825,2.121822,-0.478178,-1.333290
