I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
-18.539400,-16.381699,-16.455559,0.000000,1.974667,0.006582,1.981249,-0.618751,-2.690071,1.129888,0.000000,0.455563
-5.111326,-13.138771,-15.217697,0.000000,1.826124,0.012669,1.838793,-0.761207,-2.646065,1.425093,10.000000,1.420993
-2.705391,-9.297091,-13.008062,0.000000,1.560967,0.017873,1.578840,-1.021160,-2.562695,1.649452,8.000000,2.531425
-24.219889,-13.010162,-13.008846,0.000000,1.561062,0.023076,1.584138,-1.015862,-2.537681,1.872524,7.000000,7.759127
-1.806477,-8.114092,-11.182070,0.000000,1.341848,0.027549,1.369397,-1.230603,-2.565114,2.083767,7.000000,0.265341
1.347871,-7.338892,-9.747753,0.000000,1.169730,0.031448,1.201178,-1.398822,-2.537481,2.238297,6.000000,5.400012
-28.413858,-14.607307,-11.561392,0.000000,1.387367,0.036073,1.423440,-1.176560,-2.478912,2.457758,5.000000,7.804153
-64.951218,-26.335880,-17.075394,0.000000,2.049047,0.042903,2.091950,-0.508050,-2.291405,2.867190,5.000000,9.263668
-11.984552,-15.641546,-16.540266,0.000000,1.984832,0.049519,2.034351,-0.565649,-2.059881,3.286965,7.000000,11.724211
0.330616,-11.727737,-14.744178,0.000000,1.769301,0.055416,1.824718,-0.775282,-1.787464,3.560658,6.000000,15.105783
-13.251098,-14.296264,-14.577011,0.000000,1.749241,0.061247,1.810489,-0.789511,-1.504267,3.820898,3.000000,12.276278
-56.994461,-26.510101,-19.030571,0.000000,2.283669,0.068860,2.352528,-0.247472,-1.245169,4.228961,2.000000,11.978953
0.515774,-14.236209,-17.241262,0.000000,2.068951,0.075756,2.144707,-0.455292,-1.183446,4.636424,4.000000,6.118702
-33.904278,-22.017220,-19.023703,0.000000,2.282844,0.083366,2.366210,-0.233790,-1.053435,4.998959,2.000000,8.745287
-38.396847,-24.512514,-21.072187,0.000000,2.528662,0.091794,2.620457,0.020457,-0.890859,5.464256,3.000000,8.619426
-44.906094,-27.142929,-23.337854,0.000000,2.800542,0.101130,2.901672,0.301672,-0.716292,5.980810,3.000000,9.756609
3.964626,-15.464821,-20.399551,0.000000,2.447946,0.109289,2.557235,-0.042764,-0.551547,6.406888,4.000000,7.829069
