I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
12.666659,10.350246,9.143600,0.000000,-0.737232,-0.002457,-0.739689,-3.339689,-0.566699,-43.764977,2.000000,0.000000,6.143600,0.000000,0.000000,0.521503
2.770429,10.557919,9.671439,0.000000,-0.800573,-0.005126,-0.805699,-3.405699,-0.545093,-43.974060,2.000000,0.000000,6.671439,0.000000,0.000000,1.061420
12.849384,10.034751,9.807031,0.000000,-0.816844,-0.007849,-0.824692,-3.424692,-0.501851,-44.179985,2.000000,0.000000,6.807031,0.000000,0.000000,-1.623508
12.281123,9.754391,9.787385,0.000000,-0.814486,-0.010564,-0.825050,-3.425050,-0.422924,-44.377876,2.000000,0.000000,6.787385,0.000000,0.000000,-3.969455
0.662413,5.712260,8.266503,0.000000,-0.631980,-0.012670,-0.644651,-3.244651,-0.392624,-44.532543,2.000000,0.000000,5.266503,0.000000,0.000000,-2.318545
-2.700042,1.830432,5.864491,0.000000,-0.343739,-0.013816,-0.357555,-2.957555,-0.409526,-44.607971,2.000000,0.000000,2.864491,0.000000,0.000000,-1.984585
-5.168071,1.531577,4.247399,0.000000,-0.149688,-0.014315,-0.164003,-2.764003,-0.405886,-44.641590,2.000000,0.000000,1.247399,0.000000,0.000000,-3.178577
4.595986,2.423692,3.566772,0.000000,-0.068013,-0.014542,-0.082554,-2.682554,-0.423893,-44.681145,2.000000,0.000000,0.566772,0.000000,0.000000,-4.931261
6.669660,4.237629,3.817143,0.000000,-0.098057,-0.014869,-0.112926,-2.712926,-0.465548,-44.747757,2.000000,0.000000,0.817143,0.000000,0.000000,-3.878500
-1.473498,2.129091,3.187144,0.000000,-0.022457,-0.014944,-0.037401,-2.637401,-0.540100,-44.811424,2.000000,0.000000,0.187144,0.000000,0.000000,-3.003152
22.048754,6.980950,4.603034,0.000000,-0.192364,-0.015585,-0.207949,-2.807949,-0.656421,-44.902523,2.000000,0.000000,1.603034,0.000000,0.000000,-4.504972
-0.652527,0.389071,3.030336,0.000000,-0.003640,-0.015597,-0.019237,-2.619237,-0.761336,-44.976223,2.000000,0.000000,0.030336,0.000000,0.000000,-5.660985
9.732279,4.504109,3.580365,0.000000,-0.069644,-0.015829,-0.085473,-2.685473,-0.860655,-45.025154,2.000000,0.000000,0.580365,0.000000,0.000000,-7.556522
10.611289,5.948148,4.464047,0.000000,-0.175686,-0.016415,-0.192100,-2.792100,-1.008305,-45.129677,2.000000,0.000000,1.464047,0.000000,0.000000,-8.347340
7.481991,4.788224,4.585033,0.000000,-0.190204,-0.017049,-0.207253,-2.807253,-1.228060,-45.237041,2.000000,0.000000,1.585033,0.000000,0.000000,-8.396931
5.331060,6.934555,5.461901,0.000000,-0.295428,-0.018033,-0.313462,-2.913461,-1.499525,-45.354271,2.000000,0.000000,2.461901,0.000000,0.000000,-9.856733
