I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
11858.000000,0.000000,2.070392,2.578154,0.396541,2.300000,3.000000,0.000000,-0.793678,1.809373,186.299225,110.402313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11862.000000,0.000000,2.070458,2.578199,0.396542,2.300000,3.000000,0.000000,-0.793678,1.809373,186.299225,110.402313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11864.000000,0.000000,2.070486,2.578282,0.396544,2.300000,3.000000,0.000000,-0.793678,1.809373,186.299225,110.402313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11866.000000,0.000000,2.070457,2.578276,0.396543,2.300000,3.000000,0.000000,-0.793678,1.809373,186.299225,110.402313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11868.000000,0.000000,2.070443,2.578271,0.396541,2.300000,3.000000,0.000000,-0.793678,1.809373,186.299225,110.402313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11872.000000,0.000000,2.070459,2.578300,0.396540,2.300000,3.000000,0.000000,-0.409900,0.264324,186.375427,110.502083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11874.000000,0.000000,2.070473,2.578485,0.396543,2.300000,3.000000,0.000000,-0.409900,0.264324,186.375427,110.502083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11876.000000,0.000000,2.070441,2.578598,0.396545,2.300000,3.000000,0.000000,-0.409900,0.264324,186.375427,110.502083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11878.000000,0.000000,2.070400,2.578686,0.396545,2.300000,3.000000,0.000000,-0.409900,0.264324,186.375427,110.502083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11882.000000,0.000000,2.070374,2.578757,0.396546,2.300000,3.000000,0.000000,-0.409900,0.264324,186.375427,110.502083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11884.000000,0.000000,2.070309,2.578884,0.396547,2.300000,3.000000,0.000000,-0.409900,0.264324,186.375427,110.502083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11886.000000,0.000000,2.070244,2.578929,0.396548,2.300000,3.000000,0.000000,-0.409900,0.264324,186.375427,110.502083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11888.000000,0.000000,2.070201,2.578952,0.396548,2.300000,3.000000,0.000000,-0.409900,0.264324,186.375427,110.502083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11892.000000,0.000000,2.070214,2.578975,0.396548,2.300000,3.000000,0.000000,0.072846,0.170899,186.445114,110.598694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11894.000000,0.000000,2.070355,2.579091,0.396551,2.300000,3.000000,0.000000,0.072846,0.170899,186.445114,110.598694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11896.000000,0.000000,2.070442,2.579165,0.396552,2.300000,3.000000,0.000000,0.072846,0.170899,186.445114,110.598694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11898.000000,0.000000,2.070512,2.579229,0.396554,2.300000,3.000000,0.000000,0.072846,0.170899,186.445114,110.598694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11902.000000,0.000000,2.070541,2.579278,0.396555,2.300000,3.000000,0.000000,0.072846,0.170899,186.445114,110.598694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11904.000000,0.000000,2.070440,2.579351,0.396555,2.300000,3.000000,0.000000,0.072846,0.170899,186.445114,110.598694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11906.000000,0.000000,2.070341,2.579381,0.396555,2.300000,3.000000,0.000000,0.072846,0.170899,186.445114,110.598694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11908.000000,0.000000,2.070272,2.579399,0.396554,2.300000,3.000000,0.000000,0.072846,0.170899,186.445114,110.598694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11912.000000,0.000000,2.070256,2.579410,0.396552,2.300000,3.000000,0.000000,-0.307621,0.270002,186.516632,110.696754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11914.000000,0.000000,2.070228,2.579424,0.396550,2.300000,3.000000,0.000000,-0.307621,0.270002,186.516632,110.696754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11916.000000,0.000000,2.070229,2.579432,0.396549,2.300000,3.000000,0.000000,-0.307621,0.270002,186.516632,110.696754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11918.000000,0.000000,2.070280,2.579423,0.396548,2.300000,3.000000,0.000000,-0.307621,0.270002,186.516632,110.696754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11922.000000,0.000000,2.070353,2.579401,0.396546,2.300000,3.000000,0.000000,-0.307621,0.270002,186.516632,110.696754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11924.000000,0.000000,2.070467,2.579338,0.396543,2.300000,3.000000,0.000000,-0.307621,0.270002,186.516632,110.696754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
