I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
5619.000000,0.000000,2.453943,2.266740,0.299462,2.300000,3.000000,0.000000,-1.063649,1.571631,171.622635,64.297058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5622.000000,0.000000,2.454204,2.266820,0.299479,2.300000,3.000000,0.000000,-1.063649,1.571631,171.622635,64.297058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5623.000000,0.000000,2.454470,2.266902,0.299495,2.300000,3.000000,0.000000,-1.063649,1.571631,171.622635,64.297058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5625.000000,0.000000,2.454757,2.266959,0.299510,2.300000,3.000000,0.000000,-1.063649,1.571631,171.622635,64.297058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5627.000000,0.000000,2.455041,2.267003,0.299525,2.300000,3.000000,0.000000,-1.063649,1.571631,171.622635,64.297058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5629.000000,0.000000,2.455288,2.267052,0.299540,2.300000,3.000000,0.000000,-1.063649,1.571631,171.622635,64.297058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5633.000000,0.000000,2.455502,2.267114,0.299556,2.300000,3.000000,0.000000,0.476510,0.029356,171.767944,64.344116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5635.000000,0.000000,2.455849,2.267248,0.299588,2.300000,3.000000,0.000000,0.476510,0.029356,171.767944,64.344116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5637.000000,0.000000,2.456021,2.267336,0.299604,2.300000,3.000000,0.000000,0.476510,0.029356,171.767944,64.344116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5639.000000,0.000000,2.456250,2.267451,0.299622,2.300000,3.000000,0.000000,0.476510,0.029356,171.767944,64.344116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5642.000000,0.000000,2.456548,2.267573,0.299640,2.300000,3.000000,0.000000,0.476510,0.029356,171.767944,64.344116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
