I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
4386.000000,0.000000,1.218574,2.088163,0.156698,2.300000,3.000000,0.000000,-0.333946,0.398726,151.725235,62.983356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4388.000000,0.000000,1.218972,2.088299,0.156721,2.300000,3.000000,0.000000,-0.333946,0.398726,151.725235,62.983356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4393.000000,0.000000,1.219383,2.088443,0.156743,2.300000,3.000000,0.000000,1.203902,0.493915,151.901993,63.036217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4394.000000,0.000000,1.220264,2.088834,0.156790,2.300000,3.000000,0.000000,1.203902,0.493915,151.901993,63.036217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4396.000000,0.000000,1.220715,2.089052,0.156813,2.300000,3.000000,0.000000,1.203902,0.493915,151.901993,63.036217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4398.000000,0.000000,1.221187,2.089259,0.156836,2.300000,3.000000,0.000000,1.203902,0.493915,151.901993,63.036217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4402.000000,0.000000,1.221691,2.089461,0.156858,2.300000,3.000000,0.000000,1.203902,0.493915,151.901993,63.036217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4403.000000,0.000000,1.222229,2.089660,0.156881,2.300000,3.000000,0.000000,1.203902,0.493915,151.901993,63.036217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4404.000000,0.000000,1.222791,2.089841,0.156903,2.300000,3.000000,0.000000,1.203902,0.493915,151.901993,63.036217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4406.000000,0.000000,1.223360,2.089989,0.156925,2.300000,3.000000,0.000000,1.203902,0.493915,151.901993,63.036217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4408.000000,0.000000,1.223953,2.090115,0.156946,2.300000,3.000000,0.000000,1.203902,0.493915,151.901993,63.036217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4413.000000,0.000000,1.224563,2.090246,0.156968,2.300000,3.000000,0.000000,-0.907986,1.072182,152.080200,63.088493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4414.000000,0.000000,1.225746,2.090560,0.157012,2.300000,3.000000,0.000000,-0.907986,1.072182,152.080200,63.088493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4416.000000,0.000000,1.226308,2.090737,0.157034,2.300000,3.000000,0.000000,-0.907986,1.072182,152.080200,63.088493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4418.000000,0.000000,1.226846,2.090931,0.157057,2.300000,3.000000,0.000000,-0.907986,1.072182,152.080200,63.088493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4422.000000,0.000000,1.227359,2.091133,0.157080,2.300000,3.000000,0.000000,-0.907986,1.072182,152.080200,63.088493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4423.000000,0.000000,1.227856,2.091332,0.157103,2.300000,3.000000,0.000000,-0.907986,1.072182,152.080200,63.088493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4424.000000,0.000000,1.228320,2.091541,0.157126,2.300000,3.000000,0.000000,-0.907986,1.072182,152.080200,63.088493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4426.000000,0.000000,1.228729,2.091771,0.157149,2.300000,3.000000,0.000000,-0.907986,1.072182,152.080200,63.088493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4428.000000,0.000000,1.229090,2.092015,0.157173,2.300000,3.000000,0.000000,-0.907986,1.072182,152.080200,63.088493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4433.000000,0.000000,1.229439,2.092258,0.157196,2.300000,3.000000,0.000000,0.054605,0.496180,152.258072,63.142925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4434.000000,0.000000,1.230209,2.092729,0.157243,2.300000,3.000000,0.000000,0.054605,0.496180,152.258072,63.142925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4436.000000,0.000000,1.230630,2.092946,0.157267,2.300000,3.000000,0.000000,0.054605,0.496180,152.258072,63.142925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4438.000000,0.000000,1.231068,2.093142,0.157289,2.300000,3.000000,0.000000,0.054605,0.496180,152.258072,63.142925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4442.000000,0.000000,1.231526,2.093304,0.157312,2.300000,3.000000,0.000000,0.054605,0.496180,152.258072,63.142925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4443.000000,0.000000,1.232007,2.093429,0.157333,2.300000,3.000000,0.000000,0.054605,0.496180,152.258072,63.142925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4444.000000,0.000000,1.232515,2.093543,0.157355,2.300000,3.000000,0.000000,0.054605,0.496180,152.258072,63.142925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4446.000000,0.000000,1.233043,2.093667,0.157377,2.300000,3.000000,0.000000,0.054605,0.496180,152.258072,63.142925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4448.000000,0.000000,1.233587,2.093803,0.157400,2.300000,3.000000,0.000000,0.054605,0.496180,152.258072,63.142925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4453.000000,0.000000,1.234147,2.093949,0.157422,2.300000,3.000000,0.000000,1.209254,0.301379,152.436234,63.197872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4454.000000,0.000000,1.235256,2.094314,0.157467,2.300000,3.000000,0.000000,1.209254,0.301379,152.436234,63.197872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4456.000000,0.000000,1.235781,2.094535,0.157491,2.300000,3.000000,0.000000,1.209254,0.301379,152.436234,63.197872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4458.000000,0.000000,1.236296,2.094756,0.157514,2.300000,3.000000,0.000000,1.209254,0.301379,152.436234,63.197872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4462.000000,0.000000,1.236804,2.094965,0.157537,2.300000,3.000000,0.000000,1.209254,0.301379,152.436234,63.197872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4463.000000,0.000000,1.237305,2.095158,0.157559,2.300000,3.000000,0.000000,1.209254,0.301379,152.436234,63.197872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4464.000000,0.000000,1.237806,2.095323,0.157581,2.300000,3.000000,0.000000,1.209254,0.301379,152.436234,63.197872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4466.000000,0.000000,1.238318,2.095456,0.157601,2.300000,3.000000,0.000000,1.209254,0.301379,152.436234,63.197872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4468.000000,0.000000,1.238851,2.095591,0.157622,2.300000,3.000000,0.000000,1.209254,0.301379,152.436234,63.197872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
