I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
5132.000000,0.000000,1.878493,1.618462,0.187747,2.300000,3.000000,0.000000,0.444278,0.504287,197.397095,98.587112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5133.000000,0.000000,1.878921,1.618783,0.187766,2.300000,3.000000,0.000000,0.444278,0.504287,197.397095,98.587112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5134.000000,0.000000,1.879378,1.619119,0.187786,2.300000,3.000000,0.000000,0.444278,0.504287,197.397095,98.587112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5136.000000,0.000000,1.879859,1.619455,0.187805,2.300000,3.000000,0.000000,0.444278,0.504287,197.397095,98.587112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5138.000000,0.000000,1.880343,1.619791,0.187824,2.300000,3.000000,0.000000,0.444278,0.504287,197.397095,98.587112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5142.000000,0.000000,1.880802,1.620126,0.187843,2.300000,3.000000,0.000000,0.444278,0.504287,197.397095,98.587112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5143.000000,0.000000,1.881234,1.620444,0.187861,2.300000,3.000000,0.000000,0.444278,0.504287,197.397095,98.587112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5144.000000,0.000000,1.881668,1.620743,0.187878,2.300000,3.000000,0.000000,0.444278,0.504287,197.397095,98.587112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5146.000000,0.000000,1.882107,1.621038,0.187895,2.300000,3.000000,0.000000,0.444278,0.504287,197.397095,98.587112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5148.000000,0.000000,1.882530,1.621339,0.187912,2.300000,3.000000,0.000000,0.444278,0.504287,197.397095,98.587112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5152.000000,0.000000,1.882954,1.621635,0.187928,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.582657,98.677162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5153.000000,0.000000,1.883415,1.621926,0.187945,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.582657,98.677162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5154.000000,0.000000,1.883912,1.622226,0.187961,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.582657,98.677162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5156.000000,0.000000,1.884410,1.622528,0.187976,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.582657,98.677162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5158.000000,0.000000,1.884879,1.622808,0.187991,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.582657,98.677162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5162.000000,0.000000,1.885318,1.623057,0.188004,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.582657,98.677162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5163.000000,0.000000,1.885728,1.623314,0.188017,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.582657,98.677162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5164.000000,0.000000,1.886128,1.623595,0.188030,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.582657,98.677162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5166.000000,0.000000,1.886516,1.623870,0.188043,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.582657,98.677162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5168.000000,0.000000,1.886903,1.624130,0.188055,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.582657,98.677162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5172.000000,0.000000,1.887310,1.624390,0.188068,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.758682,98.770470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5173.000000,0.000000,1.887735,1.624672,0.188082,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.758682,98.770470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5174.000000,0.000000,1.888153,1.624974,0.188097,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.758682,98.770470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5176.000000,0.000000,1.888576,1.625298,0.188113,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.758682,98.770470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5178.000000,0.000000,1.889045,1.625630,0.188129,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.758682,98.770470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5182.000000,0.000000,1.889545,1.625956,0.188146,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.758682,98.770470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5183.000000,0.000000,1.890048,1.626267,0.188163,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.758682,98.770470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5184.000000,0.000000,1.890569,1.626562,0.188179,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.758682,98.770470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5186.000000,0.000000,1.891124,1.626855,0.188196,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.758682,98.770470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5188.000000,0.000000,1.891694,1.627155,0.188213,2.300000,3.000000,0.000000,-1.294391,-5.749372,197.758682,98.770470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5192.000000,0.000000,1.892255,1.627446,0.188231,2.300000,3.000000,0.000000,-0.136456,5.306301,197.927521,98.867607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5193.000000,0.000000,1.892796,1.627727,0.188248,2.300000,3.000000,0.000000,-0.136456,5.306301,197.927521,98.867607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5194.000000,0.000000,1.893302,1.628027,0.188266,2.300000,3.000000,0.000000,-0.136456,5.306301,197.927521,98.867607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5196.000000,0.000000,1.893773,1.628347,0.188284,2.300000,3.000000,0.000000,-0.136456,5.306301,197.927521,98.867607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5198.000000,0.000000,1.894240,1.628639,0.188302,2.300000,3.000000,0.000000,-0.136456,5.306301,197.927521,98.867607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5202.000000,0.000000,1.894719,1.628891,0.188319,2.300000,3.000000,0.000000,-0.136456,5.306301,197.927521,98.867607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5203.000000,0.000000,1.895211,1.629136,0.188335,2.300000,3.000000,0.000000,-0.136456,5.306301,197.927521,98.867607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5204.000000,0.000000,1.895702,1.629393,0.188352,2.300000,3.000000,0.000000,-0.136456,5.306301,197.927521,98.867607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5206.000000,0.000000,1.896166,1.629651,0.188368,2.300000,3.000000,0.000000,-0.136456,5.306301,197.927521,98.867607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5208.000000,0.000000,1.896591,1.629889,0.188384,2.300000,3.000000,0.000000,-0.136456,5.306301,197.927521,98.867607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5212.000000,0.000000,1.896990,1.630103,0.188399,2.300000,3.000000,0.000000,-0.136456,5.306301,198.102554,98.957756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5213.000000,0.000000,1.897375,1.630319,0.188414,2.300000,3.000000,0.000000,-0.136456,5.306301,198.102554,98.957756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5214.000000,0.000000,1.897745,1.630561,0.188429,2.300000,3.000000,0.000000,-0.136456,5.306301,198.102554,98.957756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5216.000000,0.000000,1.898115,1.630820,0.188444,2.300000,3.000000,0.000000,-0.136456,5.306301,198.102554,98.957756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5218.000000,0.000000,1.898521,1.631075,0.188459,2.300000,3.000000,0.000000,-0.136456,5.306301,198.102554,98.957756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5222.000000,0.000000,1.898968,1.631329,0.188474,2.300000,3.000000,0.000000,-0.136456,5.306301,198.102554,98.957756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5223.000000,0.000000,1.899432,1.631587,0.188488,2.300000,3.000000,0.000000,-0.136456,5.306301,198.102554,98.957756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5224.000000,0.000000,1.899853,1.631840,0.188501,2.300000,3.000000,0.000000,-0.136456,5.306301,198.102554,98.957756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5226.000000,0.000000,1.900218,1.632075,0.188514,2.300000,3.000000,0.000000,-0.136456,5.306301,198.102554,98.957756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5228.000000,0.000000,1.900561,1.632284,0.188525,2.300000,3.000000,0.000000,-0.136456,5.306301,198.102554,98.957756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
