I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
3513.000000,0.000000,0.890089,2.092507,0.284299,2.300000,3.000000,0.000000,1.376691,0.117225,106.983154,39.531494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3514.000000,0.000000,0.891505,2.093277,0.286336,2.300000,3.000000,0.000000,1.376691,0.117225,106.983154,39.531494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3516.000000,0.000000,0.892251,2.093611,0.286869,2.300000,3.000000,0.000000,1.376691,0.117225,106.983154,39.531494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3518.000000,0.000000,0.892975,2.093908,0.286894,2.300000,3.000000,0.000000,1.376691,0.117225,106.983154,39.531494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3522.000000,0.000000,0.893674,2.094170,0.286918,2.300000,3.000000,0.000000,1.376691,0.117225,106.983154,39.531494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3523.000000,0.000000,0.894321,2.094408,0.286656,2.300000,3.000000,0.000000,1.376691,0.117225,106.983154,39.531494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3524.000000,0.000000,0.894890,2.094617,0.285866,2.300000,3.000000,0.000000,1.376691,0.117225,106.983154,39.531494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3526.000000,0.000000,0.895384,2.094792,0.284809,2.300000,3.000000,0.000000,1.376691,0.117225,106.983154,39.531494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3528.000000,0.000000,0.895821,2.094941,0.283562,2.300000,3.000000,0.000000,1.376691,0.117225,106.983154,39.531494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3533.000000,0.000000,0.896262,2.095083,0.282231,2.300000,3.000000,0.000000,0.030130,-0.555115,107.185974,39.628941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3534.000000,0.000000,0.897257,2.095464,0.279891,2.300000,3.000000,0.000000,0.030130,-0.555115,107.185974,39.628941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3536.000000,0.000000,0.897783,2.095723,0.279115,2.300000,3.000000,0.000000,0.030130,-0.555115,107.185974,39.628941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3538.000000,0.000000,0.898377,2.096001,0.278860,2.300000,3.000000,0.000000,0.030130,-0.555115,107.185974,39.628941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3542.000000,0.000000,0.899046,2.096279,0.278888,2.300000,3.000000,0.000000,0.030130,-0.555115,107.185974,39.628941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3543.000000,0.000000,0.899761,2.096561,0.278917,2.300000,3.000000,0.000000,0.030130,-0.555115,107.185974,39.628941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3544.000000,0.000000,0.900531,2.096858,0.279540,2.300000,3.000000,0.000000,0.030130,-0.555115,107.185974,39.628941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3546.000000,0.000000,0.901339,2.097192,0.280459,2.300000,3.000000,0.000000,0.030130,-0.555115,107.185974,39.628941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3548.000000,0.000000,0.902161,2.097561,0.281597,2.300000,3.000000,0.000000,0.030130,-0.555115,107.185974,39.628941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3553.000000,0.000000,0.902983,2.097946,0.282865,2.300000,3.000000,0.000000,0.030247,0.501264,107.394958,39.729553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3554.000000,0.000000,0.904568,2.098703,0.285328,2.300000,3.000000,0.000000,0.030247,0.501264,107.394958,39.729553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3556.000000,0.000000,0.905287,2.099074,0.286298,2.300000,3.000000,0.000000,0.030247,0.501264,107.394958,39.729553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3558.000000,0.000000,0.905968,2.099413,0.287024,2.300000,3.000000,0.000000,0.030247,0.501264,107.394958,39.729553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3562.000000,0.000000,0.906632,2.099697,0.287299,2.300000,3.000000,0.000000,0.030247,0.501264,107.394958,39.729553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3563.000000,0.000000,0.907295,2.099910,0.287326,2.300000,3.000000,0.000000,0.030247,0.501264,107.394958,39.729553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3564.000000,0.000000,0.907954,2.100040,0.287147,2.300000,3.000000,0.000000,0.030247,0.501264,107.394958,39.729553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3566.000000,0.000000,0.908598,2.100106,0.286504,2.300000,3.000000,0.000000,0.030247,0.501264,107.394958,39.729553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
