I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
4053.000000,0.000000,1.002714,1.778247,0.216112,2.300000,3.000000,0.000000,-0.249254,-0.774526,174.470688,100.041435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4054.000000,0.000000,1.004410,1.779130,0.216172,2.300000,3.000000,0.000000,-0.249254,-0.774526,174.470688,100.041435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4056.000000,0.000000,1.005231,1.779583,0.216202,2.300000,3.000000,0.000000,-0.249254,-0.774526,174.470688,100.041435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4058.000000,0.000000,1.006054,1.780025,0.216232,2.300000,3.000000,0.000000,-0.249254,-0.774526,174.470688,100.041435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4062.000000,0.000000,1.006876,1.780466,0.216261,2.300000,3.000000,0.000000,-0.249254,-0.774526,174.470688,100.041435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4063.000000,0.000000,1.007701,1.780930,0.216291,2.300000,3.000000,0.000000,-0.249254,-0.774526,174.470688,100.041435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4064.000000,0.000000,1.008540,1.781427,0.216321,2.300000,3.000000,0.000000,-0.249254,-0.774526,174.470688,100.041435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4066.000000,0.000000,1.009394,1.781936,0.216351,2.300000,3.000000,0.000000,-0.249254,-0.774526,174.470688,100.041435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4068.000000,0.000000,1.010255,1.782439,0.216380,2.300000,3.000000,0.000000,-0.249254,-0.774526,174.470688,100.041435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4073.000000,0.000000,1.011108,1.782925,0.216409,2.300000,3.000000,0.000000,-0.250015,2.111073,174.729752,100.154716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4074.000000,0.000000,1.012697,1.783843,0.216465,2.300000,3.000000,0.000000,-0.250015,2.111073,174.729752,100.154716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4076.000000,0.000000,1.013394,1.784294,0.216493,2.300000,3.000000,0.000000,-0.250015,2.111073,174.729752,100.154716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4078.000000,0.000000,1.014056,1.784739,0.216520,2.300000,3.000000,0.000000,-0.250015,2.111073,174.729752,100.154716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4082.000000,0.000000,1.014720,1.785167,0.216547,2.300000,3.000000,0.000000,-0.250015,2.111073,174.729752,100.154716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
