I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
4964.000000,0.000000,2.536011,2.133048,0.224587,2.300000,3.000000,0.000000,-0.641639,0.143921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.099469,-7.881783
4966.000000,0.000000,2.536400,2.133261,0.224599,2.300000,3.000000,0.000000,-0.641639,0.143921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.099356,-7.878674
4968.000000,0.000000,2.536818,2.133507,0.224612,2.300000,3.000000,0.000000,-0.641639,0.143921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.099380,-7.875564
4972.000000,0.000000,2.537255,2.133750,0.224625,2.300000,3.000000,0.000000,-0.641639,0.143921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.099532,-7.872451
4973.000000,0.000000,2.537691,2.133964,0.224636,2.300000,3.000000,0.000000,-0.641639,0.143921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.099787,-7.869326
4974.000000,0.000000,2.538089,2.134157,0.224647,2.300000,3.000000,0.000000,-0.641639,0.143921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.100117,-7.866173
4976.000000,0.000000,2.538440,2.134346,0.224657,2.300000,3.000000,0.000000,-0.641639,0.143921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.100486,-7.862989
4978.000000,0.000000,2.538765,2.134525,0.224668,2.300000,3.000000,0.000000,-0.641639,0.143921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.100863,-7.859775
4983.000000,0.000000,2.539099,2.134680,0.224678,2.300000,3.000000,0.000000,1.565755,-0.721375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.101220,-7.856534
4984.000000,0.000000,2.539873,2.134940,0.224696,2.300000,3.000000,0.000000,1.565755,-0.721375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.101796,-7.849978
4986.000000,0.000000,2.540317,2.135062,0.224705,2.300000,3.000000,0.000000,1.565755,-0.721375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.101986,-7.846664
4988.000000,0.000000,2.540769,2.135195,0.224715,2.300000,3.000000,0.000000,1.565755,-0.721375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.102097,-7.843318
4992.000000,0.000000,2.541201,2.135312,0.224724,2.300000,3.000000,0.000000,1.565755,-0.721375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.102122,-7.839927
4993.000000,0.000000,2.541621,2.135385,0.224731,2.300000,3.000000,0.000000,1.565755,-0.721375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.102067,-7.836487
4994.000000,0.000000,2.542040,2.135415,0.224736,2.300000,3.000000,0.000000,1.565755,-0.721375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.101953,-7.833008
