I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
60532.000000,7.000000,0.698259,3.197959,0.617963,1.786057,3.981274,0.000000,-9.226215,15.578075,-3.412929,6.557673,0.000000,0.000000,-0.546069,0.032125,0.000000,1.049228,-0.067953,0.000000
60536.000000,7.000000,0.707981,3.202774,0.615031,1.786057,3.981274,0.000000,-2.375027,-1.050988,-4.333236,8.182076,0.000000,0.000000,-0.546069,0.032125,0.000000,1.049228,-0.067953,0.000000
60537.000000,7.000000,0.718172,3.209997,0.612070,1.786057,3.981274,0.000000,-2.375027,-1.050988,-4.333236,8.182076,0.000000,0.000000,-0.546069,0.032125,0.000000,1.049228,-0.067953,0.000000
60538.000000,7.000000,0.728996,3.220938,0.610139,1.786057,3.981274,0.000000,-2.375027,-1.050988,-4.333236,8.182076,0.000000,0.000000,-0.546069,0.032125,0.000000,1.049228,-0.067953,0.000000
60540.000000,7.000000,0.739755,3.236557,0.608438,1.786057,3.981274,0.000000,-2.375027,-1.050988,-4.333236,8.182076,0.000000,0.000000,-0.546069,0.032125,0.000000,1.049228,-0.067953,0.000000
60542.000000,7.000000,0.750193,3.253289,0.605832,1.786057,3.981274,0.000000,-2.375027,-1.050988,-4.333236,8.182076,0.000000,0.000000,-0.546069,0.032125,0.000000,1.049228,-0.067953,0.000000
60546.000000,7.000000,0.761058,3.268843,0.602726,1.637941,4.242815,0.000000,-2.375027,-1.050988,-4.333236,8.182076,0.000000,0.000000,-0.693318,0.031259,0.000000,1.309132,-0.066317,0.000000
60548.000000,7.000000,0.784544,3.300083,0.596186,1.637941,4.242815,0.000000,-2.375027,-1.050988,-4.333236,8.182076,0.000000,0.000000,-0.693318,0.031259,0.000000,1.309132,-0.066317,0.000000
60550.000000,7.000000,0.798252,3.315049,0.592893,1.637941,4.242815,0.000000,-2.375027,-1.050988,-4.333236,8.182076,0.000000,0.000000,-0.693318,0.031259,0.000000,1.309132,-0.066317,0.000000
60552.000000,7.000000,0.812147,3.326722,0.589402,1.637941,4.242815,0.000000,-2.375027,-1.050988,-4.333236,8.182076,0.000000,0.000000,-0.693318,0.031259,0.000000,1.309132,-0.066317,0.000000
60556.000000,7.000000,0.825297,3.335858,0.585640,1.637941,4.242815,0.000000,-5.472419,-2.021100,-4.989686,9.139709,0.000000,0.000000,-0.693318,0.031259,0.000000,1.309132,-0.066317,0.000000
60557.000000,7.000000,0.837519,3.345111,0.580974,1.637941,4.242815,0.000000,-5.472419,-2.021100,-4.989686,9.139709,0.000000,0.000000,-0.693318,0.031259,0.000000,1.309132,-0.066317,0.000000
60558.000000,7.000000,0.849514,3.355478,0.575438,1.637941,4.242815,0.000000,-5.472419,-2.021100,-4.989686,9.139709,0.000000,0.000000,-0.693318,0.031259,0.000000,1.309132,-0.066317,0.000000
60560.000000,7.000000,0.859609,3.367839,0.569073,1.637941,4.242815,0.000000,-5.472419,-2.021100,-4.989686,9.139709,0.000000,0.000000,-0.693318,0.031259,0.000000,1.309132,-0.066317,0.000000
60562.000000,7.000000,0.866997,3.383192,0.562593,1.637941,4.242815,0.000000,-5.472419,-2.021100,-4.989686,9.139709,0.000000,0.000000,-0.693318,0.031259,0.000000,1.309132,-0.066317,0.000000
60566.000000,7.000000,0.874342,3.397487,0.556666,1.531911,4.397864,0.000000,-5.472419,-2.021100,-4.989686,9.139709,0.000000,0.000000,-0.798350,0.030261,0.000000,1.462353,-0.064489,0.000000
60568.000000,7.000000,0.892430,3.415800,0.544075,1.531911,4.397864,0.000000,-5.472419,-2.021100,-4.989686,9.139709,0.000000,0.000000,-0.798350,0.030261,0.000000,1.462353,-0.064489,0.000000
60570.000000,7.000000,0.900696,3.420764,0.536109,1.531911,4.397864,0.000000,-5.472419,-2.021100,-4.989686,9.139709,0.000000,0.000000,-0.798350,0.030261,0.000000,1.462353,-0.064489,0.000000
60572.000000,7.000000,0.909015,3.422871,0.527772,1.531911,4.397864,0.000000,-5.472419,-2.021100,-4.989686,9.139709,0.000000,0.000000,-0.798350,0.030261,0.000000,1.462353,-0.064489,0.000000
60576.000000,7.000000,0.918911,3.421761,0.520352,1.531911,4.397864,0.000000,-6.374659,-4.702570,-5.068815,9.568410,0.000000,0.000000,-0.798350,0.030261,0.000000,1.462353,-0.064489,0.000000
60577.000000,7.000000,0.930203,3.421423,0.513984,1.531911,4.397864,0.000000,-6.374659,-4.702570,-5.068815,9.568410,0.000000,0.000000,-0.798350,0.030261,0.000000,1.462353,-0.064489,0.000000
60578.000000,7.000000,0.941245,3.425694,0.508610,1.531911,4.397864,0.000000,-6.374659,-4.702570,-5.068815,9.568410,0.000000,0.000000,-0.798350,0.030261,0.000000,1.462353,-0.064489,0.000000
60580.000000,7.000000,0.951001,3.434913,0.503359,1.531911,4.397864,0.000000,-6.374659,-4.702570,-5.068815,9.568410,0.000000,0.000000,-0.798350,0.030261,0.000000,1.462353,-0.064489,0.000000
60582.000000,7.000000,0.959694,3.443449,0.497613,1.531911,4.397864,0.000000,-6.374659,-4.702570,-5.068815,9.568410,0.000000,0.000000,-0.798350,0.030261,0.000000,1.462353,-0.064489,0.000000
60586.000000,7.000000,0.966108,3.451106,0.491271,1.518237,4.468370,0.000000,-6.374659,-4.702570,-5.068815,9.568410,0.000000,0.000000,-0.811010,0.029247,0.000000,1.530946,-0.062575,0.000000
60588.000000,7.000000,0.972464,3.472905,0.477652,1.518237,4.468370,0.000000,-6.374659,-4.702570,-5.068815,9.568410,0.000000,0.000000,-0.811010,0.029247,0.000000,1.530946,-0.062575,0.000000
60590.000000,7.000000,0.976495,3.487643,0.469109,1.518237,4.468370,0.000000,-6.374659,-4.702570,-5.068815,9.568410,0.000000,0.000000,-0.811010,0.029247,0.000000,1.530946,-0.062575,0.000000
60592.000000,7.000000,0.981795,3.500698,0.460238,1.518237,4.468370,0.000000,-6.374659,-4.702570,-5.068815,9.568410,0.000000,0.000000,-0.811010,0.029247,0.000000,1.530946,-0.062575,0.000000
60596.000000,7.000000,0.987862,3.510216,0.451879,1.518237,4.468370,0.000000,-6.375425,-4.703135,-4.489773,9.503231,0.000000,0.000000,-0.811010,0.029247,0.000000,1.530946,-0.062575,0.000000
60597.000000,7.000000,0.995203,3.514417,0.443146,1.518237,4.468370,0.000000,-6.375425,-4.703135,-4.489773,9.503231,0.000000,0.000000,-0.811010,0.029247,0.000000,1.530946,-0.062575,0.000000
60598.000000,7.000000,1.003101,3.514804,0.432638,1.518237,4.468370,0.000000,-6.375425,-4.703135,-4.489773,9.503231,0.000000,0.000000,-0.811010,0.029247,0.000000,1.530946,-0.062575,0.000000
60600.000000,7.000000,1.010873,3.512979,0.420504,1.518237,4.468370,0.000000,-6.375425,-4.703135,-4.489773,9.503231,0.000000,0.000000,-0.811010,0.029247,0.000000,1.530946,-0.062575,0.000000
60602.000000,7.000000,1.019337,3.511110,0.409157,1.518237,4.468370,0.000000,-6.375425,-4.703135,-4.489773,9.503231,0.000000,0.000000,-0.811010,0.029247,0.000000,1.530946,-0.062575,0.000000
60606.000000,7.000000,1.027537,3.510013,0.399061,1.609985,4.459842,0.000000,-6.375425,-4.703135,-4.489773,9.503231,0.000000,0.000000,-0.718364,0.028349,0.000000,1.520517,-0.060675,0.000000
60608.000000,7.000000,1.032120,3.514508,0.374612,1.609985,4.459842,0.000000,-6.375425,-4.703135,-4.489773,9.503231,0.000000,0.000000,-0.718364,0.028349,0.000000,1.520517,-0.060675,0.000000
60610.000000,7.000000,1.028251,3.519747,0.358525,1.609985,4.459842,0.000000,-6.375425,-4.703135,-4.489773,9.503231,0.000000,0.000000,-0.718364,0.028349,0.000000,1.520517,-0.060675,0.000000
60612.000000,7.000000,1.024687,3.523357,0.343652,1.609985,4.459842,0.000000,-6.375425,-4.703135,-4.489773,9.503231,0.000000,0.000000,-0.718364,0.028349,0.000000,1.520517,-0.060675,0.000000
60616.000000,7.000000,1.021613,3.524825,0.331474,1.609985,4.459842,0.000000,1.332437,-2.951933,-2.913452,8.396423,0.000000,0.000000,-0.718364,0.028349,0.000000,1.520517,-0.060675,0.000000
60617.000000,7.000000,1.018665,3.525638,0.319655,1.609985,4.459842,0.000000,1.332437,-2.951933,-2.913452,8.396423,0.000000,0.000000,-0.718364,0.028349,0.000000,1.520517,-0.060675,0.000000
60618.000000,7.000000,1.014691,3.526673,0.305024,1.609985,4.459842,0.000000,1.332437,-2.951933,-2.913452,8.396423,0.000000,0.000000,-0.718364,0.028349,0.000000,1.520517,-0.060675,0.000000
60620.000000,7.000000,1.009899,3.528272,0.288666,1.609985,4.459842,0.000000,1.332437,-2.951933,-2.913452,8.396423,0.000000,0.000000,-0.718364,0.028349,0.000000,1.520517,-0.060675,0.000000
60622.000000,7.000000,1.004698,3.531066,0.274335,1.609985,4.459842,0.000000,1.332437,-2.951933,-2.913452,8.396423,0.000000,0.000000,-0.718364,0.028349,0.000000,1.520517,-0.060675,0.000000
60626.000000,7.000000,1.000127,3.532389,0.263284,1.861614,4.284432,0.000000,1.332437,-2.951933,-2.913452,8.396423,0.000000,0.000000,-0.466152,0.027766,0.000000,1.343428,-0.058995,0.000000
60628.000000,7.000000,0.988721,3.525406,0.242847,1.861614,4.284432,0.000000,1.332437,-2.951933,-2.913452,8.396423,0.000000,0.000000,-0.466152,0.027766,0.000000,1.343428,-0.058995,0.000000
60630.000000,7.000000,0.980368,3.522374,0.231109,1.861614,4.284432,0.000000,1.332437,-2.951933,-2.913452,8.396423,0.000000,0.000000,-0.466152,0.027766,0.000000,1.343428,-0.058995,0.000000
60632.000000,7.000000,0.972474,3.522451,0.219720,1.861614,4.284432,0.000000,1.332437,-2.951933,-2.913452,8.396423,0.000000,0.000000,-0.466152,0.027766,0.000000,1.343428,-0.058995,0.000000
60636.000000,7.000000,0.965666,3.524159,0.209190,1.861614,4.284432,0.000000,4.303370,-7.375872,-0.792845,5.951588,0.000000,0.000000,-0.466152,0.027766,0.000000,1.343428,-0.058995,0.000000
60637.000000,7.000000,0.960224,3.522394,0.199402,1.861614,4.284432,0.000000,4.303370,-7.375872,-0.792845,5.951588,0.000000,0.000000,-0.466152,0.027766,0.000000,1.343428,-0.058995,0.000000
60638.000000,7.000000,0.955231,3.514457,0.189713,1.861614,4.284432,0.000000,4.303370,-7.375872,-0.792845,5.951588,0.000000,0.000000,-0.466152,0.027766,0.000000,1.343428,-0.058995,0.000000
60640.000000,7.000000,0.950535,3.503677,0.179847,1.861614,4.284432,0.000000,4.303370,-7.375872,-0.792845,5.951588,0.000000,0.000000,-0.466152,0.027766,0.000000,1.343428,-0.058995,0.000000
