I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
15238.000000,0.000000,2.419647,2.549834,0.021184,2.300000,3.000000,0.000000,0.234629,0.154629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.037132,-1.036626
15242.000000,0.000000,2.419746,2.549855,0.021180,2.300000,3.000000,0.000000,-0.922792,0.060500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.036627,-1.036185
15244.000000,0.000000,2.420001,2.549829,0.021168,2.300000,3.000000,0.000000,-0.922792,0.060500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.035764,-1.035512
15246.000000,0.000000,2.420194,2.549747,0.021159,2.300000,3.000000,0.000000,-0.922792,0.060500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.035411,-1.035284
15248.000000,0.000000,2.420381,2.549650,0.021150,2.300000,3.000000,0.000000,-0.922792,0.060500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.035100,-1.035119
15251.000000,0.000000,2.420503,2.549578,0.021141,2.300000,3.000000,0.000000,-0.922792,0.060500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.034818,-1.035004
15252.000000,0.000000,2.420566,2.549549,0.021135,2.300000,3.000000,0.000000,-0.922792,0.060500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.034552,-1.034921
15254.000000,0.000000,2.420614,2.549564,0.021130,2.300000,3.000000,0.000000,-0.922792,0.060500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.034286,-1.034852
15256.000000,0.000000,2.420676,2.549608,0.021126,2.300000,3.000000,0.000000,-0.922792,0.060500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.034010,-1.034774
15258.000000,0.000000,2.420738,2.549651,0.021123,2.300000,3.000000,0.000000,-0.922792,0.060500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.033719,-1.034667
