I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
5926.000000,0.000000,1.981423,1.758955,0.104911,2.300000,3.000000,0.000000,0.456883,0.498206,233.723724,133.757202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5928.000000,0.000000,1.981784,1.759256,0.104929,2.300000,3.000000,0.000000,0.456883,0.498206,233.723724,133.757202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5932.000000,0.000000,1.982138,1.759533,0.104946,2.300000,3.000000,0.000000,-0.597384,0.209990,233.903183,133.847214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5933.000000,0.000000,1.982494,1.759777,0.104962,2.300000,3.000000,0.000000,-0.597384,0.209990,233.903183,133.847214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5934.000000,0.000000,1.982868,1.760020,0.104978,2.300000,3.000000,0.000000,-0.597384,0.209990,233.903183,133.847214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5936.000000,0.000000,1.983272,1.760295,0.104995,2.300000,3.000000,0.000000,-0.597384,0.209990,233.903183,133.847214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5938.000000,0.000000,1.983699,1.760595,0.105014,2.300000,3.000000,0.000000,-0.597384,0.209990,233.903183,133.847214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5942.000000,0.000000,1.984141,1.760905,0.105033,2.300000,3.000000,0.000000,-0.597384,0.209990,233.903183,133.847214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5943.000000,0.000000,1.984589,1.761215,0.105052,2.300000,3.000000,0.000000,-0.597384,0.209990,233.903183,133.847214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5944.000000,0.000000,1.985029,1.761538,0.105071,2.300000,3.000000,0.000000,-0.597384,0.209990,233.903183,133.847214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5946.000000,0.000000,1.985456,1.761880,0.105091,2.300000,3.000000,0.000000,-0.597384,0.209990,233.903183,133.847214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5948.000000,0.000000,1.985858,1.762222,0.105111,2.300000,3.000000,0.000000,-0.597384,0.209990,233.903183,133.847214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5952.000000,0.000000,1.986232,1.762548,0.105131,2.300000,3.000000,0.000000,-0.408565,0.497078,234.076965,133.934830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5953.000000,0.000000,1.986594,1.762849,0.105151,2.300000,3.000000,0.000000,-0.408565,0.497078,234.076965,133.934830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
