I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
4163.000000,0.000000,1.276837,1.852543,0.127589,2.300000,3.000000,0.000000,1.408273,-0.066389,157.477386,74.883896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4164.000000,0.000000,1.277474,1.852874,0.127614,2.300000,3.000000,0.000000,1.408273,-0.066389,157.477386,74.883896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4166.000000,0.000000,1.278151,1.853254,0.127640,2.300000,3.000000,0.000000,1.408273,-0.066389,157.477386,74.883896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4168.000000,0.000000,1.278861,1.853645,0.127667,2.300000,3.000000,0.000000,1.408273,-0.066389,157.477386,74.883896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4173.000000,0.000000,1.279576,1.854017,0.127693,2.300000,3.000000,0.000000,0.159105,0.891175,157.695648,74.980309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4174.000000,0.000000,1.280983,1.854669,0.127743,2.300000,3.000000,0.000000,0.159105,0.891175,157.695648,74.980309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4176.000000,0.000000,1.281671,1.854936,0.127767,2.300000,3.000000,0.000000,0.159105,0.891175,157.695648,74.980309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4178.000000,0.000000,1.282313,1.855176,0.127790,2.300000,3.000000,0.000000,0.159105,0.891175,157.695648,74.980309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4182.000000,0.000000,1.282896,1.855411,0.127813,2.300000,3.000000,0.000000,0.159105,0.891175,157.695648,74.980309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4183.000000,0.000000,1.283470,1.855649,0.127835,2.300000,3.000000,0.000000,0.159105,0.891175,157.695648,74.980309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4184.000000,0.000000,1.284085,1.855908,0.127859,2.300000,3.000000,0.000000,0.159105,0.891175,157.695648,74.980309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
