I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
2002.000000,14181.000000,0.020000,0.000000,0.000000,0.000000,0.000000,10.542229,5.153305,10.722229,5.333304,10.542229,-9.000001,10.722229,0.000000,0.000000,-0.180000,-0.406188,0.000000,-9.406189,-0.553305,-0.553305,5.153305,-9.000001,5.333304,0.000000,0.000000,-0.180000,-0.406187,0.000000,-9.406188,-0.553305,-0.553305,-0.333305,-2.353305,-0.870961,1.005913,1.000000,0.000000,0.000000
2002.000000,14201.000000,0.020000,0.000000,0.000000,0.000000,0.000000,10.182229,4.793304,11.750826,6.777112,10.182229,-18.000002,10.597845,0.097165,-1.028597,-0.415616,-0.937878,0.097165,-19.035044,-1.119708,-1.119708,4.793304,-18.000002,5.234650,0.136387,-1.443807,-0.441346,-0.995939,0.136387,-19.132328,-1.125431,-1.125431,-0.899708,-2.925431,-0.942914,1.039819,1.000000,0.000000,0.000000
2002.000000,14221.000000,0.020000,0.000000,0.000000,0.000000,0.000000,9.642229,4.253304,14.305588,8.576520,9.642229,-27.000004,10.448848,0.447411,-3.707743,-0.806619,-1.820213,0.447411,-29.267628,-1.721625,-1.721625,4.253304,-27.000004,5.061820,0.452072,-3.341870,-0.808515,-1.824492,0.452072,-29.276567,-1.722151,-1.722151,-1.501625,-3.522151,-0.968954,0.982248,1.000000,0.000000,0.000000
2002.000000,14341.000000,0.020000,0.000000,0.000000,0.000000,0.000000,2.622227,-1.686697,9.617637,17.681742,2.622227,-81.000008,5.379875,2.499061,-2.861639,-2.757648,-6.222899,2.499061,-89.721970,-5.277763,-5.277763,-1.686697,-45.000004,3.348242,7.377985,-13.909709,-5.034938,-11.361824,7.377985,-63.739815,-3.749401,-3.749401,-5.057763,-5.549401,-1.943021,-0.261564,1.000000,0.000000,0.000000
2002.000000,14361.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.822227,-2.406697,8.014278,18.137207,0.822227,-90.000008,3.798665,2.747916,-2.634403,-2.976438,-6.716619,2.747916,-99.464546,-5.850856,-5.850856,-2.406697,-36.000004,3.137444,8.775003,-14.788965,-5.544141,-12.510890,8.775003,-57.285896,-3.369759,-3.369759,-5.630856,-5.169759,-2.430436,-0.744160,1.000000,0.000000,0.000000
2002.000000,14381.000000,0.020000,0.000000,0.000000,0.000000,0.000000,-0.797773,-2.946697,7.840113,21.106581,-0.797773,-81.000008,2.114772,3.129686,-4.041448,-2.912545,-6.572439,3.129686,-90.702133,-5.335420,-5.335420,-2.946697,-27.000004,3.184587,10.257400,-17.969137,-6.131284,-13.835835,10.257400,-51.093239,-3.005485,-3.005485,-5.115420,-4.805485,-2.959590,-1.194381,1.000000,0.000000,0.000000
2002.000000,14401.000000,0.020000,0.000000,0.000000,0.000000,0.000000,-2.237774,-3.306697,7.826627,24.351246,-2.237774,-72.000008,0.717273,3.669248,-5.711856,-2.955047,-6.668349,3.669248,-82.337608,-4.843389,-4.843389,-3.306697,-18.000004,3.472044,11.801749,-21.166660,-6.778741,-15.296884,11.801749,-45.098637,-2.652861,-2.652861,-4.623389,-4.452861,-3.470469,-1.513099,1.000000,0.000000,0.000000
2002.000000,14421.000000,0.020000,0.000000,0.000000,0.000000,0.000000,-3.497774,-3.486697,6.392311,25.085264,-3.497774,-63.000008,-0.504425,4.205332,-5.675038,-2.993349,-6.754781,4.205332,-73.960121,-4.350595,-4.350595,-3.486697,-9.000003,3.921866,13.354180,-21.613220,-7.408564,-16.718140,13.354180,-39.072323,-2.298372,-2.298372,-4.130596,-4.098372,-3.964535,-1.616219,1.000000,0.000000,0.000000
2002.000000,14441.000000,0.020000,0.000000,0.000000,0.000000,0.000000,-4.577774,-3.486697,4.096856,23.177366,-4.577774,-54.000008,-1.614390,4.639985,-4.601280,-2.963384,-6.687163,4.639985,-65.327156,-3.842774,-3.842774,-3.486697,-0.000002,4.460650,14.862423,-19.255501,-7.947347,-17.933956,14.862423,-32.796379,-1.929199,-1.929199,-3.622774,-3.729199,-4.360217,-1.574853,1.000000,0.000000,0.000000
2002.000000,14461.000000,0.020000,0.000000,0.000000,0.000000,0.000000,-5.477774,-3.306697,1.444212,20.304111,-5.477774,-45.000008,-2.638598,4.928911,-3.058602,-2.839176,-6.406874,4.928911,-56.335793,-3.313870,-3.313870,-3.306697,8.999999,5.057263,16.298887,-15.843462,-8.363960,-18.874084,16.298887,-26.172974,-1.539587,-1.539587,-3.093870,-3.339587,-4.654855,-1.462307,1.000000,0.000000,0.000000
2002.000000,14481.000000,0.020000,0.000000,0.000000,0.000000,0.000000,-6.197774,-2.946697,-0.228714,17.573656,-6.197774,-36.000008,-3.517401,5.156557,-2.409884,-2.680373,-6.048521,5.156557,-47.205086,-2.776770,-2.776770,-2.946697,18.000000,5.635394,17.481230,-12.516393,-8.582091,-19.366318,17.481230,-18.847548,-1.108679,-1.108679,-2.556770,-2.908679,-4.895189,-1.346184,1.000000,0.000000,0.000000
2002.000000,14501.000000,0.020000,0.000000,0.000000,0.000000,0.000000,-6.737775,-2.406697,-0.880312,15.883523,-6.737775,-27.000008,-4.194957,5.405666,-2.637090,-2.542818,-5.738113,5.405666,-38.143787,-2.243752,-2.243752,-2.406697,27.000000,6.243121,18.449305,-10.248129,-8.649818,-19.519152,18.449305,-10.968456,-0.645203,-0.645203,-2.023752,-2.445203,-5.085825,-1.238902,1.000000,0.000000,0.000000
