I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
2002.000000,41208.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,29.270765,-4.985898,29.630766,0.000000,0.000000,-4.985898,0.000000,0.000000,4.985898,11.251161,0.000000,11.251161,0.703198,0.700000,29.270765,-18.000002,29.630766,0.000000,0.000000,-0.360001,-0.812376,0.000000,-18.812378,-1.297405,-0.700000,0.920000,-2.500000,0.533745,-0.994974,1.000000,1.000000,1.000000
2002.000000,41228.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,28.550766,-8.272702,33.812023,0.000000,0.000000,-4.965574,-0.310483,3.286804,4.965574,11.205297,-0.310483,11.515780,0.719736,0.719736,28.550766,-36.000004,29.686869,0.394976,-4.181257,-1.136103,-2.563725,0.394976,-38.958706,-2.686807,-1.400000,0.939736,-3.200000,0.611727,-1.011241,1.000000,0.000000,1.000000
2002.000000,41248.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,27.470766,-11.266888,38.234406,0.000000,0.000000,-5.131946,-0.905727,6.301314,5.131946,11.580732,-0.905727,12.486460,0.780404,0.780404,27.470766,-54.000008,29.818439,1.202407,-8.547537,-2.347673,-5.297752,1.202407,-60.500168,-4.172425,-2.100000,1.000404,-3.900000,0.609925,-1.125521,1.000000,0.000000,1.000000
2002.000000,41268.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,26.030766,-12.486546,40.418320,0.000000,0.000000,-5.356079,-1.600469,7.354599,5.356079,12.086510,-1.600469,13.686978,0.855436,0.855436,26.030766,-72.000008,29.890339,2.203708,-10.599880,-3.859573,-8.709500,2.203708,-82.913216,-5.718153,-2.800000,1.075436,-4.600000,0.687181,-1.280123,1.000000,0.000000,1.000000
2002.000000,41288.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,24.230764,-13.518886,40.621498,0.000000,0.000000,-5.620180,-2.371556,8.162807,5.620180,12.682478,-2.371556,15.054033,0.940877,0.940877,24.230764,-90.000008,29.787399,3.217411,-10.731159,-5.556635,-12.539083,3.217411,-105.756500,-7.293552,-3.500000,1.160877,-5.300000,0.835338,-1.410401,1.000000,0.000000,1.000000
2002.000000,41308.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,22.070765,-14.406799,40.416321,0.000000,0.000000,-5.911017,-3.201571,8.786619,5.911017,13.338780,-3.201571,16.540352,1.033772,1.033772,22.070765,-108.000008,29.495398,4.221456,-10.628922,-7.424633,-16.754402,4.221456,-128.975861,-8.894887,-4.200000,1.253772,-6.000000,0.827752,-1.567562,1.000000,0.000000,1.000000
2002.000000,41328.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,19.550764,-13.873267,38.869518,0.000000,0.000000,-6.137644,-3.953713,7.962250,6.137644,13.850185,-3.953713,17.803898,1.112744,1.112744,19.550764,-126.000008,28.942720,5.106968,-9.374121,-9.391956,-21.193855,5.106968,-152.300827,-10.503506,-4.900001,1.332744,-6.700001,0.882064,-1.860614,1.000000,0.000000,1.000000
2002.000000,41348.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,16.670763,-13.364415,38.174393,0.000000,0.000000,-6.308467,-4.636379,7.226771,6.308467,14.235664,-4.636379,18.872044,1.179503,1.179503,16.670763,-144.000015,28.195925,5.979024,-9.231672,-11.525162,-26.007641,5.979024,-175.986679,-12.137012,-5.600000,1.399503,-7.400001,1.017874,-2.199049,1.000000,0.000000,1.000000
2002.000000,41368.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,13.470762,-13.851966,39.156544,0.000000,0.000000,-6.491207,-5.348965,7.543499,6.491207,14.648036,-5.348965,19.997002,1.249813,1.249813,13.470762,-160.000000,27.370710,7.014403,-10.960619,-13.899948,-30.234941,7.014403,-197.249344,-13.603403,-6.300000,1.469813,-8.100000,1.230163,-2.603496,1.000000,0.000000,1.000000
2002.000000,41388.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,10.270761,-15.327045,41.646538,0.000000,0.000000,-6.745783,-6.183629,8.835838,6.745783,15.222512,-6.183629,21.406141,1.337884,1.337884,10.270761,-160.000000,26.568640,8.362947,-14.275827,-16.297878,-34.068073,8.362947,-202.431015,-13.960760,-7.000000,1.557884,-8.800000,1.403930,-3.078691,1.000000,0.000000,1.000000
