I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
2002.000000,24230.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.849540,0.000000,1.089540,0.187959,0.849540,-12.000001,1.089540,0.000000,0.000000,-0.240000,-0.515794,0.000000,-12.515795,-0.736223,-0.736223,0.000000,-9.397956,0.187959,0.000000,0.000000,-0.187959,-0.403950,0.000000,-9.801907,-0.576583,-0.576583,-0.516223,-2.376583,0.145575,0.073190,1.000000,0.000000,0.000000
2002.000000,24250.000000,0.020000,0.000000,4.000000,0.000000,-0.800000,0.369540,0.000000,2.868725,-0.614013,0.369540,-24.000002,1.019265,0.404978,-1.779185,-0.649725,-1.396350,0.404978,-25.801329,-1.517725,-1.517725,0.000000,0.000000,-0.089233,-0.182545,0.801972,0.089233,0.191774,-0.182545,0.374319,0.022019,0.022019,-1.297725,-1.777981,0.176710,0.097623,1.000000,0.000000,0.000000
2002.000000,24270.000000,0.020000,0.000000,4.000000,0.000000,-0.800000,0.000000,0.000000,3.233637,-1.253402,0.000000,-18.476982,0.735416,0.909013,-2.214373,-0.735416,-1.580513,0.909013,-20.966507,-1.233324,-1.233324,0.000000,0.000000,-0.203203,-0.447533,1.164169,0.203203,0.436712,-0.447533,0.884244,0.052014,0.052014,-1.013324,-1.747986,0.192290,0.045923,1.000000,0.000000,0.000000
2002.000000,24330.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.699045,-1.189366,0.000000,0.953962,1.285788,3.261397,-2.762135,-1.285788,-2.763338,3.261397,-5.070773,-0.298281,-0.298281,0.000000,0.000000,-0.487758,-1.180660,0.760069,0.487758,1.048259,-1.180660,2.228919,0.131113,0.131113,-0.078281,-1.668887,-0.011982,0.084090,1.000000,0.000000,0.000000
2002.000000,24350.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.070583,-1.814758,0.000000,0.000000,1.430209,3.667652,-1.784796,-1.430209,-3.073719,3.667652,-6.741370,-0.396551,-0.396551,0.000000,0.000000,-0.601076,-1.482711,1.327000,0.601076,1.291795,-1.482711,2.774506,0.163206,0.163206,-0.176551,-1.636794,-0.154928,0.240029,1.000000,0.000000,0.000000
2002.000000,24370.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.511027,-3.059229,0.000000,0.000000,1.478106,3.913667,-1.080818,-1.478106,-3.176656,3.913667,-7.090322,-0.417078,-0.417078,0.000000,0.000000,-0.823987,-2.042235,2.458153,0.823987,1.770864,-2.042235,3.813099,0.224300,0.224300,-0.197078,-1.575700,-0.132920,0.286923,1.000000,0.000000,0.000000
2002.000000,24390.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.776417,-3.926105,0.000000,0.000000,1.343567,3.753949,0.701688,-1.343567,-2.887512,3.753949,-6.641461,-0.390674,-0.390674,0.000000,0.000000,-1.102482,-2.748339,3.102118,1.102482,2.369389,-2.748339,5.117727,0.301043,0.301043,-0.170674,-1.498957,-0.168302,0.299165,1.000000,0.000000,0.000000
2002.000000,24410.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.537273,-4.877239,0.000000,0.000000,1.204225,3.570421,0.806294,-1.204225,-2.588048,3.570421,-6.158469,-0.362263,-0.362263,0.000000,0.000000,-1.437073,-3.607548,3.774757,1.437073,3.088471,-3.607548,6.696019,0.393883,0.393883,-0.142263,-1.406116,-0.084687,0.328723,1.000000,0.000000,0.000000
2002.000000,24430.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.025582,-4.844262,0.000000,0.000000,0.926824,3.062873,2.229807,-0.926824,-1.991873,3.062873,-5.054746,-0.297338,-0.297338,0.000000,0.000000,-1.720087,-4.383091,3.407189,1.720087,3.696707,-4.383091,8.079799,0.475282,0.475282,-0.077338,-1.324718,-0.031061,0.293452,1.000000,0.000000,0.000000
2002.000000,24450.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.426245,-4.611565,0.000000,0.000000,0.648872,2.527267,2.353069,-0.648872,-1.394517,2.527267,-3.921784,-0.230693,-0.230693,0.000000,0.000000,-1.938750,-5.041249,2.891478,1.938750,4.166645,-5.041249,9.207893,0.541641,0.541641,-0.010693,-1.258359,-0.046140,0.328932,1.000000,0.000000,0.000000
