I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20
2002.000000,265362.000000,0.020000,0.000000,0.000000,0.000000,0.000000,18.318514,75.234306,18.678514,75.594307,18.318514,-18.000002,18.678514,0.000000,0.000000,-0.360001,-0.812376,0.000000,-18.812378,-1.175774
2002.000000,265382.000000,0.020000,0.000000,0.000000,0.000000,0.000000,17.598515,74.514305,19.127144,75.225479,17.598515,-36.000004,18.482315,0.042379,-0.448629,-0.883801,-1.994381,0.042379,-38.036762,-2.377298
2002.000000,265403.000000,0.021000,0.000000,0.000000,0.000000,0.000000,16.445614,73.361404,18.867521,73.844612,16.445614,-54.900005,18.037868,0.080586,-0.385206,-1.592255,-3.593076,0.080586,-58.573666,-3.660854
2002.000000,265422.000000,0.019000,0.000000,0.000000,0.000000,0.000000,15.077614,71.993401,16.666874,72.082375,15.077614,-72.000008,17.309650,-0.042447,1.370995,-2.232037,-5.036806,-0.042447,-76.994362,-4.812148
2002.000000,265442.000000,0.020000,0.000000,0.000000,0.000000,0.000000,13.277614,70.193398,14.995254,71.279579,13.277614,-90.000008,16.269382,-0.261073,2.314397,-2.991769,-6.751215,-0.261073,-96.490150,-6.030634
265842.000000,1000.000000,267.761688,0.000000,0.423367,-0.059271,-0.057715,0.000000,-0.116986,63.400002,63.400002,5.698093,-0.154377,0.000000,5.543716,22.699337,0.103014,3.743716,-0.994205,-6.631589,4.422513
265862.000000,1000.000000,279.229980,0.000000,-2.168463,0.303585,-0.057281,0.000000,0.246304,69.200005,69.200005,6.667785,-0.151092,0.000000,6.516693,21.572966,0.466304,4.716693,-0.910311,-5.318255,4.460621
265882.000000,1000.000000,290.435364,0.000000,-2.556380,0.357893,-0.056770,0.000000,0.301123,74.000000,74.000000,7.427688,-0.146671,0.000000,7.281017,20.945086,0.521123,5.481017,-0.819161,-4.004119,4.503929
265902.000000,1000.000000,301.736206,0.000000,-2.801182,0.392165,-0.056210,0.000000,0.335956,74.000000,74.000000,7.481829,-0.135982,0.000000,7.345847,20.558365,0.555956,5.545847,-0.634513,-2.703831,4.542296
265922.000000,1000.000000,312.529083,0.000000,-3.241924,0.453869,-0.055561,0.000000,0.398308,77.000000,77.000000,8.023227,-0.128341,0.000000,7.894886,19.691238,0.618308,6.094886,-0.434309,-1.372259,4.575250
265942.000000,1000.000000,323.530243,0.000000,-3.494097,0.489174,-0.054862,0.000000,0.434311,77.000000,77.000000,8.181824,-0.116653,0.000000,8.065171,18.558401,0.654311,6.265171,-0.199979,-0.128866,4.593808
265962.000000,1000.000000,334.759949,0.000000,-2.814568,0.394040,-0.054299,0.000000,0.339740,79.400002,79.400002,8.579854,-0.106439,0.000000,8.473415,18.115335,0.559740,6.673415,0.137590,1.020655,4.619010
265982.000000,1000.000000,345.689758,0.000000,-2.716811,0.380354,-0.053756,0.000000,0.326597,80.000000,80.000000,8.537875,-0.094242,0.000000,8.443633,19.015179,0.546597,6.643633,0.407274,1.971413,4.643846
266003.000000,1000.000000,356.072876,0.000000,-1.773422,0.248279,-0.053384,0.000000,0.194895,79.400002,79.400002,8.247040,-0.081871,0.000000,8.165169,20.492577,0.414895,6.365169,0.722480,2.855202,4.664186
266022.000000,1000.000000,367.327911,0.000000,-0.511242,0.071574,-0.053287,0.000000,0.018287,79.400002,79.400002,8.125520,-0.070844,0.000000,8.054676,21.360571,0.238287,6.254676,1.026912,3.611629,4.677984
266042.000000,1000.000000,377.351746,0.000000,0.170050,-0.023807,-0.053321,0.000000,-0.077128,77.000000,77.000000,7.637966,-0.061751,0.000000,7.576215,22.443104,0.142872,5.776215,1.324584,4.268401,4.682794
266062.000000,1000.000000,388.452972,0.000000,1.889673,-0.264554,-0.053698,0.000000,-0.318253,77.000000,77.000000,7.414832,-0.051158,0.000000,7.363673,24.036919,-0.098253,5.563673,1.552791,4.820989,4.677672
266082.000000,1000.000000,398.593750,0.000000,5.483171,-0.767644,-0.054795,0.000000,-0.822439,77.000000,77.000000,7.241329,-0.040814,0.000000,7.200515,25.276224,-0.602439,5.400516,1.716824,5.230287,4.667831
266102.000000,1000.000000,408.295197,0.000000,9.108975,-1.275257,-0.056617,0.000000,-1.331873,77.000000,77.000000,7.055507,-0.030734,0.000000,7.024773,26.603521,-1.111873,5.224772,1.860018,5.497594,4.653687
266122.000000,1000.000000,418.088196,0.000000,11.250758,-1.575106,-0.058867,0.000000,-1.633973,79.400002,79.400002,7.017673,-0.022380,0.000000,6.995293,29.273767,-1.413973,5.195293,1.904141,5.546046,4.626940
266142.000000,1000.000000,427.739807,0.000000,11.804270,-1.652598,-0.061228,0.000000,-1.713826,80.000000,80.000000,6.496110,-0.013100,0.000000,6.483011,33.599213,-1.493826,4.683011,1.900863,5.538991,4.581412
266162.000000,1000.000000,437.468842,0.000000,11.189193,-1.566487,-0.063466,0.000000,-1.629953,83.800003,83.800003,6.369326,-0.008311,0.000000,6.361015,38.304817,-1.409953,4.561015,1.848278,5.306112,4.534627
266182.000000,1000.000000,447.252441,0.000000,9.140192,-1.279627,-0.065294,0.000000,-1.344921,84.400002,84.400002,6.038831,0.000316,0.000000,6.039147,41.265495,-1.124921,4.239147,1.784374,4.982144,4.490191
266203.000000,1000.000000,456.272858,0.000000,6.953937,-0.973551,-0.066754,0.000000,-1.040305,84.400002,84.400002,5.693017,0.008856,0.000000,5.701873,43.735596,-0.820305,3.901873,1.733162,4.713633,4.438522
266222.000000,1000.000000,464.981323,0.000000,4.144841,-0.580278,-0.067542,0.000000,-0.647819,84.400002,84.400002,5.426666,0.016220,0.000000,5.442887,45.638100,-0.427819,3.642887,1.674872,4.500882,4.380486
266242.000000,1000.000000,473.549072,0.000000,1.126001,-0.157640,-0.067767,0.000000,-0.225407,81.400002,81.400002,4.730428,0.020726,0.000000,4.751153,47.611233,-0.005407,2.951154,1.553687,4.180460,4.303664
266262.000000,1000.000000,482.297699,0.000000,-0.635663,0.088993,-0.067640,0.000000,0.021353,78.000000,78.000000,3.969054,0.024061,0.000000,3.993115,49.649612,0.241353,2.193115,1.360744,3.856914,4.208841
266282.000000,1000.000000,489.911377,0.000000,-0.988024,0.138323,-0.067442,0.000000,0.070881,78.000000,78.000000,3.852777,0.029565,0.000000,3.882342,50.480164,0.290881,2.082342,1.257404,3.616364,4.105433
266302.000000,1000.000000,497.798706,0.000000,-0.527614,0.073866,-0.067337,0.000000,0.006529,78.000000,78.000000,3.818738,0.035020,0.000000,3.853758,50.723301,0.226529,2.053758,1.231981,3.347940,4.006589
266322.000000,1000.000000,506.454834,0.000000,-0.146673,0.020534,-0.067307,0.000000,-0.046773,81.000000,81.000000,4.141109,0.038964,0.000000,4.180074,51.420647,0.173227,2.380074,1.323018,2.960600,3.908026
266342.000000,1000.000000,513.894714,0.000000,0.155145,-0.021720,-0.067338,0.000000,-0.089059,81.000000,81.000000,4.034579,0.044728,0.000000,4.079307,52.181576,0.130941,2.279307,1.390815,2.581177,3.806768
266362.000000,1000.000000,521.094849,0.000000,1.275916,-0.178628,-0.067593,0.000000,-0.246222,81.400002,81.400002,4.062287,0.050531,0.000000,4.112819,52.383663,-0.026222,2.312819,1.507760,2.370520,3.717236
266382.000000,1000.000000,528.917419,0.000000,1.818972,-0.254656,-0.067957,0.000000,-0.322613,81.400002,81.400002,4.195144,0.056524,0.000000,4.251668,51.434689,-0.102613,2.451668,1.601432,2.178169,3.630544
266403.000000,1000.000000,536.113647,0.000000,1.567557,-0.219458,-0.068286,0.000000,-0.287744,84.400002,84.400002,4.700867,0.061460,0.000000,4.762327,50.822380,-0.067744,2.962327,1.618637,1.954907,3.535740
266422.000000,1000.000000,543.206970,0.000000,1.311921,-0.183669,-0.068536,0.000000,-0.252205,84.400002,84.400002,4.663602,0.067789,0.000000,4.731391,51.088558,-0.032205,2.931391,1.675650,1.733075,3.446319
266442.000000,1000.000000,550.610291,0.000000,0.404224,-0.056591,-0.068617,0.000000,-0.125208,84.800003,84.800003,4.632825,0.074408,0.000000,4.707232,51.708397,0.094792,2.907233,1.653729,1.763027,3.355141
266462.000000,1000.000000,559.578979,0.000000,-0.507789,0.071090,-0.068515,0.000000,0.002575,84.800003,84.800003,4.899027,0.081406,0.000000,4.980433,49.806953,0.222575,3.180433,1.672399,2.136028,3.259479
266482.000000,1000.000000,567.652466,0.000000,-1.306057,0.182848,-0.068254,0.000000,0.114594,88.200005,88.200005,5.943340,0.086401,0.000000,6.029741,45.747574,0.334594,4.229741,1.699412,2.432571,3.168583
266502.000000,1000.000000,575.592407,0.000000,-2.332073,0.326490,-0.067787,0.000000,0.258703,88.200005,88.200005,6.405720,0.095552,0.000000,6.501272,42.444859,0.478703,4.701272,1.725752,2.488498,3.081349
266522.000000,1000.000000,585.178467,0.000000,-1.735559,0.242978,-0.067440,0.000000,0.175538,90.599998,90.599998,6.610566,0.103421,0.000000,6.713987,43.381672,0.395538,4.913987,1.672680,2.493863,3.005496
266542.000000,1000.000000,594.513733,0.000000,-0.663692,0.092917,-0.067308,0.000000,0.025609,90.599998,90.599998,6.179533,0.112249,0.000000,6.291783,46.460472,0.245609,4.491783,1.629431,2.562808,2.927174
266562.000000,1000.000000,602.027588,0.000000,0.011470,-0.001606,-0.067310,0.000000,-0.068916,87.800003,87.800003,5.336386,0.117695,0.000000,5.454081,49.682961,0.151084,3.654081,1.655466,2.684373,2.835059
266582.000000,1000.000000,606.585022,0.000000,0.294014,-0.041162,-0.067369,0.000000,-0.108531,87.800003,87.800003,5.066361,0.124932,0.000000,5.191293,51.611710,0.111469,3.391293,1.674612,2.982015,2.753472
266603.000000,1000.000000,614.519531,0.000000,0.499545,-0.069936,-0.067474,0.000000,-0.137410,87.200005,87.200005,5.073711,0.132543,0.000000,5.206254,50.959213,0.082590,3.406254,1.696517,3.289021,2.672179
266622.000000,1000.000000,622.563354,0.000000,1.551100,-0.217154,-0.067768,0.000000,-0.284922,87.200005,87.200005,5.093556,0.139455,0.000000,5.233012,50.817459,-0.064922,3.433012,1.713117,3.392400,2.599860
266642.000000,1000.000000,629.958740,0.000000,2.256239,-0.315873,-0.068219,0.000000,-0.384093,84.800003,84.800003,4.522164,0.144839,0.000000,4.667003,52.498833,-0.164093,2.867003,1.640234,3.369767,2.519201
266662.000000,1000.000000,634.444275,0.000000,2.827102,-0.395794,-0.068785,0.000000,-0.464579,84.800003,84.800003,4.200046,0.150839,0.000000,4.350884,54.799679,-0.244579,2.550884,1.578467,3.239391,2.436376
266682.000000,1000.000000,643.692810,0.000000,2.377240,-0.332814,-0.069260,0.000000,-0.402074,84.800003,84.800003,3.896051,0.156405,0.000000,4.052455,56.971069,-0.182074,2.252455,1.456714,3.043355,2.345677
266702.000000,1000.000000,649.302307,0.000000,2.286376,-0.320093,-0.069718,0.000000,-0.389810,84.800003,84.800003,3.553979,0.161482,0.000000,3.715461,59.414440,-0.169810,1.915461,1.434388,2.877358,2.249128
266722.000000,1000.000000,660.230774,0.000000,1.742545,-0.243956,-0.070066,0.000000,-0.314022,82.000000,82.000000,2.949593,0.164492,0.000000,3.114085,60.931480,-0.094022,1.314085,1.442353,2.754998,2.138190
266742.000000,1000.000000,666.868469,0.000000,1.399480,-0.195927,-0.070346,0.000000,-0.266273,79.400002,79.400002,2.449939,0.167184,0.000000,2.617123,61.900440,-0.046273,0.817123,1.415772,2.591347,2.020201
266762.000000,1000.000000,670.894409,0.000000,1.845211,-0.258330,-0.070715,0.000000,-0.329045,79.400002,79.400002,2.240000,0.170384,0.000000,2.410383,63.400005,-0.109045,0.610384,1.313064,2.313441,1.911124
266782.000000,1000.000000,681.943665,0.000000,2.392198,-0.334908,-0.071193,0.000000,-0.406101,79.400002,79.400002,1.903502,0.173103,0.000000,2.076605,65.803558,-0.186101,0.276605,1.205045,1.994978,1.806528
266802.000000,1000.000000,690.869812,0.000000,2.845743,-0.398404,-0.071763,0.000000,-0.470167,73.599998,73.599998,0.904355,0.173549,0.000000,1.077904,67.140320,-0.250167,-0.722096,1.117130,1.725181,1.710022
266822.000000,1000.000000,698.971436,0.000000,3.047357,-0.426630,-0.072372,0.000000,-0.499002,73.599998,73.599998,0.875301,0.174799,0.000000,1.050100,67.347847,-0.279002,-0.749900,1.120031,1.527315,1.599712
266842.000000,1000.000000,704.127808,0.000000,2.398861,-0.335841,-0.072852,0.000000,-0.408692,59.400002,59.400002,-0.973965,0.174603,0.000000,-0.799362,66.356895,-0.188692,-2.599362,1.105809,1.394167,1.504397
266862.000000,1000.000000,713.747864,0.000000,1.441010,-0.201741,-0.073140,0.000000,-0.274882,59.400002,59.400002,-0.662050,0.173657,0.000000,-0.488392,64.128929,-0.054882,-2.288392,0.945955,1.116889,1.403448
266882.000000,1000.000000,721.108582,0.000000,1.065340,-0.149148,-0.073353,0.000000,-0.222501,59.400002,59.400002,-0.439985,0.173029,0.000000,-0.266956,62.542751,-0.002501,-2.066956,0.737924,0.646609,1.294407
266902.000000,1000.000000,726.665283,0.000000,0.765738,-0.107203,-0.073506,0.000000,-0.180710,59.400002,59.400002,-0.425798,0.172421,0.000000,-0.253377,62.441414,0.039290,-2.053377,0.592006,0.068510,1.195801
266922.000000,1000.000000,730.035583,0.000000,-0.243163,0.034043,-0.073458,0.000000,-0.039415,51.600002,51.600002,-1.502714,0.171870,0.000000,-1.330844,62.333675,0.180585,-3.130844,0.454845,-0.477039,1.093363
266942.000000,1000.000000,735.949280,0.000000,-1.015720,0.142201,-0.073255,0.000000,0.068946,48.200001,48.200001,-1.735945,0.170411,0.000000,-1.565533,60.599606,0.288946,-3.365533,0.379219,-0.914210,0.984175
266962.000000,1000.000000,744.603821,0.000000,-1.250030,0.175004,-0.073005,0.000000,0.102000,40.000000,40.000000,-2.561712,0.169519,0.000000,-2.392193,58.297943,0.322000,-4.192193,0.458211,-1.202839,0.869856
266982.000000,1000.000000,750.810669,0.000000,-1.114233,0.155993,-0.072782,0.000000,0.083211,37.000000,37.000000,-2.733961,0.166915,0.000000,-2.567046,56.528290,0.303211,-4.367045,0.619420,-1.482120,0.763146
267002.000000,1000.000000,757.788940,0.000000,-0.916002,0.128240,-0.072598,0.000000,0.055642,20.400000,20.400000,-4.938053,0.166065,0.000000,-4.771987,55.671806,0.275642,-6.571987,0.834453,-1.788598,0.666857
267022.000000,1000.000000,766.139893,0.000000,2.855027,-0.399704,-0.073169,0.000000,-0.472873,17.000000,17.000000,-5.237467,0.161664,0.000000,-5.075803,54.410477,-0.252873,-6.875803,0.996387,-2.167281,0.586642
267042.000000,1000.000000,773.177673,0.000000,6.895464,-0.965365,-0.074549,0.000000,-1.039914,10.200001,10.200001,-5.988839,0.159148,0.000000,-5.829691,52.977425,-0.819914,-7.629691,1.025321,-2.590695,0.513149
267062.000000,1000.000000,774.878601,0.000000,11.281948,-1.579473,-0.076805,0.000000,-1.656278,6.200000,6.200000,-6.242580,0.154689,0.000000,-6.087891,50.789856,-1.436278,-7.887891,1.010976,-3.040147,0.446995
267082.000000,1000.000000,783.208313,0.000000,15.742234,-2.203913,-0.079953,0.000000,-2.283866,2.000000,2.000000,-6.329895,0.150383,0.000000,-6.179513,47.213535,-2.063866,-7.979512,0.965456,-3.524954,0.385986
267102.000000,1000.000000,791.607300,0.000000,20.385769,-2.854008,-0.084031,0.000000,-2.938038,0.000000,0.000000,-5.911016,0.141938,0.000000,-5.769077,42.221539,-2.718038,-7.569077,0.861029,-4.095953,0.334754
267122.000000,1000.000000,801.082581,0.000000,21.255400,-2.975756,-0.088282,0.000000,-3.064038,0.000000,0.000000,-5.688626,0.133812,0.000000,-5.554815,40.633045,-2.844038,-7.354815,0.720685,-4.746597,0.286653
267142.000000,1000.000000,807.582092,0.000000,19.789118,-2.770477,-0.092239,0.000000,-2.862716,0.000000,0.000000,-5.379214,0.126127,0.000000,-5.253087,38.422958,-2.642716,-7.053087,0.516367,-5.426467,0.246925
