I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
37828.000000,1000.000000,121.616882,0.000000,11.367692,0.000000,23.195976,0.000000,0.000000,0.000000,0.000000,0.000000
37848.000000,1000.000000,122.792290,0.000000,16.191906,0.000000,20.791779,0.000000,0.000000,0.000000,0.000000,0.000000
37868.000000,1000.000000,125.617104,0.000000,25.658461,0.000000,21.389029,0.000000,0.000000,0.000000,0.000000,0.000000
37888.000000,1000.000000,128.805450,0.000000,33.871849,0.000000,16.765827,0.000000,0.000000,0.000000,0.000000,0.000000
37908.000000,1000.000000,132.216461,0.000000,35.756668,0.000000,10.140004,0.000000,0.000000,0.000000,0.000000,0.000000
37928.000000,1000.000000,136.764801,0.000000,34.705315,0.000000,5.963274,0.000000,0.000000,0.000000,0.000000,0.000000
37948.000000,1000.000000,143.074768,0.000000,34.207260,0.000000,-0.716933,0.000000,0.000000,0.000000,0.000000,0.000000
37968.000000,1000.000000,150.535629,0.000000,35.275276,0.000000,-9.718898,0.000000,0.000000,0.000000,0.000000,0.000000
37988.000000,1000.000000,159.490067,0.000000,35.275688,0.000000,-14.295135,0.000000,0.000000,0.000000,0.000000,0.000000
38008.000000,1000.000000,168.219376,0.000000,37.755318,0.000000,-13.589139,0.000000,0.000000,0.000000,0.000000,0.000000
38028.000000,1000.000000,177.905716,0.000000,39.331593,0.000000,-14.138374,0.000000,0.000000,0.000000,0.000000,0.000000
38048.000000,1000.000000,188.656036,0.000000,40.559006,0.000000,-19.059280,0.000000,0.000000,0.000000,0.000000,0.000000
38068.000000,1000.000000,199.987671,0.000000,41.688786,0.000000,-22.688248,0.000000,0.000000,0.000000,0.000000,0.000000
38088.000000,1000.000000,212.353516,0.000000,41.010963,0.000000,-24.343056,0.000000,0.000000,0.000000,0.000000,0.000000
38108.000000,1000.000000,224.243851,0.000000,38.710678,0.000000,-25.839787,0.000000,0.000000,0.000000,0.000000,0.000000
38128.000000,1000.000000,237.049561,0.000000,36.148338,0.000000,-27.692200,0.000000,0.000000,182.868576,71.137146,1.000000
38148.000000,1000.000000,249.606491,0.000000,34.766678,0.000000,-28.668695,0.000000,0.000000,182.868576,71.137146,1.000000
38168.000000,1000.000000,261.961761,0.000000,33.555660,0.000000,-28.340889,0.000000,0.000000,182.868576,71.137146,1.000000
38188.000000,1000.000000,274.510559,0.000000,33.309101,0.000000,-28.314692,0.000000,0.000000,182.868576,71.137146,1.000000
38208.000000,1000.000000,286.970215,0.000000,35.015755,0.000000,-27.641594,0.000000,0.000000,175.579025,85.751175,1.000000
38228.000000,1000.000000,300.087372,0.000000,36.069252,0.000000,-25.961788,0.000000,0.000000,175.579025,85.751175,1.000000
38248.000000,1000.000000,311.956360,0.000000,33.758907,0.000000,-22.634613,0.000000,0.000000,175.579025,85.751175,1.000000
38268.000000,1000.000000,323.844818,0.000000,30.213905,0.000000,-18.096853,0.000000,0.000000,175.579025,85.751175,1.000000
38288.000000,1000.000000,335.865112,0.000000,28.977612,0.000000,-11.887821,0.000000,0.000000,175.579025,85.751175,1.000000
38308.000000,1000.000000,348.140472,0.000000,27.867693,0.000000,-7.153818,0.000000,0.000000,169.316986,95.201523,1.000000
38328.000000,1000.000000,360.844757,0.000000,25.596476,0.000000,-5.193830,0.000000,0.000000,169.316986,95.201523,1.000000
38348.000000,1000.000000,372.284332,0.000000,22.074120,0.000000,-5.335477,0.000000,0.000000,169.316986,95.201523,1.000000
38368.000000,1000.000000,384.310181,0.000000,18.742365,0.000000,-6.179963,0.000000,0.000000,169.316986,95.201523,1.000000
38388.000000,1000.000000,395.393036,0.000000,17.590136,0.000000,-5.554110,0.000000,0.000000,163.725586,101.099998,1.000000
38408.000000,1000.000000,406.910675,0.000000,18.833736,0.000000,-5.155293,0.000000,0.000000,163.725586,101.099998,1.000000
38428.000000,1000.000000,418.265686,0.000000,19.079720,0.000000,-6.147387,0.000000,0.000000,163.725586,101.099998,1.000000
38448.000000,1000.000000,429.318451,0.000000,20.485716,0.000000,-6.387022,0.000000,0.000000,163.725586,101.099998,1.000000
38468.000000,1000.000000,439.906342,0.000000,22.578009,0.000000,-4.758338,0.000000,0.000000,163.725586,101.099998,1.000000
38488.000000,1000.000000,450.441406,0.000000,24.261709,0.000000,-1.877686,0.000000,0.000000,155.683182,98.240707,1.000000
38508.000000,1000.000000,460.137543,0.000000,24.830841,0.000000,1.146545,0.000000,0.000000,155.683182,98.240707,1.000000
38528.000000,1000.000000,470.343597,0.000000,27.686449,0.000000,5.217915,0.000000,0.000000,155.683182,98.240707,1.000000
38548.000000,1000.000000,480.081146,0.000000,32.311352,0.000000,8.628376,0.000000,0.000000,155.683182,98.240707,1.000000
38568.000000,1000.000000,489.149353,0.000000,36.580761,0.000000,10.698540,0.000000,0.000000,153.911163,95.699318,1.000000
38588.000000,1000.000000,498.084290,0.000000,41.023220,0.000000,13.137015,0.000000,0.000000,153.911163,95.699318,1.000000
38608.000000,1000.000000,507.175049,0.000000,43.520023,0.000000,18.394556,0.000000,0.000000,153.911163,95.699318,1.000000
38628.000000,1000.000000,516.504639,0.000000,44.607391,0.000000,22.562660,0.000000,0.000000,153.911163,95.699318,1.000000
38648.000000,1000.000000,525.398254,4.600000,42.807507,0.000000,24.208014,0.000000,0.000000,152.870422,94.307045,1.000000
38668.000000,1000.000000,534.129272,4.600000,40.141327,0.000000,25.551081,0.000000,0.000000,152.870422,94.307045,1.000000
38688.000000,1000.000000,542.856567,8.600000,35.322849,0.000000,26.100597,0.000000,0.000000,152.870422,94.307045,1.000000
